Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Eritrea,2003,Fm Sudan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.284684
Eritrea,2003,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.820118
Eritrea,2003,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.767861
Eritrea,2003,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.688695
Eritrea,2003,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.478324
Eritrea,2003,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,68.895872
Eritrea,2003,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,52.932627
Eritrea,2003,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,50.067526
Eritrea,2003,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45.379876
Eritrea,2003,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27.113115
Eritrea,2003,World,Animal,Export,Export(US$ Mil),2.267419
Eritrea,2003,World,Vegetable,Export,Export(US$ Mil),1.392375
Eritrea,2003,World,Food Products,Export,Export(US$ Mil),0.161737
Eritrea,2003,World,Minerals,Export,Export(US$ Mil),0.017181
Eritrea,2003,World,Fuels,Export,Export(US$ Mil),
Eritrea,2003,World,Chemicals,Export,Export(US$ Mil),0.074843
Eritrea,2003,World,Plastic or Rubber,Export,Export(US$ Mil),0.182554
Eritrea,2003,World,Hides and Skins,Export,Export(US$ Mil),0.953094
Eritrea,2003,World,Wood,Export,Export(US$ Mil),0.006511
Eritrea,2003,World,Textiles and Clothing,Export,Export(US$ Mil),0.582121
Eritrea,2003,World,Footwear,Export,Export(US$ Mil),0.091797
Eritrea,2003,World,Stone and Glass,Export,Export(US$ Mil),0.013146
Eritrea,2003,World,Metals,Export,Export(US$ Mil),0.184581
Eritrea,2003,World,Mach and Elec,Export,Export(US$ Mil),0.049735
Eritrea,2003,World,Transportation,Export,Export(US$ Mil),0.193664
Eritrea,2003,World,Miscellaneous,Export,Export(US$ Mil),0.44784
Eritrea,2003,World,Raw materials,Export,Export(US$ Mil),4.057459
Eritrea,2003,World,Intermediate goods,Export,Export(US$ Mil),1.84361
Eritrea,2003,World,Consumer goods,Export,Export(US$ Mil),0.661937
Eritrea,2003,World,Capital goods,Export,Export(US$ Mil),0.050326
Eritrea,2003,World,Raw materials,Import,Import(US$ Mil),99.152473
Eritrea,2003,World,Intermediate goods,Import,Import(US$ Mil),111.379311
Eritrea,2003,World,Consumer goods,Import,Import(US$ Mil),123.730067
Eritrea,2003,World,Capital goods,Import,Import(US$ Mil),94.150455
Eritrea,2003,World,All Products,Export,Exports (in US$ Mil),6.618598
Eritrea,2003,World,All Products,Import,Imports (in US$ Mil),432.839183
Eritrea,2003,...,...,Import,No. Of Import partners,79
Eritrea,2003,...,...,Import,No. Of Import products,3270
Eritrea,2003,...,...,Export,No. Of Export partners,36
Eritrea,2003,...,...,Export,No. Of Export products,232
Eritrea,2016,...,...,Others,Ease of Doing Business Rank,189
Eritrea,2016,...,...,Others,Trading Across Borders Rank,189
Eritrea,2015,...,...,Others,CPIA Trade Ratings,1.5
Eritrea,2014,...,...,Others,LPI Rank,156
Eritrea,2014,...,...,Others,LPI Score,2.084755
Eritrea,2003,Fm Sudan,All Products,Export,Partner share(%)-Top 5 Export Partner,19.4102
Eritrea,2003,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,12.3911
Eritrea,2003,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,11.6016
