Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Spain,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,42997.774784
Spain,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,30077.279108
Spain,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20758.317735
Spain,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20258.010276
Spain,2015,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19913.784575
Spain,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,39853.50123
Spain,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,33030.8986
Spain,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26474.440156
Spain,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19241.29532
Spain,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14246.501505
Spain,2015,World,Animal,Export,Export(US$ Mil),10198.149301
Spain,2015,World,Vegetable,Export,Export(US$ Mil),21642.904254
Spain,2015,World,Food Products,Export,Export(US$ Mil),14444.914447
Spain,2015,World,Minerals,Export,Export(US$ Mil),3130.975005
Spain,2015,World,Fuels,Export,Export(US$ Mil),13887.831087
Spain,2015,World,Chemicals,Export,Export(US$ Mil),29263.655404
Spain,2015,World,Plastic or Rubber,Export,Export(US$ Mil),14614.378696
Spain,2015,World,Hides and Skins,Export,Export(US$ Mil),2046.188306
Spain,2015,World,Wood,Export,Export(US$ Mil),7021.433743
Spain,2015,World,Textiles and Clothing,Export,Export(US$ Mil),15937.441476
Spain,2015,World,Footwear,Export,Export(US$ Mil),3569.083109
Spain,2015,World,Stone and Glass,Export,Export(US$ Mil),8282.145625
Spain,2015,World,Metals,Export,Export(US$ Mil),23462.989805
Spain,2015,World,Mach and Elec,Export,Export(US$ Mil),37949.430074
Spain,2015,World,Transportation,Export,Export(US$ Mil),56385.299431
Spain,2015,World,Miscellaneous,Export,Export(US$ Mil),16285.190389
Spain,2015,World,Raw materials,Export,Export(US$ Mil),30129.672912
Spain,2015,World,Intermediate goods,Export,Export(US$ Mil),60501.6675970001
Spain,2015,World,Consumer goods,Export,Export(US$ Mil),121999.545547
