Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
European Union,2014,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,408990.940426
European Union,2014,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,217443.289472
European Union,2014,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,186518.536966
European Union,2014,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,136267.308389
European Union,2014,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,98593.664566
European Union,2014,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,400507.721664
European Union,2014,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,270448.128736
European Union,2014,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,220906.06802
European Union,2014,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,129425.081513
European Union,2014,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,95606.705371
European Union,2014,World,Animal,Export,Export(US$ Mil),33518.598006
European Union,2014,World,Vegetable,Export,Export(US$ Mil),39845.261316
European Union,2014,World,Food Products,Export,Export(US$ Mil),85026.117907
European Union,2014,World,Minerals,Export,Export(US$ Mil),8668.993647
European Union,2014,World,Fuels,Export,Export(US$ Mil),134828.085047
European Union,2014,World,Chemicals,Export,Export(US$ Mil),317727.21418
European Union,2014,World,Plastic or Rubber,Export,Export(US$ Mil),84708.417175
European Union,2014,World,Hides and Skins,Export,Export(US$ Mil),20430.569188
European Union,2014,World,Wood,Export,Export(US$ Mil),54405.105165
European Union,2014,World,Textiles and Clothing,Export,Export(US$ Mil),55529.592912
European Union,2014,World,Footwear,Export,Export(US$ Mil),11862.768148
European Union,2014,World,Stone and Glass,Export,Export(US$ Mil),118810.295835
European Union,2014,World,Metals,Export,Export(US$ Mil),139711.855117
European Union,2014,World,Mach and Elec,Export,Export(US$ Mil),575656.091603
European Union,2014,World,Transportation,Export,Export(US$ Mil),351469.395808
European Union,2014,World,Miscellaneous,Export,Export(US$ Mil),307510.560079
European Union,2014,World,Raw materials,Export,Export(US$ Mil),94257.875948
European Union,2014,World,Intermediate goods,Export,Export(US$ Mil),473531.071395
European Union,2014,World,Consumer goods,Export,Export(US$ Mil),803355.458397999
European Union,2014,World,Capital goods,Export,Export(US$ Mil),810312.709375
European Union,2014,World,Raw materials,Import,Import(US$ Mil),533409.199896
European Union,2014,World,Intermediate goods,Import,Import(US$ Mil),398883.033859
European Union,2014,World,Consumer goods,Import,Import(US$ Mil),675941.618695
European Union,2014,World,Capital goods,Import,Import(US$ Mil),553949.209053
European Union,2014,World,All Products,Export,Exports (in US$ Mil),2339708.921132
European Union,2014,World,All Products,Import,Imports (in US$ Mil),2281341.879625
European Union,2014,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1388784312.336
European Union,2014,...,...,Tariff,No. Of Tariff Agreement,44
European Union,2014,...,...,Import,No. Of Import partners,208
European Union,2014,...,...,Import,No. Of Import products,4580
European Union,2014,...,...,Export,No. Of Export partners,208
European Union,2014,...,...,Export,No. Of Export products,4579
European Union,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),4886
European Union,2015,...,...,Others,No Of NTM Measures,60
European Union,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0556304
European Union,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0967264
European Union,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,2.983339787
European Union,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.910953403
European Union,2014,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,17.4804
European Union,2014,China,All Products,Export,Partner share(%)-Top 5 Export Partner,9.2936
European Union,2014,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,7.9719
European Union,2014,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,5.8241
European Union,2014,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,4.2139
European Union,2014,China,All Products,Import,Partner share(%)-Top 5 Import Partner,17.5558
European Union,2014,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,11.8548
European Union,2014,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,9.6832
European Union,2014,Switzerland,All Products,Import,Partner share(%)-Top 5 Import Partner,5.6732
European Union,2014,Norway,All Products,Import,Partner share(%)-Top 5 Import Partner,4.1908
European Union,2014,World,Animal,Export,Export Product share(%),1.4326
European Union,2014,World,Vegetable,Export,Export Product share(%),1.703
European Union,2014,World,Food Products,Export,Export Product share(%),3.634
European Union,2014,World,Minerals,Export,Export Product share(%),0.3705
European Union,2014,World,Fuels,Export,Export Product share(%),5.7626
European Union,2014,World,Chemicals,Export,Export Product share(%),13.5798
European Union,2014,World,Plastic or Rubber,Export,Export Product share(%),3.6205
European Union,2014,World,Hides and Skins,Export,Export Product share(%),0.8732
European Union,2014,World,Wood,Export,Export Product share(%),2.3253
European Union,2014,World,Textiles and Clothing,Export,Export Product share(%),2.3734
European Union,2014,World,Footwear,Export,Export Product share(%),0.507
European Union,2014,World,Stone and Glass,Export,Export Product share(%),5.078
European Union,2014,World,Metals,Export,Export Product share(%),5.9713
European Union,2014,World,Mach and Elec,Export,Export Product share(%),24.6037
European Union,2014,World,Transportation,Export,Export Product share(%),15.0219
European Union,2014,World,Miscellaneous,Export,Export Product share(%),13.1431
