Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Finland,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8099.889695
Finland,2015,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6049.930545
Finland,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4003.917948
Finland,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3825.796158
Finland,2015,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3443.649012
Finland,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8990.539819
Finland,2015,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6744.042668
Finland,2015,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6587.281553
Finland,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4368.658494
Finland,2015,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3167.943473
Finland,2015,World,Animal,Export,Export(US$ Mil),606.227716
Finland,2015,World,Vegetable,Export,Export(US$ Mil),343.54127
Finland,2015,World,Food Products,Export,Export(US$ Mil),533.712346
Finland,2015,World,Minerals,Export,Export(US$ Mil),248.165164
Finland,2015,World,Fuels,Export,Export(US$ Mil),4036.484679
Finland,2015,World,Chemicals,Export,Export(US$ Mil),2766.404065
Finland,2015,World,Plastic or Rubber,Export,Export(US$ Mil),2607.290771
Finland,2015,World,Hides and Skins,Export,Export(US$ Mil),764.08049
Finland,2015,World,Wood,Export,Export(US$ Mil),12924.842566
Finland,2015,World,Textiles and Clothing,Export,Export(US$ Mil),523.199534
Finland,2015,World,Footwear,Export,Export(US$ Mil),117.981821
Finland,2015,World,Stone and Glass,Export,Export(US$ Mil),858.070247
Finland,2015,World,Metals,Export,Export(US$ Mil),7095.801156
Finland,2015,World,Mach and Elec,Export,Export(US$ Mil),13174.056036
Finland,2015,World,Transportation,Export,Export(US$ Mil),4896.509689
Finland,2015,World,Miscellaneous,Export,Export(US$ Mil),8185.943654
Finland,2015,World,Raw materials,Export,Export(US$ Mil),1814.444413
Finland,2015,World,Intermediate goods,Export,Export(US$ Mil),22624.597888
Finland,2015,World,Consumer goods,Export,Export(US$ Mil),12122.508105
Finland,2015,World,Capital goods,Export,Export(US$ Mil),17841.717612
Finland,2015,World,Raw materials,Import,Import(US$ Mil),8877.519737
Finland,2015,World,Intermediate goods,Import,Import(US$ Mil),10091.124435
Finland,2015,World,Consumer goods,Import,Import(US$ Mil),19305.982422
Finland,2015,World,Capital goods,Import,Import(US$ Mil),15806.151187
