Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Fiji,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,140.32815
Fiji,2015,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,135.493466
Fiji,2015,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,66.170289
Fiji,2015,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,56.22355
Fiji,2015,Tonga,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,46.542874
Fiji,2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,396.299492
Fiji,2015,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,320.237129
Fiji,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,303.457741
Fiji,2015,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,297.371431
Fiji,2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,132.157835
Fiji,2015,World,Animal,Export,Export(US$ Mil),106.303007
Fiji,2015,World,Vegetable,Export,Export(US$ Mil),52.7362
Fiji,2015,World,Food Products,Export,Export(US$ Mil),239.77552
Fiji,2015,World,Minerals,Export,Export(US$ Mil),15.968758
Fiji,2015,World,Fuels,Export,Export(US$ Mil),200.400812
Fiji,2015,World,Chemicals,Export,Export(US$ Mil),25.044738
Fiji,2015,World,Plastic or Rubber,Export,Export(US$ Mil),6.851511
Fiji,2015,World,Hides and Skins,Export,Export(US$ Mil),0.501452
Fiji,2015,World,Wood,Export,Export(US$ Mil),57.067331
Fiji,2015,World,Textiles and Clothing,Export,Export(US$ Mil),61.458475
Fiji,2015,World,Footwear,Export,Export(US$ Mil),1.139686
Fiji,2015,World,Stone and Glass,Export,Export(US$ Mil),51.41141
Fiji,2015,World,Metals,Export,Export(US$ Mil),22.897743
Fiji,2015,World,Mach and Elec,Export,Export(US$ Mil),22.724042
Fiji,2015,World,Transportation,Export,Export(US$ Mil),18.406743
Fiji,2015,World,Miscellaneous,Export,Export(US$ Mil),12.472557
Fiji,2015,World,Raw materials,Export,Export(US$ Mil),147.35391
Fiji,2015,World,Intermediate goods,Export,Export(US$ Mil),217.015779
Fiji,2015,World,Consumer goods,Export,Export(US$ Mil),489.534208
Fiji,2015,World,Capital goods,Export,Export(US$ Mil),35.664409
Fiji,2015,World,Raw materials,Import,Import(US$ Mil),217.880109
Fiji,2015,World,Intermediate goods,Import,Import(US$ Mil),292.090168
Fiji,2015,World,Consumer goods,Import,Import(US$ Mil),1045.428697
Fiji,2015,World,Capital goods,Import,Import(US$ Mil),490.382798
Fiji,2015,World,All Products,Export,Exports (in US$ Mil),895.159986
Fiji,2015,World,All Products,Import,Imports (in US$ Mil),2080.875215
