Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
France,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,79145.56016
France,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,36216.033003
France,2015,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,36022.036014
France,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,35326.272469
France,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,35002.773764
France,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,96149.643877
France,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,51871.364118
France,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,41696.321975
France,2015,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,40813.156112
France,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,38775.095282
France,2015,World,Animal,Export,Export(US$ Mil),14118.904163
France,2015,World,Vegetable,Export,Export(US$ Mil),17565.158146
France,2015,World,Food Products,Export,Export(US$ Mil),33044.269266
France,2015,World,Minerals,Export,Export(US$ Mil),1058.669708
France,2015,World,Fuels,Export,Export(US$ Mil),14599.734134
France,2015,World,Chemicals,Export,Export(US$ Mil),73514.732568
France,2015,World,Plastic or Rubber,Export,Export(US$ Mil),24250.954138
France,2015,World,Hides and Skins,Export,Export(US$ Mil),7193.845631
France,2015,World,Wood,Export,Export(US$ Mil),11155.072516
France,2015,World,Textiles and Clothing,Export,Export(US$ Mil),14752.247652
France,2015,World,Footwear,Export,Export(US$ Mil),3466.610087
France,2015,World,Stone and Glass,Export,Export(US$ Mil),12052.132184
France,2015,World,Metals,Export,Export(US$ Mil),32139.014157
France,2015,World,Mach and Elec,Export,Export(US$ Mil),95640.720773
France,2015,World,Transportation,Export,Export(US$ Mil),100334.340759
France,2015,World,Miscellaneous,Export,Export(US$ Mil),39054.808339
France,2015,World,Raw materials,Export,Export(US$ Mil),28687.922393
France,2015,World,Intermediate goods,Export,Export(US$ Mil),95120.9162719999
France,2015,World,Consumer goods,Export,Export(US$ Mil),178021.695624
France,2015,World,Capital goods,Export,Export(US$ Mil),177151.669924
France,2015,World,Raw materials,Import,Import(US$ Mil),51908.64082
France,2015,World,Intermediate goods,Import,Import(US$ Mil),125309.110684
France,2015,World,Consumer goods,Import,Import(US$ Mil),226599.866529
France,2015,World,Capital goods,Import,Import(US$ Mil),153666.660614
France,2015,World,All Products,Export,Exports (in US$ Mil),493941.214224
France,2015,World,All Products,Import,Imports (in US$ Mil),563398.247561
France,2015,...,...,Development,Trade Balance (current US$ Mil),-33312.6317
France,2015,...,...,Development,GDP (current US$ Mil),2418835.5329
France,2015,...,...,Import,No. Of Import partners,234
France,2015,...,...,Import,No. Of Import products,4569
France,2015,...,...,Export,No. Of Export partners,228
France,2015,...,...,Export,No. Of Export products,4377
France,2015,...,...,Others,Population,66808385
France,2016,...,...,Others,Ease of Doing Business Rank,29
France,2016,...,...,Others,Trading Across Borders Rank,1
France,2014,...,...,Others,LPI Rank,13
France,2014,...,...,Others,LPI Score,3.847305
France,,...,...,Others,Services Trade Restrictions Index - Over All,26.4
France,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,16.0233
France,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,7.3321
France,2015,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2928
France,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,7.1519
France,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.0864
