Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
United Kingdom,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,69381.206892
United Kingdom,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,46631.518224
United Kingdom,2015,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,34021.568839
United Kingdom,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27625.408709
United Kingdom,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27275.621837
United Kingdom,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,94348.064382
United Kingdom,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,62979.613764
United Kingdom,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,58066.453965
United Kingdom,2015,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,47549.003521
United Kingdom,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,38703.822308
United Kingdom,2015,World,Animal,Export,Export(US$ Mil),6449.672514
United Kingdom,2015,World,Vegetable,Export,Export(US$ Mil),4110.933045
United Kingdom,2015,World,Food Products,Export,Export(US$ Mil),19154.299017
United Kingdom,2015,World,Minerals,Export,Export(US$ Mil),880.039667
United Kingdom,2015,World,Fuels,Export,Export(US$ Mil),32747.576919
United Kingdom,2015,World,Chemicals,Export,Export(US$ Mil),69619.234658
United Kingdom,2015,World,Plastic or Rubber,Export,Export(US$ Mil),14494.259152
United Kingdom,2015,World,Hides and Skins,Export,Export(US$ Mil),1784.787282
United Kingdom,2015,World,Wood,Export,Export(US$ Mil),8639.913833
United Kingdom,2015,World,Textiles and Clothing,Export,Export(US$ Mil),12637.305241
United Kingdom,2015,World,Footwear,Export,Export(US$ Mil),2505.738877
United Kingdom,2015,World,Stone and Glass,Export,Export(US$ Mil),57769.991495
United Kingdom,2015,World,Metals,Export,Export(US$ Mil),23046.885607
United Kingdom,2015,World,Mach and Elec,Export,Export(US$ Mil),92873.567278
United Kingdom,2015,World,Transportation,Export,Export(US$ Mil),70640.88536
United Kingdom,2015,World,Miscellaneous,Export,Export(US$ Mil),48940.59281
United Kingdom,2015,World,Raw materials,Export,Export(US$ Mil),30503.813963
United Kingdom,2015,World,Intermediate goods,Export,Export(US$ Mil),122068.741909
United Kingdom,2015,World,Consumer goods,Export,Export(US$ Mil),168970.141207
United Kingdom,2015,World,Capital goods,Export,Export(US$ Mil),128171.871898
United Kingdom,2015,World,Raw materials,Import,Import(US$ Mil),50236.520952
United Kingdom,2015,World,Intermediate goods,Import,Import(US$ Mil),115934.379329
United Kingdom,2015,World,Consumer goods,Import,Import(US$ Mil),266736.318032
United Kingdom,2015,World,Capital goods,Import,Import(US$ Mil),181055.592358
United Kingdom,2015,World,All Products,Export,Exports (in US$ Mil),466295.682754
United Kingdom,2015,World,All Products,Import,Imports (in US$ Mil),630251.057548
United Kingdom,2015,...,...,Development,Trade Balance (current US$ Mil),-59085.27557
United Kingdom,2015,...,...,Development,GDP (current US$ Mil),2858003.088
United Kingdom,2015,...,...,Import,No. Of Import partners,227
United Kingdom,2015,...,...,Import,No. Of Import products,4533
United Kingdom,2015,...,...,Export,No. Of Export partners,231
United Kingdom,2015,...,...,Export,No. Of Export products,4505
United Kingdom,2015,...,...,Others,Population,65138232
United Kingdom,2016,...,...,Others,Ease of Doing Business Rank,7
United Kingdom,2016,...,...,Others,Trading Across Borders Rank,28
United Kingdom,2014,...,...,Others,LPI Rank,4
United Kingdom,2014,...,...,Others,LPI Score,4.014649
United Kingdom,,...,...,Others,Services Trade Restrictions Index - Over All,14.3
United Kingdom,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,14.8792
United Kingdom,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,10.0004
United Kingdom,2015,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2961
United Kingdom,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,5.9244
United Kingdom,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,5.8494
United Kingdom,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,14.9699
United Kingdom,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.9928
United Kingdom,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,9.2132
United Kingdom,2015,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,7.5445
United Kingdom,2015,France,All Products,Import,Partner share(%)-Top 5 Import Partner,6.141
United Kingdom,2015,World,Animal,Export,Export Product share(%),1.3832
United Kingdom,2015,World,Vegetable,Export,Export Product share(%),0.8816
United Kingdom,2015,World,Food Products,Export,Export Product share(%),4.1078
United Kingdom,2015,World,Minerals,Export,Export Product share(%),0.1887
United Kingdom,2015,World,Fuels,Export,Export Product share(%),7.0229
United Kingdom,2015,World,Chemicals,Export,Export Product share(%),14.9303
United Kingdom,2015,World,Plastic or Rubber,Export,Export Product share(%),3.1084
United Kingdom,2015,World,Hides and Skins,Export,Export Product share(%),0.3828
United Kingdom,2015,World,Wood,Export,Export Product share(%),1.8529
United Kingdom,2015,World,Textiles and Clothing,Export,Export Product share(%),2.7101
United Kingdom,2015,World,Footwear,Export,Export Product share(%),0.5374
United Kingdom,2015,World,Stone and Glass,Export,Export Product share(%),12.3891
United Kingdom,2015,World,Metals,Export,Export Product share(%),4.9425
United Kingdom,2015,World,Mach and Elec,Export,Export Product share(%),19.9173
United Kingdom,2015,World,Transportation,Export,Export Product share(%),15.1494
United Kingdom,2015,World,Miscellaneous,Export,Export Product share(%),10.4956
United Kingdom,2015,World,Raw materials,Export,Export Product share(%),6.5417
United Kingdom,2015,World,Intermediate goods,Export,Export Product share(%),26.1784
United Kingdom,2015,World,Consumer goods,Export,Export Product share(%),36.2367
United Kingdom,2015,World,Capital goods,Export,Export Product share(%),27.4873
United Kingdom,2015,World,Raw materials,Import,Import Product share(%),7.9709
United Kingdom,2015,World,Intermediate goods,Import,Import Product share(%),18.395
United Kingdom,2015,World,Consumer goods,Import,Import Product share(%),42.3222
United Kingdom,2015,World,Capital goods,Import,Import Product share(%),28.7275
United Kingdom,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
United Kingdom,2015,World,All Products,Trade Indicator,Country Growth (%),-7.47976055810083
United Kingdom,2015,...,...,Trade Indicator,Index of export market penetration,33.0195133287551
United Kingdom,2015,...,...,Trade Indicator,HH Market concentration index,0.0503800429928059
United Kingdom,2015,...,...,Development,Trade Balance (% of GDP),-2.067362202
United Kingdom,2015,...,...,Development,Trade in services (% of GDP),19.42163491
United Kingdom,2015,...,...,Development,Trade (% of GDP),56.460787526
United Kingdom,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",43390
