Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ghana,2013,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2833.217377
Ghana,2013,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1659.718892
Ghana,2013,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1172.029141
Ghana,2013,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1097.461439
Ghana,2013,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,941.562368
Ghana,2013,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2280.469724
Ghana,2013,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1259.242239
Ghana,2013,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,918.051296
Ghana,2013,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,608.808934
Ghana,2013,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,541.870985
Ghana,2013,World,Animal,Export,Export(US$ Mil),19.056722
Ghana,2013,World,Vegetable,Export,Export(US$ Mil),767.555456
Ghana,2013,World,Food Products,Export,Export(US$ Mil),1554.552485
Ghana,2013,World,Minerals,Export,Export(US$ Mil),208.60118
Ghana,2013,World,Fuels,Export,Export(US$ Mil),3128.661526
Ghana,2013,World,Chemicals,Export,Export(US$ Mil),387.046131
Ghana,2013,World,Plastic or Rubber,Export,Export(US$ Mil),135.48939
Ghana,2013,World,Hides and Skins,Export,Export(US$ Mil),1.884686
Ghana,2013,World,Wood,Export,Export(US$ Mil),485.387841
Ghana,2013,World,Textiles and Clothing,Export,Export(US$ Mil),30.195139
Ghana,2013,World,Footwear,Export,Export(US$ Mil),2.819033
Ghana,2013,World,Stone and Glass,Export,Export(US$ Mil),5441.979586
Ghana,2013,World,Metals,Export,Export(US$ Mil),196.38859
Ghana,2013,World,Mach and Elec,Export,Export(US$ Mil),192.650051
Ghana,2013,World,Transportation,Export,Export(US$ Mil),28.207916
Ghana,2013,World,Miscellaneous,Export,Export(US$ Mil),63.423646
Ghana,2013,World,Raw materials,Export,Export(US$ Mil),5231.137369
Ghana,2013,World,Intermediate goods,Export,Export(US$ Mil),6265.136594
Ghana,2013,World,Consumer goods,Export,Export(US$ Mil),867.780715999999
Ghana,2013,World,Capital goods,Export,Export(US$ Mil),259.444058
Ghana,2013,World,Raw materials,Import,Import(US$ Mil),1029.127706
Ghana,2013,World,Intermediate goods,Import,Import(US$ Mil),3038.69509
Ghana,2013,World,Consumer goods,Import,Import(US$ Mil),4543.05853100001
Ghana,2013,World,Capital goods,Import,Import(US$ Mil),3940.842829
Ghana,2013,World,All Products,Export,Exports (in US$ Mil),12643.899375
Ghana,2013,World,All Products,Import,Imports (in US$ Mil),12787.233399
Ghana,2013,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1868612.949
Ghana,2015,...,...,Development,Trade Balance (current US$ Mil),-4335.308602
Ghana,2015,...,...,Development,GDP (current US$ Mil),37543.361204
Ghana,2013,...,...,Tariff,No. Of Tariff Agreement,2
