Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Guinea,2015,Ghana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,346.506953
Guinea,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,257.567675
Guinea,2015,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,156.064903
Guinea,2015,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,135.881614
Guinea,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,114.784738
Guinea,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,319.216639
Guinea,2015,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,287.208674
Guinea,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,232.834762
Guinea,2015,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,173.457142
Guinea,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,142.887576
Guinea,2015,World,Animal,Export,Export(US$ Mil),10.772784
Guinea,2015,World,Vegetable,Export,Export(US$ Mil),39.309392
Guinea,2015,World,Food Products,Export,Export(US$ Mil),20.86887
Guinea,2015,World,Minerals,Export,Export(US$ Mil),576.396476
Guinea,2015,World,Fuels,Export,Export(US$ Mil),3.368948
Guinea,2015,World,Chemicals,Export,Export(US$ Mil),2.436346
Guinea,2015,World,Plastic or Rubber,Export,Export(US$ Mil),38.361118
Guinea,2015,World,Hides and Skins,Export,Export(US$ Mil),0.145583
Guinea,2015,World,Wood,Export,Export(US$ Mil),121.93658
Guinea,2015,World,Textiles and Clothing,Export,Export(US$ Mil),3.935718
Guinea,2015,World,Footwear,Export,Export(US$ Mil),0.02526
Guinea,2015,World,Stone and Glass,Export,Export(US$ Mil),631.585484
Guinea,2015,World,Metals,Export,Export(US$ Mil),2.568079
Guinea,2015,World,Mach and Elec,Export,Export(US$ Mil),19.688659
Guinea,2015,World,Transportation,Export,Export(US$ Mil),96.173285
Guinea,2015,World,Miscellaneous,Export,Export(US$ Mil),6.10262
Guinea,2015,World,Raw materials,Export,Export(US$ Mil),671.013695
Guinea,2015,World,Intermediate goods,Export,Export(US$ Mil),640.280267
Guinea,2015,World,Consumer goods,Export,Export(US$ Mil),147.274375
Guinea,2015,World,Capital goods,Export,Export(US$ Mil),112.555758
Guinea,2015,World,Raw materials,Import,Import(US$ Mil),79.512792
Guinea,2015,World,Intermediate goods,Import,Import(US$ Mil),293.531946
Guinea,2015,World,Consumer goods,Import,Import(US$ Mil),1165.370841
Guinea,2015,World,Capital goods,Import,Import(US$ Mil),579.336956
Guinea,2015,World,All Products,Export,Exports (in US$ Mil),1573.675202
Guinea,2015,World,All Products,Import,Imports (in US$ Mil),2138.647793
Guinea,2008,World,All Products,Tariff,Duty Free Imports (US$ Thousand),50304.13
Guinea,2015,...,...,Development,Trade Balance (current US$ Mil),-1640.2341337
Guinea,2015,...,...,Development,GDP (current US$ Mil),6699.2035433
Guinea,2008,...,...,Tariff,No. Of Tariff Agreement,1
Guinea,2015,...,...,Import,No. Of Import partners,142
Guinea,2015,...,...,Import,No. Of Import products,2742
Guinea,2015,...,...,Export,No. Of Export partners,85
Guinea,2015,...,...,Export,No. Of Export products,465
Guinea,2015,...,...,Others,Population,12608590
Guinea,2016,...,...,Others,Ease of Doing Business Rank,163
Guinea,2016,...,...,Others,Trading Across Borders Rank,162
Guinea,2015,...,...,Others,CPIA Trade Ratings,3.5
Guinea,2014,...,...,Others,LPI Rank,122
Guinea,2014,...,...,Others,LPI Score,2.464191
Guinea,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),4803
Guinea,2012,...,...,Others,No Of NTM Measures,43
Guinea,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1294466
Guinea,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1294466
Guinea,2015,Ghana,All Products,Export,Partner share(%)-Top 5 Export Partner,22.019
Guinea,2015,India,All Products,Export,Partner share(%)-Top 5 Export Partner,16.3673
Guinea,2015,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,9.9172
Guinea,2015,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,8.6347
Guinea,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2941
Guinea,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.9261
Guinea,2015,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,13.4295
Guinea,2015,India,All Products,Import,Partner share(%)-Top 5 Import Partner,10.887
Guinea,2015,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,8.1106
Guinea,2015,France,All Products,Import,Partner share(%)-Top 5 Import Partner,6.6812
Guinea,2015,World,Animal,Export,Export Product share(%),0.6846
Guinea,2015,World,Vegetable,Export,Export Product share(%),2.4979
Guinea,2015,World,Food Products,Export,Export Product share(%),1.3261
Guinea,2015,World,Minerals,Export,Export Product share(%),36.6274
Guinea,2015,World,Fuels,Export,Export Product share(%),0.2141
Guinea,2015,World,Chemicals,Export,Export Product share(%),0.1548
Guinea,2015,World,Plastic or Rubber,Export,Export Product share(%),2.4377
Guinea,2015,World,Hides and Skins,Export,Export Product share(%),0.0093
Guinea,2015,World,Wood,Export,Export Product share(%),7.7485
Guinea,2015,World,Textiles and Clothing,Export,Export Product share(%),0.2501
Guinea,2015,World,Footwear,Export,Export Product share(%),0.0016
Guinea,2015,World,Stone and Glass,Export,Export Product share(%),40.1344
Guinea,2015,World,Metals,Export,Export Product share(%),0.1632
Guinea,2015,World,Mach and Elec,Export,Export Product share(%),1.2511
Guinea,2015,World,Transportation,Export,Export Product share(%),6.1114
Guinea,2015,World,Miscellaneous,Export,Export Product share(%),0.3878
Guinea,2015,World,Raw materials,Export,Export Product share(%),42.6399
Guinea,2015,World,Intermediate goods,Export,Export Product share(%),40.6869
Guinea,2015,World,Consumer goods,Export,Export Product share(%),9.3586
Guinea,2015,World,Capital goods,Export,Export Product share(%),7.1524
Guinea,2015,World,Raw materials,Import,Import Product share(%),3.7179
Guinea,2015,World,Intermediate goods,Import,Import Product share(%),13.7251
Guinea,2015,World,Consumer goods,Import,Import Product share(%),54.491
Guinea,2015,World,Capital goods,Import,Import Product share(%),27.0889
Guinea,2008,World,Raw materials,Tariff,Weighted Average (%),10.58927118305
Guinea,2008,World,Intermediate goods,Tariff,Weighted Average (%),11.2680603867177
Guinea,2008,World,Consumer goods,Tariff,Weighted Average (%),14.16142867701
Guinea,2008,World,Capital goods,Tariff,Weighted Average (%),7.53987839611992
Guinea,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Guinea,2015,World,All Products,Trade Indicator,Country Growth (%),-20.2372691068795
Guinea,2008,World,All Products,Tariff,Simple Average (%),13.5200239236657
Guinea,2008,World,All Products,Tariff,Weighted Average (%),11.9146378480369
Guinea,2008,World,All Products,Tariff,Maximum Rate (%),20
Guinea,2008,World,All Products,Tariff,Duty Free Tariff Lines Share (%),3.7795547373871
