Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Greece,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3216.638106
Greece,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2058.146109
Greece,2015,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1898.199095
Greece,2015,Cyprus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1570.261387
Greece,2015,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1416.11898
Greece,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5014.854738
Greece,2015,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3781.991369
Greece,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3710.270194
Greece,2015,Iraq,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3327.711707
Greece,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2831.346469
Greece,2015,World,Animal,Export,Export(US$ Mil),1339.005926
Greece,2015,World,Vegetable,Export,Export(US$ Mil),2184.481959
Greece,2015,World,Food Products,Export,Export(US$ Mil),2400.527625
Greece,2015,World,Minerals,Export,Export(US$ Mil),584.141509
Greece,2015,World,Fuels,Export,Export(US$ Mil),8430.925773
Greece,2015,World,Chemicals,Export,Export(US$ Mil),2276.347145
Greece,2015,World,Plastic or Rubber,Export,Export(US$ Mil),1175.0162
Greece,2015,World,Hides and Skins,Export,Export(US$ Mil),313.202929
Greece,2015,World,Wood,Export,Export(US$ Mil),453.683288
Greece,2015,World,Textiles and Clothing,Export,Export(US$ Mil),1294.935736
Greece,2015,World,Footwear,Export,Export(US$ Mil),89.089781
Greece,2015,World,Stone and Glass,Export,Export(US$ Mil),367.271775
Greece,2015,World,Metals,Export,Export(US$ Mil),3206.65637
Greece,2015,World,Mach and Elec,Export,Export(US$ Mil),2447.025034
Greece,2015,World,Transportation,Export,Export(US$ Mil),459.285446
Greece,2015,World,Miscellaneous,Export,Export(US$ Mil),1267.640086
Greece,2015,World,Raw materials,Export,Export(US$ Mil),3025.174458
Greece,2015,World,Intermediate goods,Export,Export(US$ Mil),5990.62888
Greece,2015,World,Consumer goods,Export,Export(US$ Mil),15917.027915
Greece,2015,World,Capital goods,Export,Export(US$ Mil),2587.609616
Greece,2015,World,Raw materials,Import,Import(US$ Mil),11715.120387
Greece,2015,World,Intermediate goods,Import,Import(US$ Mil),9041.38816300001
Greece,2015,World,Consumer goods,Import,Import(US$ Mil),17843.256927
Greece,2015,World,Capital goods,Import,Import(US$ Mil),8106.79649599999
Greece,2015,World,All Products,Export,Exports (in US$ Mil),28289.236579
Greece,2015,World,All Products,Import,Imports (in US$ Mil),47263.979668
Greece,2015,...,...,Development,Trade Balance (current US$ Mil),280.084063
Greece,2015,...,...,Development,GDP (current US$ Mil),194851.31917
Greece,2015,...,...,Import,No. Of Import partners,181
Greece,2015,...,...,Import,No. Of Import products,4428
Greece,2015,...,...,Export,No. Of Export partners,215
Greece,2015,...,...,Export,No. Of Export products,3968
Greece,2015,...,...,Others,Population,10823732
Greece,2016,...,...,Others,Ease of Doing Business Rank,61
Greece,2016,...,...,Others,Trading Across Borders Rank,29
Greece,2014,...,...,Others,LPI Rank,44
Greece,2014,...,...,Others,LPI Score,3.201602
Greece,,...,...,Others,Services Trade Restrictions Index - Over All,18
Greece,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,11.3705
Greece,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2754
Greece,2015,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,6.71
Greece,2015,Cyprus,All Products,Export,Partner share(%)-Top 5 Export Partner,5.5507
Greece,2015,Bulgaria,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0059
Greece,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,10.6103
Greece,2015,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,8.0018
Greece,2015,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,7.8501
Greece,2015,Iraq,All Products,Import,Partner share(%)-Top 5 Import Partner,7.0407
Greece,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,5.9905
Greece,2015,World,Animal,Export,Export Product share(%),4.7333
Greece,2015,World,Vegetable,Export,Export Product share(%),7.722
Greece,2015,World,Food Products,Export,Export Product share(%),8.4857
Greece,2015,World,Minerals,Export,Export Product share(%),2.0649
Greece,2015,World,Fuels,Export,Export Product share(%),29.8026
Greece,2015,World,Chemicals,Export,Export Product share(%),8.0467
Greece,2015,World,Plastic or Rubber,Export,Export Product share(%),4.1536
Greece,2015,World,Hides and Skins,Export,Export Product share(%),1.1071
Greece,2015,World,Wood,Export,Export Product share(%),1.6037
Greece,2015,World,Textiles and Clothing,Export,Export Product share(%),4.5775
Greece,2015,World,Footwear,Export,Export Product share(%),0.3149
Greece,2015,World,Stone and Glass,Export,Export Product share(%),1.2983
Greece,2015,World,Metals,Export,Export Product share(%),11.3353
Greece,2015,World,Mach and Elec,Export,Export Product share(%),8.65
Greece,2015,World,Transportation,Export,Export Product share(%),1.6235
Greece,2015,World,Miscellaneous,Export,Export Product share(%),4.481
Greece,2015,World,Raw materials,Export,Export Product share(%),10.6937
Greece,2015,World,Intermediate goods,Export,Export Product share(%),21.1764
Greece,2015,World,Consumer goods,Export,Export Product share(%),56.2653
Greece,2015,World,Capital goods,Export,Export Product share(%),9.147
Greece,2015,World,Raw materials,Import,Import Product share(%),24.7866
Greece,2015,World,Intermediate goods,Import,Import Product share(%),19.1296
Greece,2015,World,Consumer goods,Import,Import Product share(%),37.7523
Greece,2015,World,Capital goods,Import,Import Product share(%),17.1522
Greece,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Greece,2015,World,All Products,Trade Indicator,Country Growth (%),-11.7785186034777
