Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Grenada,2008,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.009413
Grenada,2008,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.984673
Grenada,2008,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.417863
Grenada,2008,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.862568
Grenada,2008,St. Kitts and Nevis,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.608837
Grenada,2008,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,112.208135
Grenada,2008,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,90.342017
Grenada,2008,Venezuela,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,25.451709
Grenada,2008,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16.115508
Grenada,2008,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12.95327
Grenada,2008,World,Animal,Export,Export(US$ Mil),3.018753
Grenada,2008,World,Vegetable,Export,Export(US$ Mil),10.477674
Grenada,2008,World,Food Products,Export,Export(US$ Mil),4.343452
Grenada,2008,World,Minerals,Export,Export(US$ Mil),0.000565
Grenada,2008,World,Fuels,Export,Export(US$ Mil),0.01499
Grenada,2008,World,Chemicals,Export,Export(US$ Mil),0.846839
Grenada,2008,World,Plastic or Rubber,Export,Export(US$ Mil),0.055957
Grenada,2008,World,Hides and Skins,Export,Export(US$ Mil),0.00442
Grenada,2008,World,Wood,Export,Export(US$ Mil),3.15721
Grenada,2008,World,Textiles and Clothing,Export,Export(US$ Mil),0.906464
Grenada,2008,World,Footwear,Export,Export(US$ Mil),0.013258
Grenada,2008,World,Stone and Glass,Export,Export(US$ Mil),0.136293
Grenada,2008,World,Metals,Export,Export(US$ Mil),1.214243
Grenada,2008,World,Mach and Elec,Export,Export(US$ Mil),3.294843
Grenada,2008,World,Transportation,Export,Export(US$ Mil),2.236498
Grenada,2008,World,Miscellaneous,Export,Export(US$ Mil),0.816735
Grenada,2008,World,Raw materials,Export,Export(US$ Mil),5.642743
Grenada,2008,World,Intermediate goods,Export,Export(US$ Mil),8.576261
Grenada,2008,World,Consumer goods,Export,Export(US$ Mil),11.175935
Grenada,2008,World,Capital goods,Export,Export(US$ Mil),5.080817
Grenada,2008,World,Raw materials,Import,Import(US$ Mil),22.189401
Grenada,2008,World,Intermediate goods,Import,Import(US$ Mil),64.473679
Grenada,2008,World,Consumer goods,Import,Import(US$ Mil),213.860399
Grenada,2008,World,Capital goods,Import,Import(US$ Mil),60.4929410000001
Grenada,2008,World,All Products,Export,Exports (in US$ Mil),30.53819
Grenada,2008,World,All Products,Import,Imports (in US$ Mil),363.304298
Grenada,2008,World,All Products,Tariff,Duty Free Imports (US$ Thousand),79579.723
Grenada,2015,...,...,Development,Trade Balance (current US$ Mil),-139.25925926
Grenada,2015,...,...,Development,GDP (current US$ Mil),984.07407407
Grenada,2008,...,...,Tariff,No. Of Tariff Agreement,2
Grenada,2008,...,...,Import,No. Of Import partners,127
Grenada,2008,...,...,Import,No. Of Import products,2929
Grenada,2008,...,...,Export,No. Of Export partners,51
Grenada,2008,...,...,Export,No. Of Export products,499
Grenada,2015,...,...,Others,Population,106825
Grenada,2016,...,...,Others,Ease of Doing Business Rank,138
Grenada,2016,...,...,Others,Trading Across Borders Rank,126
Grenada,2015,...,...,Others,CPIA Trade Ratings,4
Grenada,2008,Dominica,All Products,Export,Partner share(%)-Top 5 Export Partner,16.4038
Grenada,2008,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,16.3228
Grenada,2008,St. Lucia,All Products,Export,Partner share(%)-Top 5 Export Partner,11.1921
Grenada,2008,Barbados,All Products,Export,Partner share(%)-Top 5 Export Partner,9.3737
Grenada,2008,St. Kitts and Nevis,All Products,Export,Partner share(%)-Top 5 Export Partner,8.5429
Grenada,2008,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,30.8854
Grenada,2008,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,24.8668
Grenada,2008,Venezuela,All Products,Import,Partner share(%)-Top 5 Import Partner,7.0056
Grenada,2008,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,4.4358
