Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Guatemala,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3735.342822
Guatemala,2015,El Salvador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1239.767515
Guatemala,2015,Honduras,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,903.372628
Guatemala,2015,Nicaragua,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,554.815881
Guatemala,2015,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,429.805877
Guatemala,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6548.454908
Guatemala,2015,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2040.031659
Guatemala,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1868.217132
Guatemala,2015,El Salvador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,903.702206
Guatemala,2015,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,606.472333
Guatemala,2015,World,Animal,Export,Export(US$ Mil),73.299357
Guatemala,2015,World,Vegetable,Export,Export(US$ Mil),2751.817781
Guatemala,2015,World,Food Products,Export,Export(US$ Mil),1943.807237
Guatemala,2015,World,Minerals,Export,Export(US$ Mil),759.869394
Guatemala,2015,World,Fuels,Export,Export(US$ Mil),439.750512
Guatemala,2015,World,Chemicals,Export,Export(US$ Mil),1045.22269
Guatemala,2015,World,Plastic or Rubber,Export,Export(US$ Mil),482.969753
Guatemala,2015,World,Hides and Skins,Export,Export(US$ Mil),38.597145
Guatemala,2015,World,Wood,Export,Export(US$ Mil),356.125662
Guatemala,2015,World,Textiles and Clothing,Export,Export(US$ Mil),1611.923984
Guatemala,2015,World,Footwear,Export,Export(US$ Mil),41.366114
Guatemala,2015,World,Stone and Glass,Export,Export(US$ Mil),153.721683
Guatemala,2015,World,Metals,Export,Export(US$ Mil),498.372466
Guatemala,2015,World,Mach and Elec,Export,Export(US$ Mil),235.517159
Guatemala,2015,World,Transportation,Export,Export(US$ Mil),74.422012
Guatemala,2015,World,Miscellaneous,Export,Export(US$ Mil),170.611513
Guatemala,2015,World,Raw materials,Export,Export(US$ Mil),3362.862032
Guatemala,2015,World,Intermediate goods,Export,Export(US$ Mil),2531.435873
Guatemala,2015,World,Consumer goods,Export,Export(US$ Mil),4393.929831
Guatemala,2015,World,Capital goods,Export,Export(US$ Mil),327.227581
Guatemala,2015,World,Raw materials,Import,Import(US$ Mil),1148.488697
Guatemala,2015,World,Intermediate goods,Import,Import(US$ Mil),5002.32457000001
Guatemala,2015,World,Consumer goods,Import,Import(US$ Mil),7688.46031399999
Guatemala,2015,World,Capital goods,Import,Import(US$ Mil),3575.07149
Guatemala,2015,World,All Products,Export,Exports (in US$ Mil),10677.394462
Guatemala,2015,World,All Products,Import,Imports (in US$ Mil),17637.088553
Guatemala,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),14550364.99
Guatemala,2015,...,...,Development,Trade Balance (current US$ Mil),-5584.207261
Guatemala,2015,...,...,Development,GDP (current US$ Mil),63794.152886
Guatemala,2015,...,...,Tariff,No. Of Tariff Agreement,15
Guatemala,2015,...,...,Import,No. Of Import partners,142
Guatemala,2015,...,...,Import,No. Of Import products,4122
Guatemala,2015,...,...,Export,No. Of Export partners,143
Guatemala,2015,...,...,Export,No. Of Export products,3234
Guatemala,2015,...,...,Others,Population,16342897
Guatemala,2016,...,...,Others,Ease of Doing Business Rank,88
Guatemala,2016,...,...,Others,Trading Across Borders Rank,77
Guatemala,2014,...,...,Others,LPI Rank,77
Guatemala,2014,...,...,Others,LPI Score,2.797453
Guatemala,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),948
Guatemala,2014,...,...,Others,No Of NTM Measures,21
Guatemala,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1308463
Guatemala,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1685059
Guatemala,,...,...,Others,Services Trade Restrictions Index - Over All,17.7
Guatemala,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,34.9837
Guatemala,2015,El Salvador,All Products,Export,Partner share(%)-Top 5 Export Partner,11.6111
Guatemala,2015,Honduras,All Products,Export,Partner share(%)-Top 5 Export Partner,8.4606
Guatemala,2015,Nicaragua,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1962
Guatemala,2015,Mexico,All Products,Export,Partner share(%)-Top 5 Export Partner,4.0254
Guatemala,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,37.1289
Guatemala,2015,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,11.5667
Guatemala,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,10.5925
Guatemala,2015,El Salvador,All Products,Import,Partner share(%)-Top 5 Import Partner,5.1239
Guatemala,2015,Panama,All Products,Import,Partner share(%)-Top 5 Import Partner,3.4386
Guatemala,2015,World,Animal,Export,Export Product share(%),0.6865
Guatemala,2015,World,Vegetable,Export,Export Product share(%),25.7724
Guatemala,2015,World,Food Products,Export,Export Product share(%),18.2049
Guatemala,2015,World,Minerals,Export,Export Product share(%),7.1166
Guatemala,2015,World,Fuels,Export,Export Product share(%),4.1185
Guatemala,2015,World,Chemicals,Export,Export Product share(%),9.7891
Guatemala,2015,World,Plastic or Rubber,Export,Export Product share(%),4.5233
Guatemala,2015,World,Hides and Skins,Export,Export Product share(%),0.3615
Guatemala,2015,World,Wood,Export,Export Product share(%),3.3353
Guatemala,2015,World,Textiles and Clothing,Export,Export Product share(%),15.0966
Guatemala,2015,World,Footwear,Export,Export Product share(%),0.3874
Guatemala,2015,World,Stone and Glass,Export,Export Product share(%),1.4397
Guatemala,2015,World,Metals,Export,Export Product share(%),4.6675
Guatemala,2015,World,Mach and Elec,Export,Export Product share(%),2.2058
Guatemala,2015,World,Transportation,Export,Export Product share(%),0.697
Guatemala,2015,World,Miscellaneous,Export,Export Product share(%),1.5979
Guatemala,2015,World,Raw materials,Export,Export Product share(%),31.4952
Guatemala,2015,World,Intermediate goods,Export,Export Product share(%),23.7084
Guatemala,2015,World,Consumer goods,Export,Export Product share(%),41.1517
Guatemala,2015,World,Capital goods,Export,Export Product share(%),3.0647
Guatemala,2015,World,Raw materials,Import,Import Product share(%),6.5118
Guatemala,2015,World,Intermediate goods,Import,Import Product share(%),28.3625
Guatemala,2015,World,Consumer goods,Import,Import Product share(%),43.5926
Guatemala,2015,World,Capital goods,Import,Import Product share(%),20.2702
Guatemala,2015,World,Raw materials,Tariff,Weighted Average (%),3.67667592239707
Guatemala,2015,World,Intermediate goods,Tariff,Weighted Average (%),1.31405053631933
Guatemala,2015,World,Consumer goods,Tariff,Weighted Average (%),1.68375555190566
Guatemala,2015,World,Capital goods,Tariff,Weighted Average (%),0.458432152582131
Guatemala,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Guatemala,2015,World,All Products,Trade Indicator,Country Growth (%),-1.21832166461999
Guatemala,2015,World,All Products,Tariff,Simple Average (%),3.32852603978416
Guatemala,2015,World,All Products,Tariff,Weighted Average (%),1.39026501810503
Guatemala,2015,World,All Products,Tariff,Maximum Rate (%),40
Guatemala,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),64.5040557279665
Guatemala,2015,...,...,Trade Indicator,Index of export market penetration,3.31225629327038
Guatemala,2015,...,...,Trade Indicator,HH Market concentration index,0.202568219948468
Guatemala,2015,...,...,Development,Trade Balance (% of GDP),-8.753478193
Guatemala,2015,...,...,Development,Trade in services (% of GDP),9.2440051245
Guatemala,2015,...,...,Development,Trade (% of GDP),51.333403385
Guatemala,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",3590
