Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Guyana,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,310.878212
Guyana,2015,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,158.63324
Guyana,2015,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,123.518561
Guyana,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,91.187993
Guyana,2015,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,75.796738
Guyana,2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,700.674159
Guyana,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,429.365385
Guyana,2015,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,329.202055
Guyana,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,113.513589
Guyana,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,56.052175
Guyana,2015,World,Animal,Export,Export(US$ Mil),88.840673
Guyana,2015,World,Vegetable,Export,Export(US$ Mil),221.519055
Guyana,2015,World,Food Products,Export,Export(US$ Mil),187.376423
Guyana,2015,World,Minerals,Export,Export(US$ Mil),139.860518
Guyana,2015,World,Fuels,Export,Export(US$ Mil),0.114134
Guyana,2015,World,Chemicals,Export,Export(US$ Mil),10.244166
Guyana,2015,World,Plastic or Rubber,Export,Export(US$ Mil),3.148293
Guyana,2015,World,Hides and Skins,Export,Export(US$ Mil),0.136327
Guyana,2015,World,Wood,Export,Export(US$ Mil),52.030234
Guyana,2015,World,Textiles and Clothing,Export,Export(US$ Mil),2.840439
Guyana,2015,World,Footwear,Export,Export(US$ Mil),0.096605
Guyana,2015,World,Stone and Glass,Export,Export(US$ Mil),374.889433
Guyana,2015,World,Metals,Export,Export(US$ Mil),14.187867
Guyana,2015,World,Mach and Elec,Export,Export(US$ Mil),34.020778
Guyana,2015,World,Transportation,Export,Export(US$ Mil),154.981872
Guyana,2015,World,Miscellaneous,Export,Export(US$ Mil),1.54113
Guyana,2015,World,Raw materials,Export,Export(US$ Mil),456.484575
