Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Hong Kong, China",2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,287481.665804
"Hong Kong, China",2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,44347.030247
"Hong Kong, China",2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15944.986278
"Hong Kong, China",2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13272.334232
"Hong Kong, China",2015,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9927.520425
"Hong Kong, China",2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,261109.4835
"Hong Kong, China",2015,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,36270.388771
"Hong Kong, China",2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35251.079609
"Hong Kong, China",2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,34573.489317
"Hong Kong, China",2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30949.516205
"Hong Kong, China",2015,World,Animal,Export,Export(US$ Mil),3291.965712
"Hong Kong, China",2015,World,Vegetable,Export,Export(US$ Mil),2285.316817
"Hong Kong, China",2015,World,Food Products,Export,Export(US$ Mil),3872.306052
"Hong Kong, China",2015,World,Minerals,Export,Export(US$ Mil),90.928728
"Hong Kong, China",2015,World,Fuels,Export,Export(US$ Mil),726.423002
"Hong Kong, China",2015,World,Chemicals,Export,Export(US$ Mil),7328.231422
"Hong Kong, China",2015,World,Plastic or Rubber,Export,Export(US$ Mil),13028.427703
"Hong Kong, China",2015,World,Hides and Skins,Export,Export(US$ Mil),8737.48087
"Hong Kong, China",2015,World,Wood,Export,Export(US$ Mil),4040.809925
"Hong Kong, China",2015,World,Textiles and Clothing,Export,Export(US$ Mil),26541.834877
"Hong Kong, China",2015,World,Footwear,Export,Export(US$ Mil),4538.668976
"Hong Kong, China",2015,World,Stone and Glass,Export,Export(US$ Mil),76764.260414
"Hong Kong, China",2015,World,Metals,Export,Export(US$ Mil),7435.559819
"Hong Kong, China",2015,World,Mach and Elec,Export,Export(US$ Mil),313434.815887
"Hong Kong, China",2015,World,Transportation,Export,Export(US$ Mil),2109.462587
"Hong Kong, China",2015,World,Miscellaneous,Export,Export(US$ Mil),36306.497441
"Hong Kong, China",2015,World,Raw materials,Export,Export(US$ Mil),10508.479721
"Hong Kong, China",2015,World,Intermediate goods,Export,Export(US$ Mil),100684.867688
"Hong Kong, China",2015,World,Consumer goods,Export,Export(US$ Mil),84740.641801
"Hong Kong, China",2015,World,Capital goods,Export,Export(US$ Mil),311576.121523
"Hong Kong, China",2015,World,Raw materials,Import,Import(US$ Mil),19176.579914
"Hong Kong, China",2015,World,Intermediate goods,Import,Import(US$ Mil),100652.028092
"Hong Kong, China",2015,World,Consumer goods,Import,Import(US$ Mil),106405.488744
"Hong Kong, China",2015,World,Capital goods,Import,Import(US$ Mil),330249.121082
"Hong Kong, China",2015,World,All Products,Export,Exports (in US$ Mil),510532.990228
"Hong Kong, China",2015,World,All Products,Import,Imports (in US$ Mil),559283.82209
"Hong Kong, China",2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),547546061.85
"Hong Kong, China",2015,...,...,Development,Trade Balance (current US$ Mil),7228.90168
"Hong Kong, China",2015,...,...,Development,GDP (current US$ Mil),309234.50037
"Hong Kong, China",2015,...,...,Tariff,No. Of Tariff Agreement,1
"Hong Kong, China",2015,...,...,Import,No. Of Import partners,191
"Hong Kong, China",2015,...,...,Import,No. Of Import products,4191
"Hong Kong, China",2015,...,...,Export,No. Of Export partners,195
"Hong Kong, China",2015,...,...,Export,No. Of Export products,4027
"Hong Kong, China",2015,...,...,Others,Population,7305700
"Hong Kong, China",2016,...,...,Others,Ease of Doing Business Rank,4
"Hong Kong, China",2016,...,...,Others,Trading Across Borders Rank,42
"Hong Kong, China",2014,...,...,Others,LPI Rank,15
"Hong Kong, China",2014,...,...,Others,LPI Score,3.826763
"Hong Kong, China",2010,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
"Hong Kong, China",2010,...,...,Others,No Of NTM Measures,56
"Hong Kong, China",2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0129341
"Hong Kong, China",2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0129341
"Hong Kong, China",2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,56.3101
"Hong Kong, China",2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,8.6864
"Hong Kong, China",2015,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,3.1232
"Hong Kong, China",2015,India,All Products,Export,Partner share(%)-Top 5 Export Partner,2.5997
"Hong Kong, China",2015,Vietnam,All Products,Export,Partner share(%)-Top 5 Export Partner,1.9445
"Hong Kong, China",2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,46.6864
"Hong Kong, China",2015,"Other Asia, nes",All Products,Import,Partner share(%)-Top 5 Import Partner,6.4851
"Hong Kong, China",2015,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3029
"Hong Kong, China",2015,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,6.1817
"Hong Kong, China",2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.5338
"Hong Kong, China",2015,World,Animal,Export,Export Product share(%),0.6448
"Hong Kong, China",2015,World,Vegetable,Export,Export Product share(%),0.4476
"Hong Kong, China",2015,World,Food Products,Export,Export Product share(%),0.7585
"Hong Kong, China",2015,World,Minerals,Export,Export Product share(%),0.0178
"Hong Kong, China",2015,World,Fuels,Export,Export Product share(%),0.1423
"Hong Kong, China",2015,World,Chemicals,Export,Export Product share(%),1.4354
"Hong Kong, China",2015,World,Plastic or Rubber,Export,Export Product share(%),2.5519
"Hong Kong, China",2015,World,Hides and Skins,Export,Export Product share(%),1.7114
"Hong Kong, China",2015,World,Wood,Export,Export Product share(%),0.7915
"Hong Kong, China",2015,World,Textiles and Clothing,Export,Export Product share(%),5.1988
"Hong Kong, China",2015,World,Footwear,Export,Export Product share(%),0.889
"Hong Kong, China",2015,World,Stone and Glass,Export,Export Product share(%),15.0361
"Hong Kong, China",2015,World,Metals,Export,Export Product share(%),1.4564
"Hong Kong, China",2015,World,Mach and Elec,Export,Export Product share(%),61.3936
"Hong Kong, China",2015,World,Transportation,Export,Export Product share(%),0.4132
