Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Honduras,2014,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2006.405684
Honduras,2014,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,326.243151
Honduras,2014,El Salvador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,276.888821
Honduras,2014,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,227.199466
Honduras,2014,Nicaragua,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,211.807715
Honduras,2014,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3259.435111
Honduras,2014,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,900.221553
Honduras,2014,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,601.485054
Honduras,2014,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,533.304269
Honduras,2014,El Salvador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,321.303
Honduras,2014,World,Animal,Export,Export(US$ Mil),473.343549
Honduras,2014,World,Vegetable,Export,Export(US$ Mil),1493.334528
Honduras,2014,World,Food Products,Export,Export(US$ Mil),443.562517
Honduras,2014,World,Minerals,Export,Export(US$ Mil),107.934847
Honduras,2014,World,Fuels,Export,Export(US$ Mil),1.182818
Honduras,2014,World,Chemicals,Export,Export(US$ Mil),263.37929
Honduras,2014,World,Plastic or Rubber,Export,Export(US$ Mil),186.591951
Honduras,2014,World,Hides and Skins,Export,Export(US$ Mil),5.028034
Honduras,2014,World,Wood,Export,Export(US$ Mil),297.3996
Honduras,2014,World,Textiles and Clothing,Export,Export(US$ Mil),19.487982
Honduras,2014,World,Footwear,Export,Export(US$ Mil),7.87214
Honduras,2014,World,Stone and Glass,Export,Export(US$ Mil),198.471678
Honduras,2014,World,Metals,Export,Export(US$ Mil),281.477351
Honduras,2014,World,Mach and Elec,Export,Export(US$ Mil),644.48963
Honduras,2014,World,Transportation,Export,Export(US$ Mil),55.453198
Honduras,2014,World,Miscellaneous,Export,Export(US$ Mil),54.338528
Honduras,2014,World,Raw materials,Export,Export(US$ Mil),1908.341381
Honduras,2014,World,Intermediate goods,Export,Export(US$ Mil),961.893793
Honduras,2014,World,Consumer goods,Export,Export(US$ Mil),1528.443959
Honduras,2014,World,Capital goods,Export,Export(US$ Mil),119.135674
Honduras,2014,World,Raw materials,Import,Import(US$ Mil),449.908822
Honduras,2014,World,Intermediate goods,Import,Import(US$ Mil),1534.141956
Honduras,2014,World,Consumer goods,Import,Import(US$ Mil),4528.83213899999
