Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Croatia,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1717.48909
Croatia,2015,Slovenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1575.563456
Croatia,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1452.601728
Croatia,2015,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1248.870803
Croatia,2015,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,840.876574
Croatia,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3196.302929
Croatia,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2707.729767
Croatia,2015,Slovenia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2194.719134
Croatia,2015,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1881.679359
Croatia,2015,Hungary,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1596.199007
Croatia,2015,World,Animal,Export,Export(US$ Mil),335.763764
Croatia,2015,World,Vegetable,Export,Export(US$ Mil),421.013827
Croatia,2015,World,Food Products,Export,Export(US$ Mil),962.72994
Croatia,2015,World,Minerals,Export,Export(US$ Mil),207.433522
Croatia,2015,World,Fuels,Export,Export(US$ Mil),1400.629851
Croatia,2015,World,Chemicals,Export,Export(US$ Mil),1314.671576
Croatia,2015,World,Plastic or Rubber,Export,Export(US$ Mil),396.646869
Croatia,2015,World,Hides and Skins,Export,Export(US$ Mil),250.750673
Croatia,2015,World,Wood,Export,Export(US$ Mil),1039.745891
Croatia,2015,World,Textiles and Clothing,Export,Export(US$ Mil),857.717385
Croatia,2015,World,Footwear,Export,Export(US$ Mil),246.392855
Croatia,2015,World,Stone and Glass,Export,Export(US$ Mil),418.088987
Croatia,2015,World,Metals,Export,Export(US$ Mil),961.257676
Croatia,2015,World,Mach and Elec,Export,Export(US$ Mil),2247.922772
Croatia,2015,World,Transportation,Export,Export(US$ Mil),903.213167
Croatia,2015,World,Miscellaneous,Export,Export(US$ Mil),879.550567
Croatia,2015,World,Raw materials,Export,Export(US$ Mil),1200.117434
Croatia,2015,World,Intermediate goods,Export,Export(US$ Mil),3210.67063
Croatia,2015,World,Consumer goods,Export,Export(US$ Mil),5490.52684700001
Croatia,2015,World,Capital goods,Export,Export(US$ Mil),2815.265003
Croatia,2015,World,Raw materials,Import,Import(US$ Mil),2188.544719
Croatia,2015,World,Intermediate goods,Import,Import(US$ Mil),5555.363791
Croatia,2015,World,Consumer goods,Import,Import(US$ Mil),8698.745989
Croatia,2015,World,Capital goods,Import,Import(US$ Mil),3858.308393
Croatia,2015,World,All Products,Export,Exports (in US$ Mil),12843.529322
Croatia,2015,World,All Products,Import,Imports (in US$ Mil),20580.470841
Croatia,2013,World,All Products,Tariff,Duty Free Imports (US$ Thousand),18161055.57
Croatia,2015,...,...,Development,Trade Balance (current US$ Mil),1335.033799
Croatia,2015,...,...,Development,GDP (current US$ Mil),48732.003674
Croatia,2013,...,...,Tariff,No. Of Tariff Agreement,13
Croatia,2015,...,...,Import,No. Of Import partners,159
Croatia,2015,...,...,Import,No. Of Import products,4349
Croatia,2015,...,...,Export,No. Of Export partners,183
Croatia,2015,...,...,Export,No. Of Export products,3909
Croatia,2015,...,...,Others,Population,4224404
Croatia,2016,...,...,Others,Ease of Doing Business Rank,43
Croatia,2016,...,...,Others,Trading Across Borders Rank,1
Croatia,2014,...,...,Others,LPI Rank,55
Croatia,2014,...,...,Others,LPI Score,3.052949
Croatia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0213094
Croatia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0622957
Croatia,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,13.3724
Croatia,2015,Slovenia,All Products,Export,Partner share(%)-Top 5 Export Partner,12.2674
Croatia,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,11.31
Croatia,2015,Bosnia and Herzegovina,All Products,Export,Partner share(%)-Top 5 Export Partner,9.7237
Croatia,2015,Austria,All Products,Export,Partner share(%)-Top 5 Export Partner,6.5471
Croatia,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,15.5308
Croatia,2015,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,13.1568
