Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Hungary,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27340.552047
Hungary,2015,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5355.448751
Hungary,2015,Slovak Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4992.122167
Hungary,2015,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4793.650721
Hungary,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4665.013923
Hungary,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23774.536609
Hungary,2015,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5997.545589
Hungary,2015,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5007.158557
Hungary,2015,Slovak Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4794.848317
Hungary,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4776.87686
Hungary,2015,World,Animal,Export,Export(US$ Mil),1836.570214
Hungary,2015,World,Vegetable,Export,Export(US$ Mil),3166.216377
Hungary,2015,World,Food Products,Export,Export(US$ Mil),3415.926534
Hungary,2015,World,Minerals,Export,Export(US$ Mil),66.538436
Hungary,2015,World,Fuels,Export,Export(US$ Mil),2302.117787
Hungary,2015,World,Chemicals,Export,Export(US$ Mil),8410.099797
Hungary,2015,World,Plastic or Rubber,Export,Export(US$ Mil),6373.526902
Hungary,2015,World,Hides and Skins,Export,Export(US$ Mil),465.870337
Hungary,2015,World,Wood,Export,Export(US$ Mil),2130.060363
Hungary,2015,World,Textiles and Clothing,Export,Export(US$ Mil),1350.667829
Hungary,2015,World,Footwear,Export,Export(US$ Mil),437.444108
Hungary,2015,World,Stone and Glass,Export,Export(US$ Mil),1615.186615
Hungary,2015,World,Metals,Export,Export(US$ Mil),4395.188067
Hungary,2015,World,Mach and Elec,Export,Export(US$ Mil),38483.938381
Hungary,2015,World,Transportation,Export,Export(US$ Mil),18220.39495
Hungary,2015,World,Miscellaneous,Export,Export(US$ Mil),7627.100626
Hungary,2015,World,Raw materials,Export,Export(US$ Mil),4918.989831
Hungary,2015,World,Intermediate goods,Export,Export(US$ Mil),13635.768072
Hungary,2015,World,Consumer goods,Export,Export(US$ Mil),35661.6570040001
Hungary,2015,World,Capital goods,Export,Export(US$ Mil),41265.730428
Hungary,2015,World,Raw materials,Import,Import(US$ Mil),4538.076886
Hungary,2015,World,Intermediate goods,Import,Import(US$ Mil),17102.844057
Hungary,2015,World,Consumer goods,Import,Import(US$ Mil),25486.911439
Hungary,2015,World,Capital goods,Import,Import(US$ Mil),37810.743486
Hungary,2015,World,All Products,Export,Exports (in US$ Mil),100296.847323
Hungary,2015,World,All Products,Import,Imports (in US$ Mil),90760.850877
Hungary,2002,World,All Products,Tariff,Duty Free Imports (US$ Thousand),7140691
Hungary,2015,...,...,Development,Trade Balance (current US$ Mil),10845.418992
Hungary,2015,...,...,Development,GDP (current US$ Mil),121715.20321
Hungary,2002,...,...,Tariff,No. Of Tariff Agreement,1
Hungary,2015,...,...,Import,No. Of Import partners,171
Hungary,2015,...,...,Import,No. Of Import products,4394
Hungary,2015,...,...,Export,No. Of Export partners,207
Hungary,2015,...,...,Export,No. Of Export products,4010
Hungary,2015,...,...,Others,Population,9844686
