Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Iceland,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1230.289811
Iceland,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,548.20653
Iceland,2015,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,545.354959
Iceland,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,351.694055
Iceland,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,269.553181
Iceland,2015,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,536.131161
Iceland,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,453.767397
Iceland,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,415.462244
Iceland,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,414.334776
Iceland,2015,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,375.364938
Iceland,2015,World,Animal,Export,Export(US$ Mil),1663.368093
Iceland,2015,World,Vegetable,Export,Export(US$ Mil),100.507673
Iceland,2015,World,Food Products,Export,Export(US$ Mil),382.640702
Iceland,2015,World,Minerals,Export,Export(US$ Mil),10.474304
Iceland,2015,World,Fuels,Export,Export(US$ Mil),76.057572
Iceland,2015,World,Chemicals,Export,Export(US$ Mil),89.857039
Iceland,2015,World,Plastic or Rubber,Export,Export(US$ Mil),20.750395
Iceland,2015,World,Hides and Skins,Export,Export(US$ Mil),7.618485
Iceland,2015,World,Wood,Export,Export(US$ Mil),5.548554
Iceland,2015,World,Textiles and Clothing,Export,Export(US$ Mil),9.702669
Iceland,2015,World,Footwear,Export,Export(US$ Mil),0.266002
Iceland,2015,World,Stone and Glass,Export,Export(US$ Mil),4.080879
Iceland,2015,World,Metals,Export,Export(US$ Mil),2036.829885
Iceland,2015,World,Mach and Elec,Export,Export(US$ Mil),135.531667
Iceland,2015,World,Transportation,Export,Export(US$ Mil),41.80354
Iceland,2015,World,Miscellaneous,Export,Export(US$ Mil),136.947486
Iceland,2015,World,Raw materials,Export,Export(US$ Mil),1360.001724
Iceland,2015,World,Intermediate goods,Export,Export(US$ Mil),2560.589811
Iceland,2015,World,Consumer goods,Export,Export(US$ Mil),530.856671
Iceland,2015,World,Capital goods,Export,Export(US$ Mil),235.083182
Iceland,2015,World,Raw materials,Import,Import(US$ Mil),336.34233
Iceland,2015,World,Intermediate goods,Import,Import(US$ Mil),1114.078152
Iceland,2015,World,Consumer goods,Import,Import(US$ Mil),2263.821836
Iceland,2015,World,Capital goods,Import,Import(US$ Mil),1532.487299
Iceland,2015,World,All Products,Export,Exports (in US$ Mil),4721.984946
Iceland,2015,World,All Products,Import,Imports (in US$ Mil),5285.373474
Iceland,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4762622.90400001
Iceland,2015,...,...,Development,GDP (current US$ Mil),16598.494831
Iceland,2015,...,...,Tariff,No. Of Tariff Agreement,32
Iceland,2015,...,...,Import,No. Of Import partners,148
Iceland,2015,...,...,Import,No. Of Import products,4015
Iceland,2015,...,...,Export,No. Of Export partners,125
Iceland,2015,...,...,Export,No. Of Export products,1520
Iceland,2015,...,...,Others,Population,330823
Iceland,2016,...,...,Others,Ease of Doing Business Rank,20
Iceland,2016,...,...,Others,Trading Across Borders Rank,66
Iceland,2014,...,...,Others,LPI Rank,37
Iceland,2014,...,...,Others,LPI Score,3.391863
Iceland,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0435967
Iceland,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.058861
Iceland,2015,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,26.0545
Iceland,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,11.6097
Iceland,2015,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,11.5493
Iceland,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,7.448
Iceland,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,5.7085
Iceland,2015,Norway,All Products,Import,Partner share(%)-Top 5 Import Partner,10.1437
Iceland,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,8.5853
Iceland,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,7.8606
Iceland,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,7.8393
Iceland,2015,Denmark,All Products,Import,Partner share(%)-Top 5 Import Partner,7.102
Iceland,2015,World,Animal,Export,Export Product share(%),35.226
Iceland,2015,World,Vegetable,Export,Export Product share(%),2.1285
Iceland,2015,World,Food Products,Export,Export Product share(%),8.1034
Iceland,2015,World,Minerals,Export,Export Product share(%),0.2218
Iceland,2015,World,Fuels,Export,Export Product share(%),1.6107
Iceland,2015,World,Chemicals,Export,Export Product share(%),1.903
Iceland,2015,World,Plastic or Rubber,Export,Export Product share(%),0.4394
Iceland,2015,World,Hides and Skins,Export,Export Product share(%),0.1613
Iceland,2015,World,Wood,Export,Export Product share(%),0.1175
Iceland,2015,World,Textiles and Clothing,Export,Export Product share(%),0.2055
Iceland,2015,World,Footwear,Export,Export Product share(%),0.0056
Iceland,2015,World,Stone and Glass,Export,Export Product share(%),0.0864
Iceland,2015,World,Metals,Export,Export Product share(%),43.135
Iceland,2015,World,Mach and Elec,Export,Export Product share(%),2.8702
Iceland,2015,World,Transportation,Export,Export Product share(%),0.8853
Iceland,2015,World,Miscellaneous,Export,Export Product share(%),2.9002
Iceland,2015,World,Raw materials,Export,Export Product share(%),28.8015
Iceland,2015,World,Intermediate goods,Export,Export Product share(%),54.227
Iceland,2015,World,Consumer goods,Export,Export Product share(%),11.2422
Iceland,2015,World,Capital goods,Export,Export Product share(%),4.9785
Iceland,2015,World,Raw materials,Import,Import Product share(%),6.3636
Iceland,2015,World,Intermediate goods,Import,Import Product share(%),21.0785
Iceland,2015,World,Consumer goods,Import,Import Product share(%),42.8318
Iceland,2015,World,Capital goods,Import,Import Product share(%),28.9949
Iceland,2015,World,Raw materials,Tariff,Weighted Average (%),12.3237500928434
Iceland,2015,World,Intermediate goods,Tariff,Weighted Average (%),0.736527215001062
Iceland,2015,World,Consumer goods,Tariff,Weighted Average (%),1.73635777359515
Iceland,2015,World,Capital goods,Tariff,Weighted Average (%),0.0792724825158152
Iceland,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Iceland,2015,World,All Products,Trade Indicator,Country Growth (%),-3.69774273651078
Iceland,2015,World,All Products,Tariff,Simple Average (%),2.22271832787608
Iceland,2015,World,All Products,Tariff,Weighted Average (%),1.41990107145832
Iceland,2015,World,All Products,Tariff,Maximum Rate (%),2460.39306640625
Iceland,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),86.3034048913791
Iceland,2015,...,...,Trade Indicator,Index of export market penetration,2.83322654995382
Iceland,2015,...,...,Trade Indicator,HH Market concentration index,0.10492207898802
Iceland,2015,...,...,Development,Trade in services (% of GDP),43.238063309
