Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kazakhstan,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8136.263745
Kazakhstan,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5480.137487
Kazakhstan,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4980.963558
Kazakhstan,2015,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4547.502102
Kazakhstan,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2681.283149
Kazakhstan,2015,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10529.281493
Kazakhstan,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5087.800821
Kazakhstan,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1985.981596
Kazakhstan,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1484.348596
Kazakhstan,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1174.452051
Kazakhstan,2015,World,Animal,Export,Export(US$ Mil),123.418528
Kazakhstan,2015,World,Vegetable,Export,Export(US$ Mil),1665.805283
Kazakhstan,2015,World,Food Products,Export,Export(US$ Mil),347.167071
Kazakhstan,2015,World,Minerals,Export,Export(US$ Mil),1633.533845
Kazakhstan,2015,World,Fuels,Export,Export(US$ Mil),31119.562305
Kazakhstan,2015,World,Chemicals,Export,Export(US$ Mil),3264.664377
Kazakhstan,2015,World,Plastic or Rubber,Export,Export(US$ Mil),93.942322
Kazakhstan,2015,World,Hides and Skins,Export,Export(US$ Mil),33.672462
Kazakhstan,2015,World,Wood,Export,Export(US$ Mil),30.690353
Kazakhstan,2015,World,Textiles and Clothing,Export,Export(US$ Mil),108.595081
Kazakhstan,2015,World,Footwear,Export,Export(US$ Mil),79.963699
Kazakhstan,2015,World,Stone and Glass,Export,Export(US$ Mil),767.588152
Kazakhstan,2015,World,Metals,Export,Export(US$ Mil),6014.949476
Kazakhstan,2015,World,Mach and Elec,Export,Export(US$ Mil),367.098288
Kazakhstan,2015,World,Transportation,Export,Export(US$ Mil),243.964509
Kazakhstan,2015,World,Miscellaneous,Export,Export(US$ Mil),59.810295
Kazakhstan,2015,World,Raw materials,Export,Export(US$ Mil),30360.714468
Kazakhstan,2015,World,Intermediate goods,Export,Export(US$ Mil),10400.522431
Kazakhstan,2015,World,Consumer goods,Export,Export(US$ Mil),4554.37046099999
Kazakhstan,2015,World,Capital goods,Export,Export(US$ Mil),602.199773000001
Kazakhstan,2015,World,Raw materials,Import,Import(US$ Mil),1824.16801
Kazakhstan,2015,World,Intermediate goods,Import,Import(US$ Mil),6385.535516
Kazakhstan,2015,World,Consumer goods,Import,Import(US$ Mil),11270.905042
Kazakhstan,2015,World,Capital goods,Import,Import(US$ Mil),10758.222719
Kazakhstan,2015,World,All Products,Export,Exports (in US$ Mil),45954.426051
Kazakhstan,2015,World,All Products,Import,Imports (in US$ Mil),30567.159492
Kazakhstan,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),6196861.70000001
Kazakhstan,2015,...,...,Development,Trade Balance (current US$ Mil),6953.649128
Kazakhstan,2015,...,...,Development,GDP (current US$ Mil),184388.43215
Kazakhstan,2015,...,...,Tariff,No. Of Tariff Agreement,7
Kazakhstan,2015,...,...,Import,No. Of Import partners,180
Kazakhstan,2015,...,...,Import,No. Of Import products,4350
Kazakhstan,2015,...,...,Export,No. Of Export partners,117
Kazakhstan,2015,...,...,Export,No. Of Export products,2718
Kazakhstan,2015,...,...,Others,Population,17544126
Kazakhstan,2016,...,...,Others,Ease of Doing Business Rank,35
Kazakhstan,2016,...,...,Others,Trading Across Borders Rank,119
Kazakhstan,2014,...,...,Others,LPI Rank,88
Kazakhstan,2014,...,...,Others,LPI Score,2.69942
Kazakhstan,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),2354
Kazakhstan,2012,...,...,Others,No Of NTM Measures,29
Kazakhstan,,...,...,Others,Services Trade Restrictions Index - Over All,17
Kazakhstan,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,17.7051
