Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kenya,2013,Uganda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,658.740553
Kenya,2013,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,436.038229
Kenya,2013,Tanzania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,424.18563
Kenya,2013,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,378.074296
Kenya,2013,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,347.269965
Kenya,2013,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2998.426331
Kenya,2013,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2117.408938
Kenya,2013,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1362.720694
Kenya,2013,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,972.11795
Kenya,2013,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,821.211304
Kenya,2013,World,Animal,Export,Export(US$ Mil),76.287948
Kenya,2013,World,Vegetable,Export,Export(US$ Mil),2432.872293
Kenya,2013,World,Food Products,Export,Export(US$ Mil),529.995711
Kenya,2013,World,Minerals,Export,Export(US$ Mil),169.55757
Kenya,2013,World,Fuels,Export,Export(US$ Mil),218.377556
Kenya,2013,World,Chemicals,Export,Export(US$ Mil),419.513887
Kenya,2013,World,Plastic or Rubber,Export,Export(US$ Mil),189.343103
Kenya,2013,World,Hides and Skins,Export,Export(US$ Mil),102.191255
Kenya,2013,World,Wood,Export,Export(US$ Mil),138.671954
Kenya,2013,World,Textiles and Clothing,Export,Export(US$ Mil),377.059716
Kenya,2013,World,Footwear,Export,Export(US$ Mil),59.18699
Kenya,2013,World,Stone and Glass,Export,Export(US$ Mil),129.071235
Kenya,2013,World,Metals,Export,Export(US$ Mil),328.023524
Kenya,2013,World,Mach and Elec,Export,Export(US$ Mil),128.774476
Kenya,2013,World,Transportation,Export,Export(US$ Mil),83.603594
Kenya,2013,World,Miscellaneous,Export,Export(US$ Mil),154.421818
Kenya,2013,World,Raw materials,Export,Export(US$ Mil),737.074081
Kenya,2013,World,Intermediate goods,Export,Export(US$ Mil),945.989448
Kenya,2013,World,Consumer goods,Export,Export(US$ Mil),3517.15483700001
Kenya,2013,World,Capital goods,Export,Export(US$ Mil),216.751453
Kenya,2013,World,Raw materials,Import,Import(US$ Mil),1110.931828
Kenya,2013,World,Intermediate goods,Import,Import(US$ Mil),4512.12270600001
Kenya,2013,World,Consumer goods,Import,Import(US$ Mil),6319.467798
Kenya,2013,World,Capital goods,Import,Import(US$ Mil),4144.40209
Kenya,2013,World,All Products,Export,Exports (in US$ Mil),5536.952633
Kenya,2013,World,All Products,Import,Imports (in US$ Mil),16394.469337
Kenya,2013,World,All Products,Tariff,Duty Free Imports (US$ Thousand),6019930.28899999
Kenya,2015,...,...,Development,Trade Balance (current US$ Mil),-8412.1178413
Kenya,2015,...,...,Development,GDP (current US$ Mil),63398.04154
Kenya,2013,...,...,Tariff,No. Of Tariff Agreement,4
Kenya,2013,...,...,Import,No. Of Import partners,170
Kenya,2013,...,...,Import,No. Of Import products,4082
Kenya,2013,...,...,Export,No. Of Export partners,169
Kenya,2013,...,...,Export,No. Of Export products,3277
Kenya,2015,...,...,Others,Population,46050302
Kenya,2016,...,...,Others,Ease of Doing Business Rank,92
Kenya,2016,...,...,Others,Trading Across Borders Rank,105
Kenya,2015,...,...,Others,CPIA Trade Ratings,4
Kenya,2014,...,...,Others,LPI Rank,74
Kenya,2014,...,...,Others,LPI Score,2.812079
Kenya,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1223468
Kenya,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1305724
Kenya,,...,...,Others,Services Trade Restrictions Index - Over All,29.5
Kenya,2013,Uganda,All Products,Export,Partner share(%)-Top 5 Export Partner,11.8972
Kenya,2013,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.8751
Kenya,2013,Tanzania,All Products,Export,Partner share(%)-Top 5 Export Partner,7.661
Kenya,2013,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,6.8282
Kenya,2013,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2719
Kenya,2013,India,All Products,Import,Partner share(%)-Top 5 Import Partner,18.2893
Kenya,2013,China,All Products,Import,Partner share(%)-Top 5 Import Partner,12.9154
Kenya,2013,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,8.3121
Kenya,2013,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,5.9295
Kenya,2013,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,5.0091
Kenya,2013,World,Animal,Export,Export Product share(%),1.3778
Kenya,2013,World,Vegetable,Export,Export Product share(%),43.9388
Kenya,2013,World,Food Products,Export,Export Product share(%),9.572
Kenya,2013,World,Minerals,Export,Export Product share(%),3.0623
Kenya,2013,World,Fuels,Export,Export Product share(%),3.944
Kenya,2013,World,Chemicals,Export,Export Product share(%),7.5766
Kenya,2013,World,Plastic or Rubber,Export,Export Product share(%),3.4196
Kenya,2013,World,Hides and Skins,Export,Export Product share(%),1.8456
Kenya,2013,World,Wood,Export,Export Product share(%),2.5045
Kenya,2013,World,Textiles and Clothing,Export,Export Product share(%),6.8099
Kenya,2013,World,Footwear,Export,Export Product share(%),1.0689
Kenya,2013,World,Stone and Glass,Export,Export Product share(%),2.3311
Kenya,2013,World,Metals,Export,Export Product share(%),5.9243
Kenya,2013,World,Mach and Elec,Export,Export Product share(%),2.3257
Kenya,2013,World,Transportation,Export,Export Product share(%),1.5099
Kenya,2013,World,Miscellaneous,Export,Export Product share(%),2.7889
Kenya,2013,World,Raw materials,Export,Export Product share(%),13.3119
Kenya,2013,World,Intermediate goods,Export,Export Product share(%),17.085
Kenya,2013,World,Consumer goods,Export,Export Product share(%),63.5215
Kenya,2013,World,Capital goods,Export,Export Product share(%),3.9146
Kenya,2013,World,Raw materials,Import,Import Product share(%),6.7763
Kenya,2013,World,Intermediate goods,Import,Import Product share(%),27.5222
Kenya,2013,World,Consumer goods,Import,Import Product share(%),38.5463
Kenya,2013,World,Capital goods,Import,Import Product share(%),25.2793
Kenya,2013,World,Raw materials,Tariff,Weighted Average (%),4.69675205669296
Kenya,2013,World,Intermediate goods,Tariff,Weighted Average (%),8.13380842568572
Kenya,2013,World,Consumer goods,Tariff,Weighted Average (%),13.8337685341784
Kenya,2013,World,Capital goods,Tariff,Weighted Average (%),5.09190180386988
Kenya,2013,World,All Products,Trade Indicator,World Growth (%),1.03191856260878
Kenya,2013,World,All Products,Trade Indicator,Country Growth (%),1.66521394283463
Kenya,2013,World,All Products,Tariff,Simple Average (%),11.7191114319538
Kenya,2013,World,All Products,Tariff,Weighted Average (%),9.64204431544562
Kenya,2013,World,All Products,Tariff,Maximum Rate (%),100
Kenya,2013,World,All Products,Tariff,Duty Free Tariff Lines Share (%),40.0872267039138
Kenya,2013,...,...,Trade Indicator,Index of export market penetration,3.41681148991805
Kenya,2013,...,...,Trade Indicator,HH Market concentration index,0.0517242761905458
Kenya,2015,...,...,Development,Trade Balance (% of GDP),-13.268734549
Kenya,2015,...,...,Development,Trade (% of GDP),44.806774791
Kenya,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",1340
