Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cambodia,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2136.784183
Cambodia,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,869.03882
Cambodia,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,748.370618
Cambodia,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,571.552437
Cambodia,2015,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,551.035209
Cambodia,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3926.204044
Cambodia,2015,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1561.488197
Cambodia,2015,Vietnam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,926.966
Cambodia,2015,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,714.281221
Cambodia,2015,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,629.991553
Cambodia,2015,World,Animal,Export,Export(US$ Mil),1.121345
Cambodia,2015,World,Vegetable,Export,Export(US$ Mil),342.979446
Cambodia,2015,World,Food Products,Export,Export(US$ Mil),81.562595
Cambodia,2015,World,Minerals,Export,Export(US$ Mil),1.425186
Cambodia,2015,World,Fuels,Export,Export(US$ Mil),0.002513
Cambodia,2015,World,Chemicals,Export,Export(US$ Mil),42.194137
Cambodia,2015,World,Plastic or Rubber,Export,Export(US$ Mil),235.043814
Cambodia,2015,World,Hides and Skins,Export,Export(US$ Mil),271.628939
Cambodia,2015,World,Wood,Export,Export(US$ Mil),24.793085
Cambodia,2015,World,Textiles and Clothing,Export,Export(US$ Mil),6045.45736
Cambodia,2015,World,Footwear,Export,Export(US$ Mil),677.085241
Cambodia,2015,World,Stone and Glass,Export,Export(US$ Mil),55.450223
Cambodia,2015,World,Metals,Export,Export(US$ Mil),31.745806
Cambodia,2015,World,Mach and Elec,Export,Export(US$ Mil),376.300845
Cambodia,2015,World,Transportation,Export,Export(US$ Mil),286.571281
Cambodia,2015,World,Miscellaneous,Export,Export(US$ Mil),69.071823
Cambodia,2015,World,Raw materials,Export,Export(US$ Mil),220.352225
Cambodia,2015,World,Intermediate goods,Export,Export(US$ Mil),327.294397
Cambodia,2015,World,Consumer goods,Export,Export(US$ Mil),7654.955923
Cambodia,2015,World,Capital goods,Export,Export(US$ Mil),335.833951
Cambodia,2015,World,Raw materials,Import,Import(US$ Mil),361.348861
Cambodia,2015,World,Intermediate goods,Import,Import(US$ Mil),5943.5205
