Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Kiribati,2013,Morocco,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.616243
Kiribati,2013,Marshall Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.854392
Kiribati,2013,Philippines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.833224
Kiribati,2013,Fiji,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.808352
Kiribati,2013,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.629142
Kiribati,2013,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26.03858
Kiribati,2013,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20.484839
Kiribati,2013,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14.498922
Kiribati,2013,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12.800853
Kiribati,2013,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4.88636
Kiribati,2013,World,Animal,Export,Export(US$ Mil),0.617108
Kiribati,2013,World,Vegetable,Export,Export(US$ Mil),3.294262
Kiribati,2013,World,Food Products,Export,Export(US$ Mil),0.160217
Kiribati,2013,World,Minerals,Export,Export(US$ Mil),
Kiribati,2013,World,Fuels,Export,Export(US$ Mil),2.166588
Kiribati,2013,World,Chemicals,Export,Export(US$ Mil),
Kiribati,2013,World,Plastic or Rubber,Export,Export(US$ Mil),3E-06
Kiribati,2013,World,Hides and Skins,Export,Export(US$ Mil),
Kiribati,2013,World,Wood,Export,Export(US$ Mil),0.000145
Kiribati,2013,World,Textiles and Clothing,Export,Export(US$ Mil),
Kiribati,2013,World,Footwear,Export,Export(US$ Mil),
Kiribati,2013,World,Stone and Glass,Export,Export(US$ Mil),
Kiribati,2013,World,Metals,Export,Export(US$ Mil),0.069854
Kiribati,2013,World,Mach and Elec,Export,Export(US$ Mil),0.111692
Kiribati,2013,World,Transportation,Export,Export(US$ Mil),0.162328
Kiribati,2013,World,Miscellaneous,Export,Export(US$ Mil),0.09272
Kiribati,2013,World,Raw materials,Export,Export(US$ Mil),1.359663
Kiribati,2013,World,Intermediate goods,Export,Export(US$ Mil),2.844714
Kiribati,2013,World,Consumer goods,Export,Export(US$ Mil),2.264059
Kiribati,2013,World,Capital goods,Export,Export(US$ Mil),0.1526
Kiribati,2013,World,Raw materials,Import,Import(US$ Mil),5.576183
Kiribati,2013,World,Intermediate goods,Import,Import(US$ Mil),13.974719
Kiribati,2013,World,Consumer goods,Import,Import(US$ Mil),55.226877
Kiribati,2013,World,Capital goods,Import,Import(US$ Mil),20.629054
Kiribati,2013,World,All Products,Export,Exports (in US$ Mil),6.674917
Kiribati,2013,World,All Products,Import,Imports (in US$ Mil),97.105975
Kiribati,2015,...,...,Development,Trade Balance (current US$ Mil),-134.775749384
Kiribati,2015,...,...,Development,GDP (current US$ Mil),160.12192923
Kiribati,2013,...,...,Import,No. Of Import partners,53
Kiribati,2013,...,...,Import,No. Of Import products,1883
Kiribati,2013,...,...,Export,No. Of Export partners,22
Kiribati,2013,...,...,Export,No. Of Export products,50
Kiribati,2015,...,...,Others,Population,112423
Kiribati,2016,...,...,Others,Ease of Doing Business Rank,152
Kiribati,2016,...,...,Others,Trading Across Borders Rank,124
Kiribati,2015,...,...,Others,CPIA Trade Ratings,3.5
Kiribati,2013,Morocco,All Products,Export,Partner share(%)-Top 5 Export Partner,24.2137
Kiribati,2013,Marshall Islands,All Products,Export,Partner share(%)-Top 5 Export Partner,12.8
Kiribati,2013,Philippines,All Products,Export,Partner share(%)-Top 5 Export Partner,12.4829
Kiribati,2013,Fiji,All Products,Export,Partner share(%)-Top 5 Export Partner,12.1103
Kiribati,2013,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,9.4255
Kiribati,2013,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,26.8146
Kiribati,2013,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,21.0953
Kiribati,2013,Fiji,All Products,Import,Partner share(%)-Top 5 Import Partner,14.931
Kiribati,2013,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,13.1824
Kiribati,2013,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.032
Kiribati,2013,World,Animal,Export,Export Product share(%),9.2452
Kiribati,2013,World,Vegetable,Export,Export Product share(%),49.3529
Kiribati,2013,World,Food Products,Export,Export Product share(%),2.4003
Kiribati,2013,World,Minerals,Export,Export Product share(%),
Kiribati,2013,World,Fuels,Export,Export Product share(%),32.4587
Kiribati,2013,World,Chemicals,Export,Export Product share(%),
Kiribati,2013,World,Plastic or Rubber,Export,Export Product share(%),0
Kiribati,2013,World,Hides and Skins,Export,Export Product share(%),
Kiribati,2013,World,Wood,Export,Export Product share(%),0.0022
Kiribati,2013,World,Textiles and Clothing,Export,Export Product share(%),
Kiribati,2013,World,Footwear,Export,Export Product share(%),
Kiribati,2013,World,Stone and Glass,Export,Export Product share(%),
Kiribati,2013,World,Metals,Export,Export Product share(%),1.0465
Kiribati,2013,World,Mach and Elec,Export,Export Product share(%),1.6733
Kiribati,2013,World,Transportation,Export,Export Product share(%),2.4319
Kiribati,2013,World,Miscellaneous,Export,Export Product share(%),1.3891
Kiribati,2013,World,Raw materials,Export,Export Product share(%),20.3697
Kiribati,2013,World,Intermediate goods,Export,Export Product share(%),42.618
Kiribati,2013,World,Consumer goods,Export,Export Product share(%),33.9189
Kiribati,2013,World,Capital goods,Export,Export Product share(%),2.2862
Kiribati,2013,World,Raw materials,Import,Import Product share(%),5.7424
Kiribati,2013,World,Intermediate goods,Import,Import Product share(%),14.3912
Kiribati,2013,World,Consumer goods,Import,Import Product share(%),56.8728
Kiribati,2013,World,Capital goods,Import,Import Product share(%),21.2439
Kiribati,2013,World,All Products,Trade Indicator,World Growth (%),1.03191856260878
Kiribati,2013,World,All Products,Trade Indicator,Country Growth (%),17.7484917223824
Kiribati,2013,...,...,Trade Indicator,Index of export market penetration,1.16254435676076
Kiribati,2013,...,...,Trade Indicator,HH Market concentration index,0.401426657006289
Kiribati,2015,...,...,Development,Trade Balance (% of GDP),-84.170700432
Kiribati,2015,...,...,Development,Trade (% of GDP),109.13101962
Kiribati,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",3390
