Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
St. Kitts and Nevis,2011,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,36.699676
St. Kitts and Nevis,2011,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.370236
St. Kitts and Nevis,2011,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.183486
St. Kitts and Nevis,2011,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.060844
St. Kitts and Nevis,2011,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.00355
St. Kitts and Nevis,2011,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,166.054941
St. Kitts and Nevis,2011,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15.505684
St. Kitts and Nevis,2011,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10.113077
St. Kitts and Nevis,2011,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6.152382
St. Kitts and Nevis,2011,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5.494291
St. Kitts and Nevis,2011,World,Animal,Export,Export(US$ Mil),1.151878
St. Kitts and Nevis,2011,World,Vegetable,Export,Export(US$ Mil),0.018604
St. Kitts and Nevis,2011,World,Food Products,Export,Export(US$ Mil),3.493624
St. Kitts and Nevis,2011,World,Minerals,Export,Export(US$ Mil),0.000148
St. Kitts and Nevis,2011,World,Fuels,Export,Export(US$ Mil),0.008031
St. Kitts and Nevis,2011,World,Chemicals,Export,Export(US$ Mil),0.266066
St. Kitts and Nevis,2011,World,Plastic or Rubber,Export,Export(US$ Mil),1.051501
St. Kitts and Nevis,2011,World,Hides and Skins,Export,Export(US$ Mil),0.015459
St. Kitts and Nevis,2011,World,Wood,Export,Export(US$ Mil),7.685702
St. Kitts and Nevis,2011,World,Textiles and Clothing,Export,Export(US$ Mil),0.105739
St. Kitts and Nevis,2011,World,Footwear,Export,Export(US$ Mil),0.002418
St. Kitts and Nevis,2011,World,Stone and Glass,Export,Export(US$ Mil),0.088798
St. Kitts and Nevis,2011,World,Metals,Export,Export(US$ Mil),0.300213
St. Kitts and Nevis,2011,World,Mach and Elec,Export,Export(US$ Mil),26.357124
St. Kitts and Nevis,2011,World,Transportation,Export,Export(US$ Mil),4.002994
St. Kitts and Nevis,2011,World,Miscellaneous,Export,Export(US$ Mil),0.337731
St. Kitts and Nevis,2011,World,Raw materials,Export,Export(US$ Mil),0.924313
St. Kitts and Nevis,2011,World,Intermediate goods,Export,Export(US$ Mil),0.447814
St. Kitts and Nevis,2011,World,Consumer goods,Export,Export(US$ Mil),13.276174
St. Kitts and Nevis,2011,World,Capital goods,Export,Export(US$ Mil),30.230547
St. Kitts and Nevis,2011,World,Raw materials,Import,Import(US$ Mil),18.80873
St. Kitts and Nevis,2011,World,Intermediate goods,Import,Import(US$ Mil),32.518689
St. Kitts and Nevis,2011,World,Consumer goods,Import,Import(US$ Mil),136.394093
St. Kitts and Nevis,2011,World,Capital goods,Import,Import(US$ Mil),54.75106
St. Kitts and Nevis,2011,World,All Products,Export,Exports (in US$ Mil),44.886028
St. Kitts and Nevis,2011,World,All Products,Import,Imports (in US$ Mil),246.655292
St. Kitts and Nevis,2011,World,All Products,Tariff,Duty Free Imports (US$ Thousand),38412.266
St. Kitts and Nevis,2015,...,...,Development,Trade Balance (current US$ Mil),-150.63888889
St. Kitts and Nevis,2015,...,...,Development,GDP (current US$ Mil),876.47855556
St. Kitts and Nevis,2011,...,...,Tariff,No. Of Tariff Agreement,4
St. Kitts and Nevis,2011,...,...,Import,No. Of Import partners,131
St. Kitts and Nevis,2011,...,...,Import,No. Of Import products,2845
St. Kitts and Nevis,2011,...,...,Export,No. Of Export partners,43
St. Kitts and Nevis,2011,...,...,Export,No. Of Export products,379
St. Kitts and Nevis,2015,...,...,Others,Population,55572
St. Kitts and Nevis,2016,...,...,Others,Ease of Doing Business Rank,134
St. Kitts and Nevis,2016,...,...,Others,Trading Across Borders Rank,72
St. Kitts and Nevis,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1557126
St. Kitts and Nevis,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1557125
St. Kitts and Nevis,2011,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,81.7619
St. Kitts and Nevis,2011,Antigua and Barbuda,All Products,Export,Partner share(%)-Top 5 Export Partner,3.0527
St. Kitts and Nevis,2011,Trinidad and Tobago,All Products,Export,Partner share(%)-Top 5 Export Partner,2.6366
St. Kitts and Nevis,2011,St. Lucia,All Products,Export,Partner share(%)-Top 5 Export Partner,2.3634
St. Kitts and Nevis,2011,Dominica,All Products,Export,Partner share(%)-Top 5 Export Partner,2.2358
St. Kitts and Nevis,2011,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,67.3227
St. Kitts and Nevis,2011,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,6.2864
St. Kitts and Nevis,2011,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,4.1001
St. Kitts and Nevis,2011,China,All Products,Import,Partner share(%)-Top 5 Import Partner,2.4943
St. Kitts and Nevis,2011,Canada,All Products,Import,Partner share(%)-Top 5 Import Partner,2.2275
St. Kitts and Nevis,2011,World,Animal,Export,Export Product share(%),2.5662
St. Kitts and Nevis,2011,World,Vegetable,Export,Export Product share(%),0.0414
St. Kitts and Nevis,2011,World,Food Products,Export,Export Product share(%),7.7833
St. Kitts and Nevis,2011,World,Minerals,Export,Export Product share(%),0.0003
St. Kitts and Nevis,2011,World,Fuels,Export,Export Product share(%),0.0179
St. Kitts and Nevis,2011,World,Chemicals,Export,Export Product share(%),0.5928
St. Kitts and Nevis,2011,World,Plastic or Rubber,Export,Export Product share(%),2.3426
St. Kitts and Nevis,2011,World,Hides and Skins,Export,Export Product share(%),0.0344
St. Kitts and Nevis,2011,World,Wood,Export,Export Product share(%),17.1227
St. Kitts and Nevis,2011,World,Textiles and Clothing,Export,Export Product share(%),0.2356
St. Kitts and Nevis,2011,World,Footwear,Export,Export Product share(%),0.0054
St. Kitts and Nevis,2011,World,Stone and Glass,Export,Export Product share(%),0.1978
St. Kitts and Nevis,2011,World,Metals,Export,Export Product share(%),0.6688
St. Kitts and Nevis,2011,World,Mach and Elec,Export,Export Product share(%),58.7201
St. Kitts and Nevis,2011,World,Transportation,Export,Export Product share(%),8.9181
St. Kitts and Nevis,2011,World,Miscellaneous,Export,Export Product share(%),0.7524
St. Kitts and Nevis,2011,World,Raw materials,Export,Export Product share(%),2.0592
St. Kitts and Nevis,2011,World,Intermediate goods,Export,Export Product share(%),0.9977
St. Kitts and Nevis,2011,World,Consumer goods,Export,Export Product share(%),29.5775
St. Kitts and Nevis,2011,World,Capital goods,Export,Export Product share(%),67.3496
St. Kitts and Nevis,2011,World,Raw materials,Import,Import Product share(%),7.6255
St. Kitts and Nevis,2011,World,Intermediate goods,Import,Import Product share(%),13.1839
St. Kitts and Nevis,2011,World,Consumer goods,Import,Import Product share(%),55.2975
St. Kitts and Nevis,2011,World,Capital goods,Import,Import Product share(%),22.1974
