Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Korea, Rep.",2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,137140.475711
"Korea, Rep.",2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,70130.052444
"Korea, Rep.",2015,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,30420.918784
"Korea, Rep.",2015,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27773.261473
"Korea, Rep.",2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,25596.215333
"Korea, Rep.",2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,90235.421574
"Korea, Rep.",2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45853.947243
"Korea, Rep.",2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,44213.113845
"Korea, Rep.",2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20951.550632
"Korea, Rep.",2015,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19572.876008
"Korea, Rep.",2015,World,Animal,Export,Export(US$ Mil),1514.893499
"Korea, Rep.",2015,World,Vegetable,Export,Export(US$ Mil),903.319713
"Korea, Rep.",2015,World,Food Products,Export,Export(US$ Mil),4609.626578
"Korea, Rep.",2015,World,Minerals,Export,Export(US$ Mil),642.894969
"Korea, Rep.",2015,World,Fuels,Export,Export(US$ Mil),33179.993812
"Korea, Rep.",2015,World,Chemicals,Export,Export(US$ Mil),34486.431656
"Korea, Rep.",2015,World,Plastic or Rubber,Export,Export(US$ Mil),35100.545634
"Korea, Rep.",2015,World,Hides and Skins,Export,Export(US$ Mil),1221.097359
"Korea, Rep.",2015,World,Wood,Export,Export(US$ Mil),3416.70031
"Korea, Rep.",2015,World,Textiles and Clothing,Export,Export(US$ Mil),14042.658961
"Korea, Rep.",2015,World,Footwear,Export,Export(US$ Mil),660.944606
"Korea, Rep.",2015,World,Stone and Glass,Export,Export(US$ Mil),5824.013711
