Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Lebanon,2014,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,377.375729
Lebanon,2014,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,319.918919
Lebanon,2014,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,296.97274
Lebanon,2014,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,255.895025
Lebanon,2014,Syrian Arab Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,241.958327
Lebanon,2014,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2483.268548
Lebanon,2014,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1644.327574
Lebanon,2014,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1273.649218
Lebanon,2014,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1256.409259
Lebanon,2014,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1226.561954
Lebanon,2014,World,Animal,Export,Export(US$ Mil),25.790008
Lebanon,2014,World,Vegetable,Export,Export(US$ Mil),240.132568
Lebanon,2014,World,Food Products,Export,Export(US$ Mil),515.090928
Lebanon,2014,World,Minerals,Export,Export(US$ Mil),10.880816
Lebanon,2014,World,Fuels,Export,Export(US$ Mil),32.300619
Lebanon,2014,World,Chemicals,Export,Export(US$ Mil),381.315764
Lebanon,2014,World,Plastic or Rubber,Export,Export(US$ Mil),137.084537
Lebanon,2014,World,Hides and Skins,Export,Export(US$ Mil),20.712768
Lebanon,2014,World,Wood,Export,Export(US$ Mil),244.270918
Lebanon,2014,World,Textiles and Clothing,Export,Export(US$ Mil),123.912959
Lebanon,2014,World,Footwear,Export,Export(US$ Mil),26.807406
Lebanon,2014,World,Stone and Glass,Export,Export(US$ Mil),577.200462
Lebanon,2014,World,Metals,Export,Export(US$ Mil),374.088315
Lebanon,2014,World,Mach and Elec,Export,Export(US$ Mil),443.096299
