Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
St. Lucia,2014,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,64.990065
St. Lucia,2014,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21.305536
St. Lucia,2014,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16.75392
St. Lucia,2014,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12.960516
St. Lucia,2014,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.027254
St. Lucia,2014,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,291.998774
St. Lucia,2014,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,133.606271
St. Lucia,2014,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28.709672
St. Lucia,2014,Barbados,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19.490607
St. Lucia,2014,Jamaica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13.160694
St. Lucia,2014,World,Animal,Export,Export(US$ Mil),0.118811
St. Lucia,2014,World,Vegetable,Export,Export(US$ Mil),2.150873
St. Lucia,2014,World,Food Products,Export,Export(US$ Mil),30.297988
St. Lucia,2014,World,Minerals,Export,Export(US$ Mil),5.866976
St. Lucia,2014,World,Fuels,Export,Export(US$ Mil),30.362243
St. Lucia,2014,World,Chemicals,Export,Export(US$ Mil),4.543288
St. Lucia,2014,World,Plastic or Rubber,Export,Export(US$ Mil),1.040051
St. Lucia,2014,World,Hides and Skins,Export,Export(US$ Mil),0.365406
St. Lucia,2014,World,Wood,Export,Export(US$ Mil),7.072756
St. Lucia,2014,World,Textiles and Clothing,Export,Export(US$ Mil),2.731499
St. Lucia,2014,World,Footwear,Export,Export(US$ Mil),0.823598
St. Lucia,2014,World,Stone and Glass,Export,Export(US$ Mil),16.341624
St. Lucia,2014,World,Metals,Export,Export(US$ Mil),4.961648
St. Lucia,2014,World,Mach and Elec,Export,Export(US$ Mil),22.845215
St. Lucia,2014,World,Transportation,Export,Export(US$ Mil),2.044848
St. Lucia,2014,World,Miscellaneous,Export,Export(US$ Mil),14.725441
St. Lucia,2014,World,Raw materials,Export,Export(US$ Mil),9.611435
St. Lucia,2014,World,Intermediate goods,Export,Export(US$ Mil),9.37269100000001
St. Lucia,2014,World,Consumer goods,Export,Export(US$ Mil),96.7850100000001
St. Lucia,2014,World,Capital goods,Export,Export(US$ Mil),23.934753
St. Lucia,2014,World,Raw materials,Import,Import(US$ Mil),45.904545
St. Lucia,2014,World,Intermediate goods,Import,Import(US$ Mil),78.814725
St. Lucia,2014,World,Consumer goods,Import,Import(US$ Mil),394.846264999999
St. Lucia,2014,World,Capital goods,Import,Import(US$ Mil),91.8720859999999
St. Lucia,2014,World,All Products,Export,Exports (in US$ Mil),146.292262
St. Lucia,2014,World,All Products,Import,Imports (in US$ Mil),642.099093
St. Lucia,2014,World,All Products,Tariff,Duty Free Imports (US$ Thousand),194963.324
St. Lucia,2015,...,...,Development,Trade Balance (current US$ Mil),-25.79651852
St. Lucia,2015,...,...,Development,GDP (current US$ Mil),1431.1357037
St. Lucia,2014,...,...,Tariff,No. Of Tariff Agreement,2
St. Lucia,2014,...,...,Import,No. Of Import partners,103
St. Lucia,2014,...,...,Import,No. Of Import products,3013
St. Lucia,2014,...,...,Export,No. Of Export partners,70
St. Lucia,2014,...,...,Export,No. Of Export products,1532
St. Lucia,2015,...,...,Others,Population,184999
St. Lucia,2016,...,...,Others,Ease of Doing Business Rank,86
St. Lucia,2016,...,...,Others,Trading Across Borders Rank,81
St. Lucia,2015,...,...,Others,CPIA Trade Ratings,4
St. Lucia,2014,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,44.4248
St. Lucia,2014,Trinidad and Tobago,All Products,Export,Partner share(%)-Top 5 Export Partner,14.5637
St. Lucia,2014,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,11.4524
St. Lucia,2014,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,8.8593
St. Lucia,2014,Barbados,All Products,Export,Partner share(%)-Top 5 Export Partner,3.4364
St. Lucia,2014,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,45.4757
St. Lucia,2014,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,20.8077
St. Lucia,2014,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,4.4712
St. Lucia,2014,Barbados,All Products,Import,Partner share(%)-Top 5 Import Partner,3.0355
St. Lucia,2014,Jamaica,All Products,Import,Partner share(%)-Top 5 Import Partner,2.0496
St. Lucia,2014,World,Animal,Export,Export Product share(%),0.0812
St. Lucia,2014,World,Vegetable,Export,Export Product share(%),1.4703
St. Lucia,2014,World,Food Products,Export,Export Product share(%),20.7106
St. Lucia,2014,World,Minerals,Export,Export Product share(%),4.0104
St. Lucia,2014,World,Fuels,Export,Export Product share(%),20.7545
St. Lucia,2014,World,Chemicals,Export,Export Product share(%),3.1056
St. Lucia,2014,World,Plastic or Rubber,Export,Export Product share(%),0.7109
St. Lucia,2014,World,Hides and Skins,Export,Export Product share(%),0.2498
St. Lucia,2014,World,Wood,Export,Export Product share(%),4.8347
St. Lucia,2014,World,Textiles and Clothing,Export,Export Product share(%),1.8672
St. Lucia,2014,World,Footwear,Export,Export Product share(%),0.563
St. Lucia,2014,World,Stone and Glass,Export,Export Product share(%),11.1705
St. Lucia,2014,World,Metals,Export,Export Product share(%),3.3916
St. Lucia,2014,World,Mach and Elec,Export,Export Product share(%),15.6161
St. Lucia,2014,World,Transportation,Export,Export Product share(%),1.3978
St. Lucia,2014,World,Miscellaneous,Export,Export Product share(%),10.0658
St. Lucia,2014,World,Raw materials,Export,Export Product share(%),6.57
St. Lucia,2014,World,Intermediate goods,Export,Export Product share(%),6.4068
St. Lucia,2014,World,Consumer goods,Export,Export Product share(%),66.1587
St. Lucia,2014,World,Capital goods,Export,Export Product share(%),16.3609
St. Lucia,2014,World,Raw materials,Import,Import Product share(%),7.1491
St. Lucia,2014,World,Intermediate goods,Import,Import Product share(%),12.2745
St. Lucia,2014,World,Consumer goods,Import,Import Product share(%),61.493
St. Lucia,2014,World,Capital goods,Import,Import Product share(%),14.3081
St. Lucia,2014,World,Raw materials,Tariff,Weighted Average (%),1.16118857006456
St. Lucia,2014,World,Intermediate goods,Tariff,Weighted Average (%),6.63086025341736
St. Lucia,2014,World,Consumer goods,Tariff,Weighted Average (%),11.6057028207899
St. Lucia,2014,World,Capital goods,Tariff,Weighted Average (%),4.99911234118919
St. Lucia,2014,World,All Products,Trade Indicator,World Growth (%),0.131747689931871
St. Lucia,2014,World,All Products,Trade Indicator,Country Growth (%),11.5040685406588
St. Lucia,2014,World,All Products,Tariff,Simple Average (%),10.1285546049991
St. Lucia,2014,World,All Products,Tariff,Weighted Average (%),9.20806161043495
St. Lucia,2014,World,All Products,Tariff,Maximum Rate (%),70
St. Lucia,2014,World,All Products,Tariff,Duty Free Tariff Lines Share (%),39.806238688385
St. Lucia,2014,...,...,Trade Indicator,Index of export market penetration,1.31474347214578
St. Lucia,2014,...,...,Trade Indicator,HH Market concentration index,0.368688048266157
St. Lucia,2015,...,...,Development,Trade Balance (% of GDP),-1.80252078500001
St. Lucia,2015,...,...,Development,Trade (% of GDP),94.320268409
St. Lucia,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",7350
