Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sri Lanka,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2801.469282
Sri Lanka,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1028.276804
Sri Lanka,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,710.403894
Sri Lanka,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,477.905356
Sri Lanka,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,434.212527
Sri Lanka,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4268.480231
Sri Lanka,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3727.431535
Sri Lanka,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1387.668279
Sri Lanka,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1073.079688
Sri Lanka,2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,922.806995
Sri Lanka,2015,World,Animal,Export,Export(US$ Mil),187.65777
Sri Lanka,2015,World,Vegetable,Export,Export(US$ Mil),2130.426707
Sri Lanka,2015,World,Food Products,Export,Export(US$ Mil),344.287878
Sri Lanka,2015,World,Minerals,Export,Export(US$ Mil),28.284387
Sri Lanka,2015,World,Fuels,Export,Export(US$ Mil),184.506789
Sri Lanka,2015,World,Chemicals,Export,Export(US$ Mil),164.384067
Sri Lanka,2015,World,Plastic or Rubber,Export,Export(US$ Mil),863.850673
Sri Lanka,2015,World,Hides and Skins,Export,Export(US$ Mil),23.907629
Sri Lanka,2015,World,Wood,Export,Export(US$ Mil),164.364819
Sri Lanka,2015,World,Textiles and Clothing,Export,Export(US$ Mil),4979.264896
Sri Lanka,2015,World,Footwear,Export,Export(US$ Mil),114.238013
Sri Lanka,2015,World,Stone and Glass,Export,Export(US$ Mil),329.677973
Sri Lanka,2015,World,Metals,Export,Export(US$ Mil),64.564689
Sri Lanka,2015,World,Mach and Elec,Export,Export(US$ Mil),336.173838
Sri Lanka,2015,World,Transportation,Export,Export(US$ Mil),337.854518
Sri Lanka,2015,World,Miscellaneous,Export,Export(US$ Mil),186.285017
Sri Lanka,2015,World,Raw materials,Export,Export(US$ Mil),611.823158
Sri Lanka,2015,World,Intermediate goods,Export,Export(US$ Mil),1050.087461
Sri Lanka,2015,World,Consumer goods,Export,Export(US$ Mil),8183.75697399999
Sri Lanka,2015,World,Capital goods,Export,Export(US$ Mil),586.147918
Sri Lanka,2015,World,Raw materials,Import,Import(US$ Mil),1913.869075
Sri Lanka,2015,World,Intermediate goods,Import,Import(US$ Mil),7135.089093
Sri Lanka,2015,World,Consumer goods,Import,Import(US$ Mil),6044.10615199999
Sri Lanka,2015,World,Capital goods,Import,Import(US$ Mil),3729.79791500001
Sri Lanka,2015,World,All Products,Export,Exports (in US$ Mil),10439.729662
Sri Lanka,2015,World,All Products,Import,Imports (in US$ Mil),18967.230642
Sri Lanka,2014,World,All Products,Tariff,Duty Free Imports (US$ Thousand),10364748.612
Sri Lanka,2015,...,...,Development,Trade Balance (current US$ Mil),-6113.101359
Sri Lanka,2015,...,...,Development,GDP (current US$ Mil),82316.172384
Sri Lanka,2014,...,...,Tariff,No. Of Tariff Agreement,10
Sri Lanka,2015,...,...,Import,No. Of Import partners,183
Sri Lanka,2015,...,...,Import,No. Of Import products,4187
Sri Lanka,2015,...,...,Export,No. Of Export partners,199
Sri Lanka,2015,...,...,Export,No. Of Export products,2976
Sri Lanka,2015,...,...,Others,Population,20966000
Sri Lanka,2016,...,...,Others,Ease of Doing Business Rank,110
Sri Lanka,2016,...,...,Others,Trading Across Borders Rank,90
Sri Lanka,2015,...,...,Others,CPIA Trade Ratings,3.5
Sri Lanka,2014,...,...,Others,LPI Rank,89
Sri Lanka,2014,...,...,Others,LPI Score,2.695239
Sri Lanka,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Sri Lanka,2012,...,...,Others,No Of NTM Measures,38
Sri Lanka,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0742395
Sri Lanka,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0808426
Sri Lanka,,...,...,Others,Services Trade Restrictions Index - Over All,38.2
Sri Lanka,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,26.8347
Sri Lanka,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,9.8496
Sri Lanka,2015,India,All Products,Export,Partner share(%)-Top 5 Export Partner,6.8048
Sri Lanka,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,4.5778
Sri Lanka,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,4.1592
Sri Lanka,2015,India,All Products,Import,Partner share(%)-Top 5 Import Partner,22.5045
Sri Lanka,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,19.652
Sri Lanka,2015,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3161
Sri Lanka,2015,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,5.6575
Sri Lanka,2015,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,4.8653
Sri Lanka,2015,World,Animal,Export,Export Product share(%),1.7975
Sri Lanka,2015,World,Vegetable,Export,Export Product share(%),20.4069
Sri Lanka,2015,World,Food Products,Export,Export Product share(%),3.2979
Sri Lanka,2015,World,Minerals,Export,Export Product share(%),0.2709
Sri Lanka,2015,World,Fuels,Export,Export Product share(%),1.7674
Sri Lanka,2015,World,Chemicals,Export,Export Product share(%),1.5746
Sri Lanka,2015,World,Plastic or Rubber,Export,Export Product share(%),8.2746
Sri Lanka,2015,World,Hides and Skins,Export,Export Product share(%),0.229
Sri Lanka,2015,World,Wood,Export,Export Product share(%),1.5744
Sri Lanka,2015,World,Textiles and Clothing,Export,Export Product share(%),47.6953
Sri Lanka,2015,World,Footwear,Export,Export Product share(%),1.0943
Sri Lanka,2015,World,Stone and Glass,Export,Export Product share(%),3.1579
Sri Lanka,2015,World,Metals,Export,Export Product share(%),0.6185
Sri Lanka,2015,World,Mach and Elec,Export,Export Product share(%),3.2201
Sri Lanka,2015,World,Transportation,Export,Export Product share(%),3.2362
Sri Lanka,2015,World,Miscellaneous,Export,Export Product share(%),1.7844
Sri Lanka,2015,World,Raw materials,Export,Export Product share(%),5.8605
Sri Lanka,2015,World,Intermediate goods,Export,Export Product share(%),10.0586
Sri Lanka,2015,World,Consumer goods,Export,Export Product share(%),78.3905
Sri Lanka,2015,World,Capital goods,Export,Export Product share(%),5.6146
Sri Lanka,2015,World,Raw materials,Import,Import Product share(%),10.0904
Sri Lanka,2015,World,Intermediate goods,Import,Import Product share(%),37.618
Sri Lanka,2015,World,Consumer goods,Import,Import Product share(%),31.866
Sri Lanka,2015,World,Capital goods,Import,Import Product share(%),19.6644
Sri Lanka,2014,World,Raw materials,Tariff,Weighted Average (%),5.52110120117846
Sri Lanka,2014,World,Intermediate goods,Tariff,Weighted Average (%),4.90522828948812
Sri Lanka,2014,World,Consumer goods,Tariff,Weighted Average (%),12.0095317473196
Sri Lanka,2014,World,Capital goods,Tariff,Weighted Average (%),4.49707320012805
Sri Lanka,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Sri Lanka,2015,World,All Products,Trade Indicator,Country Growth (%),-2.65596080650621
Sri Lanka,2014,World,All Products,Tariff,Simple Average (%),9.33230732176045
Sri Lanka,2014,World,All Products,Tariff,Weighted Average (%),7.09298999366673
Sri Lanka,2014,World,All Products,Tariff,Maximum Rate (%),1642.84204101563
Sri Lanka,2014,World,All Products,Tariff,Duty Free Tariff Lines Share (%),49.7423158736277
Sri Lanka,2015,...,...,Trade Indicator,Index of export market penetration,5.50798575889572
