Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mexico,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,309213.074619
Mexico,2015,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10544.636884
Mexico,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4873.149273
Mexico,2015,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3798.897348
Mexico,2015,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3668.050539
Mexico,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,187301.416336
Mexico,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,69987.806696
Mexico,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17368.173343
Mexico,2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14618.851023
Mexico,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13974.715875
Mexico,2015,World,Animal,Export,Export(US$ Mil),3663.223185
Mexico,2015,World,Vegetable,Export,Export(US$ Mil),12261.571951
Mexico,2015,World,Food Products,Export,Export(US$ Mil),10694.996443
Mexico,2015,World,Minerals,Export,Export(US$ Mil),4542.025626
Mexico,2015,World,Fuels,Export,Export(US$ Mil),22582.03092
Mexico,2015,World,Chemicals,Export,Export(US$ Mil),10468.468615
Mexico,2015,World,Plastic or Rubber,Export,Export(US$ Mil),10933.851287
Mexico,2015,World,Hides and Skins,Export,Export(US$ Mil),754.218751
Mexico,2015,World,Wood,Export,Export(US$ Mil),2957.682733
Mexico,2015,World,Textiles and Clothing,Export,Export(US$ Mil),6818.350638
Mexico,2015,World,Footwear,Export,Export(US$ Mil),752.077236
Mexico,2015,World,Stone and Glass,Export,Export(US$ Mil),10747.883436
Mexico,2015,World,Metals,Export,Export(US$ Mil),15521.570327
Mexico,2015,World,Mach and Elec,Export,Export(US$ Mil),140052.680519
Mexico,2015,World,Transportation,Export,Export(US$ Mil),95267.733055
Mexico,2015,World,Miscellaneous,Export,Export(US$ Mil),32582.492712
Mexico,2015,World,Raw materials,Export,Export(US$ Mil),39702.773798
Mexico,2015,World,Intermediate goods,Export,Export(US$ Mil),35051.3966649999
Mexico,2015,World,Consumer goods,Export,Export(US$ Mil),100877.395759
Mexico,2015,World,Capital goods,Export,Export(US$ Mil),182753.820902
Mexico,2015,World,Raw materials,Import,Import(US$ Mil),17464.524631
Mexico,2015,World,Intermediate goods,Import,Import(US$ Mil),74794.6292550001
Mexico,2015,World,Consumer goods,Import,Import(US$ Mil),103812.120963
Mexico,2015,World,Capital goods,Import,Import(US$ Mil),181936.164291
Mexico,2015,World,All Products,Export,Exports (in US$ Mil),380600.857434
Mexico,2015,World,All Products,Import,Imports (in US$ Mil),395232.221167
Mexico,2014,World,All Products,Tariff,Duty Free Imports (US$ Thousand),337560125.522
Mexico,2015,...,...,Development,Trade Balance (current US$ Mil),-24221.78934
Mexico,2015,...,...,Development,GDP (current US$ Mil),1143793.1842
Mexico,2014,...,...,Tariff,No. Of Tariff Agreement,47
Mexico,2015,...,...,Import,No. Of Import partners,223
Mexico,2015,...,...,Import,No. Of Import products,4473
Mexico,2015,...,...,Export,No. Of Export partners,197
Mexico,2015,...,...,Export,No. Of Export products,4235
Mexico,2015,...,...,Others,Population,127017224
Mexico,2016,...,...,Others,Ease of Doing Business Rank,47
Mexico,2016,...,...,Others,Trading Across Borders Rank,61
Mexico,2014,...,...,Others,LPI Rank,50
Mexico,2014,...,...,Others,LPI Score,3.128319
Mexico,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),3454
Mexico,2014,...,...,Others,No Of NTM Measures,55
Mexico,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1518051
