Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mali,2012,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1351.834242
Mali,2012,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,303.596547
Mali,2012,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,203.024863
Mali,2012,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,129.279819
Mali,2012,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,113.37008
Mali,2012,Senegal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,867.894049
Mali,2012,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,374.205671
Mali,2012,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,367.303791
Mali,2012,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,288.140297
Mali,2012,Benin,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,172.318891
Mali,2012,World,Animal,Export,Export(US$ Mil),118.384656
Mali,2012,World,Vegetable,Export,Export(US$ Mil),28.070731
Mali,2012,World,Food Products,Export,Export(US$ Mil),11.072815
Mali,2012,World,Minerals,Export,Export(US$ Mil),14.404827
Mali,2012,World,Fuels,Export,Export(US$ Mil),16.276661
Mali,2012,World,Chemicals,Export,Export(US$ Mil),170.351711
Mali,2012,World,Plastic or Rubber,Export,Export(US$ Mil),6.11615
Mali,2012,World,Hides and Skins,Export,Export(US$ Mil),19.530048
Mali,2012,World,Wood,Export,Export(US$ Mil),2.320314
Mali,2012,World,Textiles and Clothing,Export,Export(US$ Mil),390.356983
Mali,2012,World,Footwear,Export,Export(US$ Mil),0.214589
Mali,2012,World,Stone and Glass,Export,Export(US$ Mil),1717.959958
Mali,2012,World,Metals,Export,Export(US$ Mil),20.374937
Mali,2012,World,Mach and Elec,Export,Export(US$ Mil),53.903722
Mali,2012,World,Transportation,Export,Export(US$ Mil),33.744185
Mali,2012,World,Miscellaneous,Export,Export(US$ Mil),7.304214
Mali,2012,World,Raw materials,Export,Export(US$ Mil),95.871247
Mali,2012,World,Intermediate goods,Export,Export(US$ Mil),2298.275842
Mali,2012,World,Consumer goods,Export,Export(US$ Mil),41.014103
Mali,2012,World,Capital goods,Export,Export(US$ Mil),171.815267
Mali,2012,World,Raw materials,Import,Import(US$ Mil),105.755625
Mali,2012,World,Intermediate goods,Import,Import(US$ Mil),797.039401999999
Mali,2012,World,Consumer goods,Import,Import(US$ Mil),1857.942551
Mali,2012,World,Capital goods,Import,Import(US$ Mil),687.941291
Mali,2012,World,All Products,Export,Exports (in US$ Mil),2610.386505
Mali,2012,World,All Products,Import,Imports (in US$ Mil),3462.655072
Mali,2012,World,All Products,Tariff,Duty Free Imports (US$ Thousand),743415.142
Mali,2015,...,...,Development,Trade Balance (current US$ Mil),-928.6296917
