Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Malta,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,344.014142
Malta,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,261.030718
Malta,2015,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,190.686059
Malta,2015,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,190.005565
Malta,2015,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,188.511946
Malta,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1335.062204
Malta,2015,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,483.677182
Malta,2015,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,434.183259
Malta,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,394.208838
Malta,2015,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,348.347938
Malta,2015,World,Animal,Export,Export(US$ Mil),132.360497
Malta,2015,World,Vegetable,Export,Export(US$ Mil),6.02373
Malta,2015,World,Food Products,Export,Export(US$ Mil),130.616685
Malta,2015,World,Minerals,Export,Export(US$ Mil),0.175679
Malta,2015,World,Fuels,Export,Export(US$ Mil),343.072045
Malta,2015,World,Chemicals,Export,Export(US$ Mil),316.942051
Malta,2015,World,Plastic or Rubber,Export,Export(US$ Mil),117.682507
Malta,2015,World,Hides and Skins,Export,Export(US$ Mil),1.933455
Malta,2015,World,Wood,Export,Export(US$ Mil),176.99865
Malta,2015,World,Textiles and Clothing,Export,Export(US$ Mil),44.117432
Malta,2015,World,Footwear,Export,Export(US$ Mil),6.73689
Malta,2015,World,Stone and Glass,Export,Export(US$ Mil),21.682923
Malta,2015,World,Metals,Export,Export(US$ Mil),29.359643
Malta,2015,World,Mach and Elec,Export,Export(US$ Mil),875.470616
Malta,2015,World,Transportation,Export,Export(US$ Mil),153.333355
Malta,2015,World,Miscellaneous,Export,Export(US$ Mil),224.249508
Malta,2015,World,Raw materials,Export,Export(US$ Mil),153.241824
Malta,2015,World,Intermediate goods,Export,Export(US$ Mil),208.639747
Malta,2015,World,Consumer goods,Export,Export(US$ Mil),1226.073774
Malta,2015,World,Capital goods,Export,Export(US$ Mil),960.700034000001
Malta,2015,World,Raw materials,Import,Import(US$ Mil),208.277052
Malta,2015,World,Intermediate goods,Import,Import(US$ Mil),725.346413000001
Malta,2015,World,Consumer goods,Import,Import(US$ Mil),3421.975437
Malta,2015,World,Capital goods,Import,Import(US$ Mil),1378.601436
Malta,2015,World,All Products,Export,Exports (in US$ Mil),2580.755664
Malta,2015,World,All Products,Import,Imports (in US$ Mil),5793.698162
Malta,2003,World,All Products,Tariff,Duty Free Imports (US$ Thousand),367091.896
Malta,2015,...,...,Development,Trade Balance (current US$ Mil),281.801042
Malta,2015,...,...,Development,GDP (current US$ Mil),9746.4788732
Malta,2003,...,...,Tariff,No. Of Tariff Agreement,4
Malta,2015,...,...,Import,No. Of Import partners,156
Malta,2015,...,...,Import,No. Of Import products,3695
Malta,2015,...,...,Export,No. Of Export partners,166
Malta,2015,...,...,Export,No. Of Export products,1505
Malta,2015,...,...,Others,Population,431333
Malta,2016,...,...,Others,Ease of Doing Business Rank,76
Malta,2016,...,...,Others,Trading Across Borders Rank,40
Malta,2014,...,...,Others,LPI Rank,51
Malta,2014,...,...,Others,LPI Score,3.106275
Malta,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,13.33
Malta,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,10.1145
Malta,2015,Bunkers,All Products,Export,Partner share(%)-Top 5 Export Partner,7.3888
Malta,2015,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,7.3624
Malta,2015,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,7.3045
Malta,2015,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,23.0434
