Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mongolia,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3897.417397
Mongolia,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,337.679584
Mongolia,2015,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,109.167599
Mongolia,2015,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,76.871677
Mongolia,2015,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,66.571875
Mongolia,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1360.706511
Mongolia,2015,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1020.705505
Mongolia,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,274.638228
Mongolia,2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,258.696629
Mongolia,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,124.428012
Mongolia,2015,World,Animal,Export,Export(US$ Mil),26.359934
Mongolia,2015,World,Vegetable,Export,Export(US$ Mil),37.897497
Mongolia,2015,World,Food Products,Export,Export(US$ Mil),15.669289
Mongolia,2015,World,Minerals,Export,Export(US$ Mil),2728.468148
Mongolia,2015,World,Fuels,Export,Export(US$ Mil),949.731897
Mongolia,2015,World,Chemicals,Export,Export(US$ Mil),0.656312
Mongolia,2015,World,Plastic or Rubber,Export,Export(US$ Mil),2.430171
Mongolia,2015,World,Hides and Skins,Export,Export(US$ Mil),33.805551
Mongolia,2015,World,Wood,Export,Export(US$ Mil),0.53347
Mongolia,2015,World,Textiles and Clothing,Export,Export(US$ Mil),302.654546
Mongolia,2015,World,Footwear,Export,Export(US$ Mil),1.433927
Mongolia,2015,World,Stone and Glass,Export,Export(US$ Mil),421.483961
Mongolia,2015,World,Metals,Export,Export(US$ Mil),72.279016
Mongolia,2015,World,Mach and Elec,Export,Export(US$ Mil),54.216999
