Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mozambique,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,952.365046
Mozambique,2015,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,585.118818
Mozambique,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,339.036471
Mozambique,2015,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,145.498035
Mozambique,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,100.086302
Mozambique,2015,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2380.229257
Mozambique,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,986.859118
Mozambique,2015,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,574.70648
Mozambique,2015,Portugal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,456.521533
Mozambique,2015,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,411.060595
Mozambique,2015,World,Animal,Export,Export(US$ Mil),38.350486
Mozambique,2015,World,Vegetable,Export,Export(US$ Mil),139.835202
Mozambique,2015,World,Food Products,Export,Export(US$ Mil),462.653372
Mozambique,2015,World,Minerals,Export,Export(US$ Mil),156.024592
Mozambique,2015,World,Fuels,Export,Export(US$ Mil),971.28321
Mozambique,2015,World,Chemicals,Export,Export(US$ Mil),14.904421
Mozambique,2015,World,Plastic or Rubber,Export,Export(US$ Mil),2.565118
Mozambique,2015,World,Hides and Skins,Export,Export(US$ Mil),1.801747
Mozambique,2015,World,Wood,Export,Export(US$ Mil),51.763115
Mozambique,2015,World,Textiles and Clothing,Export,Export(US$ Mil),42.471405
Mozambique,2015,World,Footwear,Export,Export(US$ Mil),18.002603
Mozambique,2015,World,Stone and Glass,Export,Export(US$ Mil),99.626306
Mozambique,2015,World,Metals,Export,Export(US$ Mil),1090.926948
