Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Malaysia,2015,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27842.989314
Malaysia,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,26062.953599
Malaysia,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18947.30639
Malaysia,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18928.94933
Malaysia,2015,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11403.38798
Malaysia,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,33242.589492
Malaysia,2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21096.238464
Malaysia,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14226.54399
Malaysia,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13770.979384
Malaysia,2015,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10729.484167
Malaysia,2015,World,Animal,Export,Export(US$ Mil),1255.561692
Malaysia,2015,World,Vegetable,Export,Export(US$ Mil),15355.364671
Malaysia,2015,World,Food Products,Export,Export(US$ Mil),6035.864746
Malaysia,2015,World,Minerals,Export,Export(US$ Mil),1719.478503
Malaysia,2015,World,Fuels,Export,Export(US$ Mil),32976.124812
Malaysia,2015,World,Chemicals,Export,Export(US$ Mil),8781.271965
Malaysia,2015,World,Plastic or Rubber,Export,Export(US$ Mil),13338.661701
Malaysia,2015,World,Hides and Skins,Export,Export(US$ Mil),130.620892
Malaysia,2015,World,Wood,Export,Export(US$ Mil),5106.048047
Malaysia,2015,World,Textiles and Clothing,Export,Export(US$ Mil),3070.759321
Malaysia,2015,World,Footwear,Export,Export(US$ Mil),177.569034
Malaysia,2015,World,Stone and Glass,Export,Export(US$ Mil),4308.827008
Malaysia,2015,World,Metals,Export,Export(US$ Mil),11455.569259
Malaysia,2015,World,Mach and Elec,Export,Export(US$ Mil),81985.026095
Malaysia,2015,World,Transportation,Export,Export(US$ Mil),3118.287688
Malaysia,2015,World,Miscellaneous,Export,Export(US$ Mil),11395.836508
Malaysia,2015,World,Raw materials,Export,Export(US$ Mil),12141.240359
Malaysia,2015,World,Intermediate goods,Export,Export(US$ Mil),40889.94315
Malaysia,2015,World,Consumer goods,Export,Export(US$ Mil),62086.674206
Malaysia,2015,World,Capital goods,Export,Export(US$ Mil),81191.9413719999
Malaysia,2015,World,Raw materials,Import,Import(US$ Mil),14412.630938
Malaysia,2015,World,Intermediate goods,Import,Import(US$ Mil),43191.6897519999
Malaysia,2015,World,Consumer goods,Import,Import(US$ Mil),41859.002929
Malaysia,2015,World,Capital goods,Import,Import(US$ Mil),75033.17773
Malaysia,2015,World,All Products,Export,Exports (in US$ Mil),200210.871947
Malaysia,2015,World,All Products,Import,Imports (in US$ Mil),176174.598214
Malaysia,2014,World,All Products,Tariff,Duty Free Imports (US$ Thousand),172802170.277
Malaysia,2015,...,...,Development,Trade Balance (current US$ Mil),22676.73794
Malaysia,2015,...,...,Development,GDP (current US$ Mil),296283.19037
Malaysia,2014,...,...,Tariff,No. Of Tariff Agreement,14
Malaysia,2015,...,...,Import,No. Of Import partners,209
Malaysia,2015,...,...,Import,No. Of Import products,4475
Malaysia,2015,...,...,Export,No. Of Export partners,225
Malaysia,2015,...,...,Export,No. Of Export products,4119
Malaysia,2015,...,...,Others,Population,30331007
Malaysia,2016,...,...,Others,Ease of Doing Business Rank,23
Malaysia,2016,...,...,Others,Trading Across Borders Rank,60
Malaysia,2014,...,...,Others,LPI Rank,25
Malaysia,2014,...,...,Others,LPI Score,3.590425
Malaysia,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),2556
Malaysia,2015,...,...,Others,No Of NTM Measures,60
Malaysia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.2738927
Malaysia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2898032
Malaysia,,...,...,Others,Services Trade Restrictions Index - Over All,46.1
Malaysia,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.1743510216
Malaysia,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.3926124871
Malaysia,2015,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,13.9068
Malaysia,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,13.0178
Malaysia,2015,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,9.4637
Malaysia,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,9.4545
Malaysia,2015,Thailand,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6957
Malaysia,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,18.8691
Malaysia,2015,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,11.9746
Malaysia,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,8.0753
Malaysia,2015,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,7.8167
Malaysia,2015,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,6.0903
Malaysia,2015,World,Animal,Export,Export Product share(%),0.6271
Malaysia,2015,World,Vegetable,Export,Export Product share(%),7.6696
Malaysia,2015,World,Food Products,Export,Export Product share(%),3.0148
Malaysia,2015,World,Minerals,Export,Export Product share(%),0.8588
Malaysia,2015,World,Fuels,Export,Export Product share(%),16.4707
Malaysia,2015,World,Chemicals,Export,Export Product share(%),4.386
Malaysia,2015,World,Plastic or Rubber,Export,Export Product share(%),6.6623
Malaysia,2015,World,Hides and Skins,Export,Export Product share(%),0.0652
Malaysia,2015,World,Wood,Export,Export Product share(%),2.5503
Malaysia,2015,World,Textiles and Clothing,Export,Export Product share(%),1.5338
Malaysia,2015,World,Footwear,Export,Export Product share(%),0.0887
Malaysia,2015,World,Stone and Glass,Export,Export Product share(%),2.1521
Malaysia,2015,World,Metals,Export,Export Product share(%),5.7218
Malaysia,2015,World,Mach and Elec,Export,Export Product share(%),40.9493
Malaysia,2015,World,Transportation,Export,Export Product share(%),1.5575
Malaysia,2015,World,Miscellaneous,Export,Export Product share(%),5.6919
Malaysia,2015,World,Raw materials,Export,Export Product share(%),6.0642
Malaysia,2015,World,Intermediate goods,Export,Export Product share(%),20.4234
Malaysia,2015,World,Consumer goods,Export,Export Product share(%),31.0106
Malaysia,2015,World,Capital goods,Export,Export Product share(%),40.5532
Malaysia,2015,World,Raw materials,Import,Import Product share(%),8.1809
Malaysia,2015,World,Intermediate goods,Import,Import Product share(%),24.5164
Malaysia,2015,World,Consumer goods,Import,Import Product share(%),23.76
Malaysia,2015,World,Capital goods,Import,Import Product share(%),42.5902
