Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Niger,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,303.325029
Niger,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,142.270777
Niger,2015,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,98.74924
Niger,2015,Burkina Faso,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,43.574087
Niger,2015,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,41.892632
Niger,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,778.524881
Niger,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,565.398162
Niger,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,132.369342
Niger,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,93.538131
Niger,2015,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,91.367166
Niger,2015,World,Animal,Export,Export(US$ Mil),8.19457
Niger,2015,World,Vegetable,Export,Export(US$ Mil),67.409981
Niger,2015,World,Food Products,Export,Export(US$ Mil),35.570481
Niger,2015,World,Minerals,Export,Export(US$ Mil),401.876093
Niger,2015,World,Fuels,Export,Export(US$ Mil),148.348623
Niger,2015,World,Chemicals,Export,Export(US$ Mil),2.109598
Niger,2015,World,Plastic or Rubber,Export,Export(US$ Mil),1.017546
Niger,2015,World,Hides and Skins,Export,Export(US$ Mil),0.189304
Niger,2015,World,Wood,Export,Export(US$ Mil),0.677554
Niger,2015,World,Textiles and Clothing,Export,Export(US$ Mil),22.934839
Niger,2015,World,Footwear,Export,Export(US$ Mil),0.31988
Niger,2015,World,Stone and Glass,Export,Export(US$ Mil),41.868673
Niger,2015,World,Metals,Export,Export(US$ Mil),1.061237
Niger,2015,World,Mach and Elec,Export,Export(US$ Mil),7.252728
Niger,2015,World,Transportation,Export,Export(US$ Mil),49.33091
Niger,2015,World,Miscellaneous,Export,Export(US$ Mil),1.608297
Niger,2015,World,Raw materials,Export,Export(US$ Mil),430.840125
Niger,2015,World,Intermediate goods,Export,Export(US$ Mil),62.182746
Niger,2015,World,Consumer goods,Export,Export(US$ Mil),242.796526
Niger,2015,World,Capital goods,Export,Export(US$ Mil),52.795385
Niger,2015,World,Raw materials,Import,Import(US$ Mil),55.948281
Niger,2015,World,Intermediate goods,Import,Import(US$ Mil),671.257275000001
Niger,2015,World,Consumer goods,Import,Import(US$ Mil),842.728458999998
Niger,2015,World,Capital goods,Import,Import(US$ Mil),873.276693000001
Niger,2015,World,All Products,Export,Exports (in US$ Mil),789.770313
Niger,2015,World,All Products,Import,Imports (in US$ Mil),2458.340984
Niger,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),30881.016
Niger,2015,...,...,Development,Trade Balance (current US$ Mil),-1590.2084624
Niger,2015,...,...,Development,GDP (current US$ Mil),7142.9513424
Niger,2015,...,...,Tariff,No. Of Tariff Agreement,2
Niger,2015,...,...,Import,No. Of Import partners,139
Niger,2015,...,...,Import,No. Of Import products,2831
Niger,2015,...,...,Export,No. Of Export partners,74
Niger,2015,...,...,Export,No. Of Export products,734
Niger,2015,...,...,Others,Population,19899120
Niger,2016,...,...,Others,Ease of Doing Business Rank,150
Niger,2016,...,...,Others,Trading Across Borders Rank,132
Niger,2015,...,...,Others,CPIA Trade Ratings,4
Niger,2014,...,...,Others,LPI Rank,130
Niger,2014,...,...,Others,LPI Score,2.393399
Niger,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Niger,2014,...,...,Others,No Of NTM Measures,33
Niger,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0899045
Niger,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0990844
Niger,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,38.4067
Niger,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,18.0142
Niger,2015,Nigeria,All Products,Export,Partner share(%)-Top 5 Export Partner,12.5035
Niger,2015,Burkina Faso,All Products,Export,Partner share(%)-Top 5 Export Partner,5.5173
Niger,2015,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,5.3044
Niger,2015,France,All Products,Import,Partner share(%)-Top 5 Import Partner,31.6687
