Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Nigeria,2014,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14980.986169
Nigeria,2014,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10492.632406
Nigeria,2014,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9578.485594
Nigeria,2014,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8315.635061
Nigeria,2014,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5897.743284
Nigeria,2014,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10201.900147
Nigeria,2014,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4833.554719
Nigeria,2014,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3369.660071
Nigeria,2014,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2842.171163
Nigeria,2014,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2774.327928
Nigeria,2014,World,Animal,Export,Export(US$ Mil),115.358671
Nigeria,2014,World,Vegetable,Export,Export(US$ Mil),755.687868
Nigeria,2014,World,Food Products,Export,Export(US$ Mil),1116.083436
Nigeria,2014,World,Minerals,Export,Export(US$ Mil),32.722011
Nigeria,2014,World,Fuels,Export,Export(US$ Mil),93469.613422
Nigeria,2014,World,Chemicals,Export,Export(US$ Mil),1989.31118
Nigeria,2014,World,Plastic or Rubber,Export,Export(US$ Mil),206.683181
Nigeria,2014,World,Hides and Skins,Export,Export(US$ Mil),592.478386
Nigeria,2014,World,Wood,Export,Export(US$ Mil),109.104811
Nigeria,2014,World,Textiles and Clothing,Export,Export(US$ Mil),917.554273
Nigeria,2014,World,Footwear,Export,Export(US$ Mil),63.505062
Nigeria,2014,World,Stone and Glass,Export,Export(US$ Mil),21.044311
Nigeria,2014,World,Metals,Export,Export(US$ Mil),536.406878
Nigeria,2014,World,Mach and Elec,Export,Export(US$ Mil),668.129565
Nigeria,2014,World,Transportation,Export,Export(US$ Mil),2257.445868
Nigeria,2014,World,Miscellaneous,Export,Export(US$ Mil),27.370789
Nigeria,2014,World,Raw materials,Export,Export(US$ Mil),76802.574409
Nigeria,2014,World,Intermediate goods,Export,Export(US$ Mil),1509.90564
Nigeria,2014,World,Consumer goods,Export,Export(US$ Mil),21702.204618
Nigeria,2014,World,Capital goods,Export,Export(US$ Mil),2858.647956
Nigeria,2014,World,Raw materials,Import,Import(US$ Mil),3486.154301
Nigeria,2014,World,Intermediate goods,Import,Import(US$ Mil),13104.640425
Nigeria,2014,World,Consumer goods,Import,Import(US$ Mil),15555.970483
Nigeria,2014,World,Capital goods,Import,Import(US$ Mil),13758.725135
Nigeria,2014,World,All Products,Export,Exports (in US$ Mil),102878.499711
Nigeria,2014,World,All Products,Import,Imports (in US$ Mil),46532.265378
Nigeria,2014,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1777911.49
Nigeria,2015,...,...,Development,Trade Balance (current US$ Mil),-642.414031
Nigeria,2015,...,...,Development,GDP (current US$ Mil),481066.15287
