Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Nicaragua,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2507.036335
Nicaragua,2015,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,519.073996
Nicaragua,2015,Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,290.30295
Nicaragua,2015,El Salvador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,259.353245
Nicaragua,2015,Honduras,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,174.3231
Nicaragua,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1056.768449
Nicaragua,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,845.536177
Nicaragua,2015,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,610.116429
Nicaragua,2015,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,478.991237
Nicaragua,2015,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,407.440983
Nicaragua,2015,World,Animal,Export,Export(US$ Mil),985.986964
Nicaragua,2015,World,Vegetable,Export,Export(US$ Mil),758.920213
Nicaragua,2015,World,Food Products,Export,Export(US$ Mil),496.235313
Nicaragua,2015,World,Minerals,Export,Export(US$ Mil),4.223004
Nicaragua,2015,World,Fuels,Export,Export(US$ Mil),14.586725
Nicaragua,2015,World,Chemicals,Export,Export(US$ Mil),18.606793
Nicaragua,2015,World,Plastic or Rubber,Export,Export(US$ Mil),15.595594
Nicaragua,2015,World,Hides and Skins,Export,Export(US$ Mil),28.138762
Nicaragua,2015,World,Wood,Export,Export(US$ Mil),30.526183
Nicaragua,2015,World,Textiles and Clothing,Export,Export(US$ Mil),1322.48553
Nicaragua,2015,World,Footwear,Export,Export(US$ Mil),31.271548
Nicaragua,2015,World,Stone and Glass,Export,Export(US$ Mil),340.299207
Nicaragua,2015,World,Metals,Export,Export(US$ Mil),21.961359
Nicaragua,2015,World,Mach and Elec,Export,Export(US$ Mil),581.762322
Nicaragua,2015,World,Transportation,Export,Export(US$ Mil),3.813799
Nicaragua,2015,World,Miscellaneous,Export,Export(US$ Mil),12.952292
Nicaragua,2015,World,Raw materials,Export,Export(US$ Mil),1464.89098
Nicaragua,2015,World,Intermediate goods,Export,Export(US$ Mil),736.248591
Nicaragua,2015,World,Consumer goods,Export,Export(US$ Mil),2441.729872
Nicaragua,2015,World,Capital goods,Export,Export(US$ Mil),22.511606
Nicaragua,2015,World,Raw materials,Import,Import(US$ Mil),544.706264
Nicaragua,2015,World,Intermediate goods,Import,Import(US$ Mil),1038.658103
Nicaragua,2015,World,Consumer goods,Import,Import(US$ Mil),2912.592927
Nicaragua,2015,World,Capital goods,Import,Import(US$ Mil),1312.687315
Nicaragua,2015,World,All Products,Export,Exports (in US$ Mil),4667.365609
Nicaragua,2015,World,All Products,Import,Imports (in US$ Mil),5866.297865
Nicaragua,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4293695.58
Nicaragua,2015,...,...,Development,Trade Balance (current US$ Mil),-2277.4660498
Nicaragua,2015,...,...,Development,GDP (current US$ Mil),12692.562187
Nicaragua,2015,...,...,Tariff,No. Of Tariff Agreement,11
Nicaragua,2015,...,...,Import,No. Of Import partners,166
Nicaragua,2015,...,...,Import,No. Of Import products,3731
Nicaragua,2015,...,...,Export,No. Of Export partners,123
Nicaragua,2015,...,...,Export,No. Of Export products,1939
Nicaragua,2015,...,...,Others,Population,6082032
Nicaragua,2016,...,...,Others,Ease of Doing Business Rank,127
Nicaragua,2016,...,...,Others,Trading Across Borders Rank,73
Nicaragua,2015,...,...,Others,CPIA Trade Ratings,4.5
Nicaragua,2014,...,...,Others,LPI Rank,95
Nicaragua,2014,...,...,Others,LPI Score,2.653283
Nicaragua,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1026
Nicaragua,2014,...,...,Others,No Of NTM Measures,55
Nicaragua,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1165638
Nicaragua,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1543768
Nicaragua,,...,...,Others,Services Trade Restrictions Index - Over All,12.8
Nicaragua,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,53.7142
Nicaragua,2015,Mexico,All Products,Export,Partner share(%)-Top 5 Export Partner,11.1213
Nicaragua,2015,Venezuela,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2198
Nicaragua,2015,El Salvador,All Products,Export,Partner share(%)-Top 5 Export Partner,5.5567
Nicaragua,2015,Honduras,All Products,Export,Partner share(%)-Top 5 Export Partner,3.7349
Nicaragua,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,18.0142
Nicaragua,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.4135
Nicaragua,2015,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,10.4004
Nicaragua,2015,Costa Rica,All Products,Import,Partner share(%)-Top 5 Import Partner,8.1651
Nicaragua,2015,Guatemala,All Products,Import,Partner share(%)-Top 5 Import Partner,6.9455
Nicaragua,2015,World,Animal,Export,Export Product share(%),21.1251
Nicaragua,2015,World,Vegetable,Export,Export Product share(%),16.2601
Nicaragua,2015,World,Food Products,Export,Export Product share(%),10.632
Nicaragua,2015,World,Minerals,Export,Export Product share(%),0.0905
Nicaragua,2015,World,Fuels,Export,Export Product share(%),0.3125
Nicaragua,2015,World,Chemicals,Export,Export Product share(%),0.3987
Nicaragua,2015,World,Plastic or Rubber,Export,Export Product share(%),0.3341
Nicaragua,2015,World,Hides and Skins,Export,Export Product share(%),0.6029
Nicaragua,2015,World,Wood,Export,Export Product share(%),0.654
Nicaragua,2015,World,Textiles and Clothing,Export,Export Product share(%),28.3347
Nicaragua,2015,World,Footwear,Export,Export Product share(%),0.67
Nicaragua,2015,World,Stone and Glass,Export,Export Product share(%),7.291
Nicaragua,2015,World,Metals,Export,Export Product share(%),0.4705
Nicaragua,2015,World,Mach and Elec,Export,Export Product share(%),12.4645
Nicaragua,2015,World,Transportation,Export,Export Product share(%),0.0817
Nicaragua,2015,World,Miscellaneous,Export,Export Product share(%),0.2775
Nicaragua,2015,World,Raw materials,Export,Export Product share(%),31.3858
Nicaragua,2015,World,Intermediate goods,Export,Export Product share(%),15.7744
Nicaragua,2015,World,Consumer goods,Export,Export Product share(%),52.3149
Nicaragua,2015,World,Capital goods,Export,Export Product share(%),0.4823
Nicaragua,2015,World,Raw materials,Import,Import Product share(%),9.2853
Nicaragua,2015,World,Intermediate goods,Import,Import Product share(%),17.7055
Nicaragua,2015,World,Consumer goods,Import,Import Product share(%),49.6496
Nicaragua,2015,World,Capital goods,Import,Import Product share(%),22.3768
Nicaragua,2015,World,Raw materials,Tariff,Weighted Average (%),2.59058348170821
Nicaragua,2015,World,Intermediate goods,Tariff,Weighted Average (%),1.79412708915584
Nicaragua,2015,World,Consumer goods,Tariff,Weighted Average (%),2.28854167746402
Nicaragua,2015,World,Capital goods,Tariff,Weighted Average (%),1.30488044967476
Nicaragua,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Nicaragua,2015,World,All Products,Trade Indicator,Country Growth (%),-1.3922242009015
Nicaragua,2015,World,All Products,Tariff,Simple Average (%),3.72698295351139
Nicaragua,2015,World,All Products,Tariff,Weighted Average (%),2.00306054808659
Nicaragua,2015,World,All Products,Tariff,Maximum Rate (%),164
Nicaragua,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),60.8980040957301
Nicaragua,2015,...,...,Trade Indicator,Index of export market penetration,2.17437041603672
Nicaragua,2015,...,...,Trade Indicator,HH Market concentration index,0.4180792056843
Nicaragua,2015,...,...,Development,Trade Balance (% of GDP),-17.943312123
Nicaragua,2015,...,...,Development,Trade in services (% of GDP),18.790532319
Nicaragua,2015,...,...,Development,Trade (% of GDP),92.984797524
Nicaragua,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",1940
