Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Other Asia, nes",2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,71112.16467
"Other Asia, nes",2015,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,38016.509479
"Other Asia, nes",2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,34254.961006
"Other Asia, nes",2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19253.783305
"Other Asia, nes",2015,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17231.329512
"Other Asia, nes",2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,44113.854148
"Other Asia, nes",2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,38644.396026
"Other Asia, nes",2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26591.57672
"Other Asia, nes",2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13012.608647
"Other Asia, nes",2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8600.523931
"Other Asia, nes",2015,World,Animal,Export,Export(US$ Mil),1763.707827
"Other Asia, nes",2015,World,Vegetable,Export,Export(US$ Mil),772.422829
"Other Asia, nes",2015,World,Food Products,Export,Export(US$ Mil),1764.616059
"Other Asia, nes",2015,World,Minerals,Export,Export(US$ Mil),333.680084
"Other Asia, nes",2015,World,Fuels,Export,Export(US$ Mil),11571.306467
"Other Asia, nes",2015,World,Chemicals,Export,Export(US$ Mil),17834.12367
"Other Asia, nes",2015,World,Plastic or Rubber,Export,Export(US$ Mil),21032.71133
"Other Asia, nes",2015,World,Hides and Skins,Export,Export(US$ Mil),843.898507
"Other Asia, nes",2015,World,Wood,Export,Export(US$ Mil),1916.701596
"Other Asia, nes",2015,World,Textiles and Clothing,Export,Export(US$ Mil),10802.702277
"Other Asia, nes",2015,World,Footwear,Export,Export(US$ Mil),406.254893
"Other Asia, nes",2015,World,Stone and Glass,Export,Export(US$ Mil),4523.056644
"Other Asia, nes",2015,World,Metals,Export,Export(US$ Mil),25119.546869
"Other Asia, nes",2015,World,Mach and Elec,Export,Export(US$ Mil),144601.181811
"Other Asia, nes",2015,World,Transportation,Export,Export(US$ Mil),11723.423255
"Other Asia, nes",2015,World,Miscellaneous,Export,Export(US$ Mil),25009.932709
"Other Asia, nes",2015,World,Raw materials,Export,Export(US$ Mil),2833.784625
"Other Asia, nes",2015,World,Intermediate goods,Export,Export(US$ Mil),65670.5218909999
"Other Asia, nes",2015,World,Consumer goods,Export,Export(US$ Mil),52018.421457
"Other Asia, nes",2015,World,Capital goods,Export,Export(US$ Mil),155900.298288
"Other Asia, nes",2015,World,Raw materials,Import,Import(US$ Mil),33966.609213
"Other Asia, nes",2015,World,Intermediate goods,Import,Import(US$ Mil),51777.23179
"Other Asia, nes",2015,World,Consumer goods,Import,Import(US$ Mil),46920.5373819999
"Other Asia, nes",2015,World,Capital goods,Import,Import(US$ Mil),90150.8529029999
"Other Asia, nes",2015,World,All Products,Export,Exports (in US$ Mil),280019.266828
"Other Asia, nes",2015,World,All Products,Import,Imports (in US$ Mil),228508.285711
"Other Asia, nes",2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),144585335.214
"Other Asia, nes",2015,...,...,Tariff,No. Of Tariff Agreement,11
"Other Asia, nes",2015,...,...,Import,No. Of Import partners,216
"Other Asia, nes",2015,...,...,Import,No. Of Import products,4436
"Other Asia, nes",2015,...,...,Export,No. Of Export partners,213
"Other Asia, nes",2015,...,...,Export,No. Of Export products,4211
