Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Panama,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,136.852096
Panama,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,91.767724
Panama,2015,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,53.30996
Panama,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,40.944167
Panama,2015,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28.888807
Panama,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3141.508985
Panama,2015,Free Zones,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1938.878734
Panama,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1158.895296
Panama,2015,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,621.075804
Panama,2015,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,454.255231
Panama,2015,World,Animal,Export,Export(US$ Mil),205.834837
Panama,2015,World,Vegetable,Export,Export(US$ Mil),187.911476
Panama,2015,World,Food Products,Export,Export(US$ Mil),94.733581
Panama,2015,World,Minerals,Export,Export(US$ Mil),0.007
Panama,2015,World,Fuels,Export,Export(US$ Mil),0.713005
Panama,2015,World,Chemicals,Export,Export(US$ Mil),24.756215
Panama,2015,World,Plastic or Rubber,Export,Export(US$ Mil),4.13179
Panama,2015,World,Hides and Skins,Export,Export(US$ Mil),17.453826
Panama,2015,World,Wood,Export,Export(US$ Mil),65.881291
Panama,2015,World,Textiles and Clothing,Export,Export(US$ Mil),4.842977
Panama,2015,World,Footwear,Export,Export(US$ Mil),0.007288
Panama,2015,World,Stone and Glass,Export,Export(US$ Mil),7.099204
Panama,2015,World,Metals,Export,Export(US$ Mil),80.280873
Panama,2015,World,Mach and Elec,Export,Export(US$ Mil),
Panama,2015,World,Transportation,Export,Export(US$ Mil),
Panama,2015,World,Miscellaneous,Export,Export(US$ Mil),2.024957
Panama,2015,World,Raw materials,Export,Export(US$ Mil),441.730907
Panama,2015,World,Intermediate goods,Export,Export(US$ Mil),114.927197
Panama,2015,World,Consumer goods,Export,Export(US$ Mil),127.240703
