Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Peru,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7332.90123
Peru,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5018.325051
Peru,2015,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2694.471412
Peru,2015,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2305.900538
Peru,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1118.558959
Peru,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8666.724846
Peru,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7867.188154
Peru,2015,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1933.825845
Peru,2015,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1725.529389
Peru,2015,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1295.528221
Peru,2015,World,Animal,Export,Export(US$ Mil),811.659643
Peru,2015,World,Vegetable,Export,Export(US$ Mil),3855.226654
Peru,2015,World,Food Products,Export,Export(US$ Mil),2744.969357
Peru,2015,World,Minerals,Export,Export(US$ Mil),10363.765546
Peru,2015,World,Fuels,Export,Export(US$ Mil),2411.68441
Peru,2015,World,Chemicals,Export,Export(US$ Mil),769.705023
Peru,2015,World,Plastic or Rubber,Export,Export(US$ Mil),564.038262
Peru,2015,World,Hides and Skins,Export,Export(US$ Mil),60.409268
Peru,2015,World,Wood,Export,Export(US$ Mil),345.631634
Peru,2015,World,Textiles and Clothing,Export,Export(US$ Mil),1355.420158
Peru,2015,World,Footwear,Export,Export(US$ Mil),32.710234
Peru,2015,World,Stone and Glass,Export,Export(US$ Mil),6223.45466
Peru,2015,World,Metals,Export,Export(US$ Mil),3158.271537
Peru,2015,World,Mach and Elec,Export,Export(US$ Mil),375.484951
Peru,2015,World,Transportation,Export,Export(US$ Mil),71.408278
Peru,2015,World,Miscellaneous,Export,Export(US$ Mil),101.032144
Peru,2015,World,Raw materials,Export,Export(US$ Mil),14467.004233
Peru,2015,World,Intermediate goods,Export,Export(US$ Mil),12476.79953
Peru,2015,World,Consumer goods,Export,Export(US$ Mil),5796.320189
Peru,2015,World,Capital goods,Export,Export(US$ Mil),440.516607
Peru,2015,World,Raw materials,Import,Import(US$ Mil),3862.854419
Peru,2015,World,Intermediate goods,Import,Import(US$ Mil),9926.634008
Peru,2015,World,Consumer goods,Import,Import(US$ Mil),12070.025502
Peru,2015,World,Capital goods,Import,Import(US$ Mil),11461.426181
Peru,2015,World,All Products,Export,Exports (in US$ Mil),33244.871761
Peru,2015,World,All Products,Import,Imports (in US$ Mil),38104.614117
Peru,2014,World,All Products,Tariff,Duty Free Imports (US$ Thousand),32999350.92
Peru,2015,...,...,Development,Trade Balance (current US$ Mil),-4562.317567
Peru,2015,...,...,Development,GDP (current US$ Mil),189111.13901
Peru,2014,...,...,Tariff,No. Of Tariff Agreement,36
Peru,2015,...,...,Import,No. Of Import partners,194
Peru,2015,...,...,Import,No. Of Import products,4146
Peru,2015,...,...,Export,No. Of Export partners,176
Peru,2015,...,...,Export,No. Of Export products,3248
Peru,2015,...,...,Others,Population,31376670
Peru,2016,...,...,Others,Ease of Doing Business Rank,54
Peru,2016,...,...,Others,Trading Across Borders Rank,86
Peru,2014,...,...,Others,LPI Rank,71
Peru,2014,...,...,Others,LPI Score,2.840685
Peru,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1972
Peru,2014,...,...,Others,No Of NTM Measures,53
Peru,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0931461
Peru,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1004942
Peru,,...,...,Others,Services Trade Restrictions Index - Over All,16.4
Peru,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,5.656722069
Peru,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.467296243
Peru,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,22.0572
Peru,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,15.095
Peru,2015,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,8.1049
Peru,2015,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,6.9361
Peru,2015,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,3.3646
Peru,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,22.7446
Peru,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,20.6463
Peru,2015,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,5.075
Peru,2015,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,4.5284
Peru,2015,Colombia,All Products,Import,Partner share(%)-Top 5 Import Partner,3.3999
Peru,2015,World,Animal,Export,Export Product share(%),2.4415
Peru,2015,World,Vegetable,Export,Export Product share(%),11.5965
Peru,2015,World,Food Products,Export,Export Product share(%),8.2568
Peru,2015,World,Minerals,Export,Export Product share(%),31.174
Peru,2015,World,Fuels,Export,Export Product share(%),7.2543
Peru,2015,World,Chemicals,Export,Export Product share(%),2.3153
Peru,2015,World,Plastic or Rubber,Export,Export Product share(%),1.6966
Peru,2015,World,Hides and Skins,Export,Export Product share(%),0.1817
Peru,2015,World,Wood,Export,Export Product share(%),1.0397
Peru,2015,World,Textiles and Clothing,Export,Export Product share(%),4.0771
Peru,2015,World,Footwear,Export,Export Product share(%),0.0984
Peru,2015,World,Stone and Glass,Export,Export Product share(%),18.72
Peru,2015,World,Metals,Export,Export Product share(%),9.5
Peru,2015,World,Mach and Elec,Export,Export Product share(%),1.1295
Peru,2015,World,Transportation,Export,Export Product share(%),0.2148
Peru,2015,World,Miscellaneous,Export,Export Product share(%),0.3039
Peru,2015,World,Raw materials,Export,Export Product share(%),43.5165
