Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Poland,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,52261.452168
Poland,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13240.923614
Poland,2015,Czech Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12687.294652
Poland,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10826.925031
Poland,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9329.401692
Poland,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,42886.470079
Poland,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22380.369228
Poland,2015,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14359.227871
Poland,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9818.160858
Poland,2015,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7168.026204
Poland,2015,World,Animal,Export,Export(US$ Mil),7864.409437
Poland,2015,World,Vegetable,Export,Export(US$ Mil),5656.454374
Poland,2015,World,Food Products,Export,Export(US$ Mil),12096.272746
Poland,2015,World,Minerals,Export,Export(US$ Mil),299.271522
Poland,2015,World,Fuels,Export,Export(US$ Mil),6435.630701
Poland,2015,World,Chemicals,Export,Export(US$ Mil),12861.313072
Poland,2015,World,Plastic or Rubber,Export,Export(US$ Mil),13397.544795
Poland,2015,World,Hides and Skins,Export,Export(US$ Mil),1131.907858
Poland,2015,World,Wood,Export,Export(US$ Mil),9972.97467
Poland,2015,World,Textiles and Clothing,Export,Export(US$ Mil),6677.954846
Poland,2015,World,Footwear,Export,Export(US$ Mil),1174.189894
Poland,2015,World,Stone and Glass,Export,Export(US$ Mil),4780.046194
Poland,2015,World,Metals,Export,Export(US$ Mil),19130.945409
Poland,2015,World,Mach and Elec,Export,Export(US$ Mil),49046.774955
Poland,2015,World,Transportation,Export,Export(US$ Mil),28458.260565
Poland,2015,World,Miscellaneous,Export,Export(US$ Mil),15477.206232
Poland,2015,World,Raw materials,Export,Export(US$ Mil),12890.812397
Poland,2015,World,Intermediate goods,Export,Export(US$ Mil),34645.161981
Poland,2015,World,Consumer goods,Export,Export(US$ Mil),82996.5538389998
Poland,2015,World,Capital goods,Export,Export(US$ Mil),58061.9858019999
Poland,2015,World,Raw materials,Import,Import(US$ Mil),21673.210699
Poland,2015,World,Intermediate goods,Import,Import(US$ Mil),45085.4783719999
Poland,2015,World,Consumer goods,Import,Import(US$ Mil),56158.1037540001
Poland,2015,World,Capital goods,Import,Import(US$ Mil),61460.107301
Poland,2015,World,All Products,Export,Exports (in US$ Mil),194461.15727
Poland,2015,World,All Products,Import,Imports (in US$ Mil),189696.473787
Poland,2003,World,All Products,Tariff,Duty Free Imports (US$ Thousand),56352513
Poland,2015,...,...,Development,Trade Balance (current US$ Mil),14771.4551
Poland,2015,...,...,Development,GDP (current US$ Mil),477066.45444
Poland,2003,...,...,Tariff,No. Of Tariff Agreement,18
Poland,2015,...,...,Import,No. Of Import partners,229
Poland,2015,...,...,Import,No. Of Import products,4523
Poland,2015,...,...,Export,No. Of Export partners,223
Poland,2015,...,...,Export,No. Of Export products,4422
Poland,2015,...,...,Others,Population,37999494
Poland,2016,...,...,Others,Ease of Doing Business Rank,24
Poland,2016,...,...,Others,Trading Across Borders Rank,1
Poland,2014,...,...,Others,LPI Rank,31
Poland,2014,...,...,Others,LPI Score,3.493829
Poland,,...,...,Others,Services Trade Restrictions Index - Over All,11
Poland,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,26.875
Poland,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,6.809
Poland,2015,Czech Republic,All Products,Export,Partner share(%)-Top 5 Export Partner,6.5243
Poland,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,5.5677
Poland,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,4.7976
Poland,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,22.6079
