Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
French Polynesia,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,33.982412
French Polynesia,2015,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,31.840906
French Polynesia,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23.496653
French Polynesia,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18.104577
French Polynesia,2015,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.251739
French Polynesia,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,390.279178
French Polynesia,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,202.05793
French Polynesia,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,159.131519
French Polynesia,2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,130.500451
French Polynesia,2015,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,115.031606
French Polynesia,2015,World,Animal,Export,Export(US$ Mil),17.79704
French Polynesia,2015,World,Vegetable,Export,Export(US$ Mil),10.348662
French Polynesia,2015,World,Food Products,Export,Export(US$ Mil),7.31899
French Polynesia,2015,World,Minerals,Export,Export(US$ Mil),0.011957
French Polynesia,2015,World,Fuels,Export,Export(US$ Mil),0.006509
French Polynesia,2015,World,Chemicals,Export,Export(US$ Mil),3.778462
French Polynesia,2015,World,Plastic or Rubber,Export,Export(US$ Mil),0.439807
French Polynesia,2015,World,Hides and Skins,Export,Export(US$ Mil),0.069602
French Polynesia,2015,World,Wood,Export,Export(US$ Mil),1.152383
French Polynesia,2015,World,Textiles and Clothing,Export,Export(US$ Mil),0.728182
French Polynesia,2015,World,Footwear,Export,Export(US$ Mil),0.055064
French Polynesia,2015,World,Stone and Glass,Export,Export(US$ Mil),71.9454
French Polynesia,2015,World,Metals,Export,Export(US$ Mil),1.071196
French Polynesia,2015,World,Mach and Elec,Export,Export(US$ Mil),3.50817
French Polynesia,2015,World,Transportation,Export,Export(US$ Mil),10.517754
French Polynesia,2015,World,Miscellaneous,Export,Export(US$ Mil),1.444587
French Polynesia,2015,World,Raw materials,Export,Export(US$ Mil),88.546599
French Polynesia,2015,World,Intermediate goods,Export,Export(US$ Mil),8.967844
French Polynesia,2015,World,Consumer goods,Export,Export(US$ Mil),19.712714
French Polynesia,2015,World,Capital goods,Export,Export(US$ Mil),12.941561
French Polynesia,2015,World,Raw materials,Import,Import(US$ Mil),134.401121
French Polynesia,2015,World,Intermediate goods,Import,Import(US$ Mil),162.855859
French Polynesia,2015,World,Consumer goods,Import,Import(US$ Mil),851.545022000001
French Polynesia,2015,World,Capital goods,Import,Import(US$ Mil),360.438877
French Polynesia,2015,World,All Products,Export,Exports (in US$ Mil),130.193767
French Polynesia,2015,World,All Products,Import,Imports (in US$ Mil),1526.806046
French Polynesia,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),323907.588
French Polynesia,2015,...,...,Tariff,No. Of Tariff Agreement,2
French Polynesia,2015,...,...,Import,No. Of Import partners,162
French Polynesia,2015,...,...,Import,No. Of Import products,3435
French Polynesia,2015,...,...,Export,No. Of Export partners,63
French Polynesia,2015,...,...,Export,No. Of Export products,872
French Polynesia,2015,...,...,Others,Population,282764
French Polynesia,2015,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,26.1014
French Polynesia,2015,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,24.4566
French Polynesia,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,18.0474
French Polynesia,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,13.9059
French Polynesia,2015,Denmark,All Products,Export,Partner share(%)-Top 5 Export Partner,6.338
French Polynesia,2015,France,All Products,Import,Partner share(%)-Top 5 Import Partner,25.5618
French Polynesia,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,13.234
French Polynesia,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,10.4225
French Polynesia,2015,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,8.5473
French Polynesia,2015,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,7.5341
French Polynesia,2015,World,Animal,Export,Export Product share(%),13.6697
French Polynesia,2015,World,Vegetable,Export,Export Product share(%),7.9487
French Polynesia,2015,World,Food Products,Export,Export Product share(%),5.6216
French Polynesia,2015,World,Minerals,Export,Export Product share(%),0.0092
French Polynesia,2015,World,Fuels,Export,Export Product share(%),0.005
French Polynesia,2015,World,Chemicals,Export,Export Product share(%),2.9022
French Polynesia,2015,World,Plastic or Rubber,Export,Export Product share(%),0.3378
French Polynesia,2015,World,Hides and Skins,Export,Export Product share(%),0.0535
French Polynesia,2015,World,Wood,Export,Export Product share(%),0.8851
French Polynesia,2015,World,Textiles and Clothing,Export,Export Product share(%),0.5593
French Polynesia,2015,World,Footwear,Export,Export Product share(%),0.0423
French Polynesia,2015,World,Stone and Glass,Export,Export Product share(%),55.2602
French Polynesia,2015,World,Metals,Export,Export Product share(%),0.8228
French Polynesia,2015,World,Mach and Elec,Export,Export Product share(%),2.6946
French Polynesia,2015,World,Transportation,Export,Export Product share(%),8.0785
French Polynesia,2015,World,Miscellaneous,Export,Export Product share(%),1.1096
French Polynesia,2015,World,Raw materials,Export,Export Product share(%),68.0114
French Polynesia,2015,World,Intermediate goods,Export,Export Product share(%),6.8881
French Polynesia,2015,World,Consumer goods,Export,Export Product share(%),15.1411
French Polynesia,2015,World,Capital goods,Export,Export Product share(%),9.9402
French Polynesia,2015,World,Raw materials,Import,Import Product share(%),8.8028
French Polynesia,2015,World,Intermediate goods,Import,Import Product share(%),10.6664
French Polynesia,2015,World,Consumer goods,Import,Import Product share(%),55.773
French Polynesia,2015,World,Capital goods,Import,Import Product share(%),23.6074
French Polynesia,2015,World,Raw materials,Tariff,Weighted Average (%),1.7064693879542
French Polynesia,2015,World,Intermediate goods,Tariff,Weighted Average (%),4.91820545004934
French Polynesia,2015,World,Consumer goods,Tariff,Weighted Average (%),5.36543704684875
French Polynesia,2015,World,Capital goods,Tariff,Weighted Average (%),5.40173740053554
French Polynesia,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
French Polynesia,2015,World,All Products,Trade Indicator,Country Growth (%),0.304980679791322
French Polynesia,2015,World,All Products,Tariff,Simple Average (%),7.52718428707151
French Polynesia,2015,World,All Products,Tariff,Weighted Average (%),5.08312937756165
French Polynesia,2015,World,All Products,Tariff,Maximum Rate (%),15
French Polynesia,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),7.30675388049629
French Polynesia,2015,...,...,Trade Indicator,Index of export market penetration,1.42428519750608
French Polynesia,2015,...,...,Trade Indicator,HH Market concentration index,0.243339931693112
