Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Russian Federation,2015,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,53098.256485
Russian Federation,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,40198.496427
Russian Federation,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28334.95457
Russian Federation,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16204.284047
Russian Federation,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15906.242253
Russian Federation,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35199.263948
Russian Federation,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18991.575885
Russian Federation,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11489.698339
Russian Federation,2015,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7988.798958
Russian Federation,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7928.217385
Russian Federation,2015,World,Animal,Export,Export(US$ Mil),3214.661078
Russian Federation,2015,World,Vegetable,Export,Export(US$ Mil),8826.032982
Russian Federation,2015,World,Food Products,Export,Export(US$ Mil),4151.503487
Russian Federation,2015,World,Minerals,Export,Export(US$ Mil),3061.286945
Russian Federation,2015,World,Fuels,Export,Export(US$ Mil),216101.146781
Russian Federation,2015,World,Chemicals,Export,Export(US$ Mil),17973.952845
Russian Federation,2015,World,Plastic or Rubber,Export,Export(US$ Mil),4803.220428
Russian Federation,2015,World,Hides and Skins,Export,Export(US$ Mil),308.840061
Russian Federation,2015,World,Wood,Export,Export(US$ Mil),10034.942751
Russian Federation,2015,World,Textiles and Clothing,Export,Export(US$ Mil),680.536426
Russian Federation,2015,World,Footwear,Export,Export(US$ Mil),168.22967
Russian Federation,2015,World,Stone and Glass,Export,Export(US$ Mil),8894.705776
Russian Federation,2015,World,Metals,Export,Export(US$ Mil),33013.808472
Russian Federation,2015,World,Mach and Elec,Export,Export(US$ Mil),12134.042289
Russian Federation,2015,World,Transportation,Export,Export(US$ Mil),6458.601365
Russian Federation,2015,World,Miscellaneous,Export,Export(US$ Mil),14082.140472
Russian Federation,2015,World,Raw materials,Export,Export(US$ Mil),118020.038193
Russian Federation,2015,World,Intermediate goods,Export,Export(US$ Mil),66173.506398
Russian Federation,2015,World,Consumer goods,Export,Export(US$ Mil),130789.092629
Russian Federation,2015,World,Capital goods,Export,Export(US$ Mil),17715.428836
Russian Federation,2015,World,Raw materials,Import,Import(US$ Mil),17655.693285
Russian Federation,2015,World,Intermediate goods,Import,Import(US$ Mil),30898.25969
Russian Federation,2015,World,Consumer goods,Import,Import(US$ Mil),61848.748167
Russian Federation,2015,World,Capital goods,Import,Import(US$ Mil),69691.474191
Russian Federation,2015,World,All Products,Export,Exports (in US$ Mil),343907.651828
Russian Federation,2015,World,All Products,Import,Imports (in US$ Mil),182781.964814
Russian Federation,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),92994345.4839998
Russian Federation,2015,...,...,Development,Trade Balance (current US$ Mil),110831.96046
Russian Federation,2015,...,...,Development,GDP (current US$ Mil),1331207.7459
Russian Federation,2015,...,...,Tariff,No. Of Tariff Agreement,7
