Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,46863.570181
,2015,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,31201.076277
,2015,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12521.884086
,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11837.709829
,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11521.83845
,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,78455.140982
,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28086.526375
,2015,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24541.988682
,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23239.818806
,2015,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21634.900494
,2015,World,Animal,Export,Export(US$ Mil),10388.092573
,2015,World,Vegetable,Export,Export(US$ Mil),22564.12199
,2015,World,Food Products,Export,Export(US$ Mil),6966.065224
,2015,World,Minerals,Export,Export(US$ Mil),3070.223107
,2015,World,Fuels,Export,Export(US$ Mil),31863.10453
,2015,World,Chemicals,Export,Export(US$ Mil),33276.407022
,2015,World,Plastic or Rubber,Export,Export(US$ Mil),8596.80526
,2015,World,Hides and Skins,Export,Export(US$ Mil),4673.132901
,2015,World,Wood,Export,Export(US$ Mil),2149.892955
,2015,World,Textiles and Clothing,Export,Export(US$ Mil),55431.363623
,2015,World,Footwear,Export,Export(US$ Mil),3370.846837
,2015,World,Stone and Glass,Export,Export(US$ Mil),41819.341604
,2015,World,Metals,Export,Export(US$ Mil),21778.362268
,2015,World,Mach and Elec,Export,Export(US$ Mil),21761.442144
,2015,World,Transportation,Export,Export(US$ Mil),22428.977857
,2015,World,Miscellaneous,Export,Export(US$ Mil),8147.3678
,2015,World,Raw materials,Export,Export(US$ Mil),25109.077779
,2015,World,Intermediate goods,Export,Export(US$ Mil),93785.5254230002
,2015,World,Consumer goods,Export,Export(US$ Mil),138681.737383
,2015,World,Capital goods,Export,Export(US$ Mil),37653.690324
