Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Solomon Islands,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,232.210661
Solomon Islands,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29.471592
Solomon Islands,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28.841642
Solomon Islands,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27.633368
Solomon Islands,2015,Philippines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16.424704
Solomon Islands,2015,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,134.501404
Solomon Islands,2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,79.799169
Solomon Islands,2015,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,49.886002
Solomon Islands,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,49.136348
Solomon Islands,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,33.147157
Solomon Islands,2015,World,Animal,Export,Export(US$ Mil),1.238413
Solomon Islands,2015,World,Vegetable,Export,Export(US$ Mil),43.625374
Solomon Islands,2015,World,Food Products,Export,Export(US$ Mil),13.704388
Solomon Islands,2015,World,Minerals,Export,Export(US$ Mil),2.69956
Solomon Islands,2015,World,Fuels,Export,Export(US$ Mil),0.007314
Solomon Islands,2015,World,Chemicals,Export,Export(US$ Mil),0.038449
Solomon Islands,2015,World,Plastic or Rubber,Export,Export(US$ Mil),0.012965
Solomon Islands,2015,World,Hides and Skins,Export,Export(US$ Mil),
Solomon Islands,2015,World,Wood,Export,Export(US$ Mil),157.545293
Solomon Islands,2015,World,Textiles and Clothing,Export,Export(US$ Mil),0.001665
Solomon Islands,2015,World,Footwear,Export,Export(US$ Mil),1.7E-05
Solomon Islands,2015,World,Stone and Glass,Export,Export(US$ Mil),1.186534
Solomon Islands,2015,World,Metals,Export,Export(US$ Mil),0.198474
Solomon Islands,2015,World,Mach and Elec,Export,Export(US$ Mil),4.692993
Solomon Islands,2015,World,Transportation,Export,Export(US$ Mil),1.111892
Solomon Islands,2015,World,Miscellaneous,Export,Export(US$ Mil),174.337262
Solomon Islands,2015,World,Raw materials,Export,Export(US$ Mil),174.412956
Solomon Islands,2015,World,Intermediate goods,Export,Export(US$ Mil),42.999126
Solomon Islands,2015,World,Consumer goods,Export,Export(US$ Mil),3.058067
Solomon Islands,2015,World,Capital goods,Export,Export(US$ Mil),6.057514
Solomon Islands,2015,World,Raw materials,Import,Import(US$ Mil),12.171234
Solomon Islands,2015,World,Intermediate goods,Import,Import(US$ Mil),32.951266
Solomon Islands,2015,World,Consumer goods,Import,Import(US$ Mil),235.535912
Solomon Islands,2015,World,Capital goods,Import,Import(US$ Mil),81.934021
Solomon Islands,2015,World,All Products,Export,Exports (in US$ Mil),400.400592
Solomon Islands,2015,World,All Products,Import,Imports (in US$ Mil),465.830232
Solomon Islands,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),66744.7900000001
Solomon Islands,2015,...,...,Development,Trade Balance (current US$ Mil),-95.19286897
Solomon Islands,2015,...,...,Development,GDP (current US$ Mil),1129.1647188
Solomon Islands,2015,...,...,Tariff,No. Of Tariff Agreement,3
Solomon Islands,2015,...,...,Import,No. Of Import partners,85
Solomon Islands,2015,...,...,Import,No. Of Import products,2758
Solomon Islands,2015,...,...,Export,No. Of Export partners,48
Solomon Islands,2015,...,...,Export,No. Of Export products,222
Solomon Islands,2015,...,...,Others,Population,583591
Solomon Islands,2016,...,...,Others,Ease of Doing Business Rank,104
Solomon Islands,2016,...,...,Others,Trading Across Borders Rank,151
Solomon Islands,2015,...,...,Others,CPIA Trade Ratings,3.5
Solomon Islands,2014,...,...,Others,LPI Rank,106
Solomon Islands,2014,...,...,Others,LPI Score,2.587528
Solomon Islands,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,57.9946
Solomon Islands,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.3605
Solomon Islands,2015,India,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2032
Solomon Islands,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,6.9014
Solomon Islands,2015,Philippines,All Products,Export,Partner share(%)-Top 5 Export Partner,4.1021
Solomon Islands,2015,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,28.8735
Solomon Islands,2015,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,17.1305
Solomon Islands,2015,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,10.7091
Solomon Islands,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,10.5481
Solomon Islands,2015,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,7.1157
Solomon Islands,2015,World,Animal,Export,Export Product share(%),0.3093
Solomon Islands,2015,World,Vegetable,Export,Export Product share(%),10.8954
Solomon Islands,2015,World,Food Products,Export,Export Product share(%),3.4227
Solomon Islands,2015,World,Minerals,Export,Export Product share(%),0.6742
Solomon Islands,2015,World,Fuels,Export,Export Product share(%),0.0018
Solomon Islands,2015,World,Chemicals,Export,Export Product share(%),0.0096
Solomon Islands,2015,World,Plastic or Rubber,Export,Export Product share(%),0.0032
Solomon Islands,2015,World,Hides and Skins,Export,Export Product share(%),
Solomon Islands,2015,World,Wood,Export,Export Product share(%),39.3469
Solomon Islands,2015,World,Textiles and Clothing,Export,Export Product share(%),0.0004
Solomon Islands,2015,World,Footwear,Export,Export Product share(%),0
Solomon Islands,2015,World,Stone and Glass,Export,Export Product share(%),0.2963
Solomon Islands,2015,World,Metals,Export,Export Product share(%),0.0496
Solomon Islands,2015,World,Mach and Elec,Export,Export Product share(%),1.1721
Solomon Islands,2015,World,Transportation,Export,Export Product share(%),0.2777
Solomon Islands,2015,World,Miscellaneous,Export,Export Product share(%),43.5407
Solomon Islands,2015,World,Raw materials,Export,Export Product share(%),43.5596
Solomon Islands,2015,World,Intermediate goods,Export,Export Product share(%),10.739
Solomon Islands,2015,World,Consumer goods,Export,Export Product share(%),0.7638
Solomon Islands,2015,World,Capital goods,Export,Export Product share(%),1.5129
Solomon Islands,2015,World,Raw materials,Import,Import Product share(%),2.6128
Solomon Islands,2015,World,Intermediate goods,Import,Import Product share(%),7.0737
Solomon Islands,2015,World,Consumer goods,Import,Import Product share(%),50.5626
Solomon Islands,2015,World,Capital goods,Import,Import Product share(%),17.5888
Solomon Islands,2015,World,Raw materials,Tariff,Weighted Average (%),8.76222769663055
Solomon Islands,2015,World,Intermediate goods,Tariff,Weighted Average (%),7.69256066843917
Solomon Islands,2015,World,Consumer goods,Tariff,Weighted Average (%),61.5497555447452
Solomon Islands,2015,World,Capital goods,Tariff,Weighted Average (%),8.36310363704863
Solomon Islands,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Solomon Islands,2015,World,All Products,Trade Indicator,Country Growth (%),1.39552135857079
Solomon Islands,2015,World,All Products,Tariff,Simple Average (%),10.7205457467708
