Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
El Salvador,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2580.57642
El Salvador,2015,Honduras,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,760.571468
El Salvador,2015,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,743.005955
El Salvador,2015,Nicaragua,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,363.025344
El Salvador,2015,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,248.112732
El Salvador,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4102.767722
El Salvador,2015,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,996.909055
El Salvador,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,845.06634
El Salvador,2015,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,765.471854
El Salvador,2015,Honduras,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,589.3303
El Salvador,2015,World,Animal,Export,Export(US$ Mil),56.289139
El Salvador,2015,World,Vegetable,Export,Export(US$ Mil),284.753822
El Salvador,2015,World,Food Products,Export,Export(US$ Mil),761.257395
El Salvador,2015,World,Minerals,Export,Export(US$ Mil),14.168839
El Salvador,2015,World,Fuels,Export,Export(US$ Mil),105.190819
El Salvador,2015,World,Chemicals,Export,Export(US$ Mil),282.346638
El Salvador,2015,World,Plastic or Rubber,Export,Export(US$ Mil),343.156245
El Salvador,2015,World,Hides and Skins,Export,Export(US$ Mil),10.434139
El Salvador,2015,World,Wood,Export,Export(US$ Mil),306.946171
El Salvador,2015,World,Textiles and Clothing,Export,Export(US$ Mil),2551.712927
El Salvador,2015,World,Footwear,Export,Export(US$ Mil),58.677298
El Salvador,2015,World,Stone and Glass,Export,Export(US$ Mil),56.45096
El Salvador,2015,World,Metals,Export,Export(US$ Mil),265.49216
El Salvador,2015,World,Mach and Elec,Export,Export(US$ Mil),278.827859
El Salvador,2015,World,Transportation,Export,Export(US$ Mil),10.512887
El Salvador,2015,World,Miscellaneous,Export,Export(US$ Mil),98.710672
El Salvador,2015,World,Raw materials,Export,Export(US$ Mil),280.575976
El Salvador,2015,World,Intermediate goods,Export,Export(US$ Mil),945.574873
El Salvador,2015,World,Consumer goods,Export,Export(US$ Mil),4003.480529
El Salvador,2015,World,Capital goods,Export,Export(US$ Mil),244.597124
El Salvador,2015,World,Raw materials,Import,Import(US$ Mil),742.24516
El Salvador,2015,World,Intermediate goods,Import,Import(US$ Mil),3041.122642
El Salvador,2015,World,Consumer goods,Import,Import(US$ Mil),4851.78912300001
El Salvador,2015,World,Capital goods,Import,Import(US$ Mil),1663.496579
El Salvador,2015,World,All Products,Export,Exports (in US$ Mil),5484.927968
El Salvador,2015,World,All Products,Import,Imports (in US$ Mil),10415.403181
El Salvador,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),8146887.025
El Salvador,2015,...,...,Development,Trade Balance (current US$ Mil),-4154.5
El Salvador,2015,...,...,Development,GDP (current US$ Mil),25850.2
El Salvador,2015,...,...,Tariff,No. Of Tariff Agreement,15
El Salvador,2015,...,...,Import,No. Of Import partners,145
El Salvador,2015,...,...,Import,No. Of Import products,3980
El Salvador,2015,...,...,Export,No. Of Export partners,126
El Salvador,2015,...,...,Export,No. Of Export products,2619
El Salvador,2015,...,...,Others,Population,6126583
El Salvador,2016,...,...,Others,Ease of Doing Business Rank,95
El Salvador,2016,...,...,Others,Trading Across Borders Rank,44
El Salvador,2014,...,...,Others,LPI Rank,64
El Salvador,2014,...,...,Others,LPI Score,2.960467
El Salvador,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1910
El Salvador,2014,...,...,Others,No Of NTM Measures,27
El Salvador,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0630973
El Salvador,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1043782
El Salvador,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,47.0485
El Salvador,2015,Honduras,All Products,Export,Partner share(%)-Top 5 Export Partner,13.8666
El Salvador,2015,Guatemala,All Products,Export,Partner share(%)-Top 5 Export Partner,13.5463
El Salvador,2015,Nicaragua,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6186
El Salvador,2015,Costa Rica,All Products,Export,Partner share(%)-Top 5 Export Partner,4.5235
El Salvador,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,39.3913
El Salvador,2015,Guatemala,All Products,Import,Partner share(%)-Top 5 Import Partner,9.5715
El Salvador,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.1136
El Salvador,2015,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3494
El Salvador,2015,Honduras,All Products,Import,Partner share(%)-Top 5 Import Partner,5.6583
El Salvador,2015,World,Animal,Export,Export Product share(%),1.0263
El Salvador,2015,World,Vegetable,Export,Export Product share(%),5.1916
El Salvador,2015,World,Food Products,Export,Export Product share(%),13.8791
El Salvador,2015,World,Minerals,Export,Export Product share(%),0.2583
El Salvador,2015,World,Fuels,Export,Export Product share(%),1.9178
El Salvador,2015,World,Chemicals,Export,Export Product share(%),5.1477
El Salvador,2015,World,Plastic or Rubber,Export,Export Product share(%),6.2563
El Salvador,2015,World,Hides and Skins,Export,Export Product share(%),0.1902
El Salvador,2015,World,Wood,Export,Export Product share(%),5.5962
El Salvador,2015,World,Textiles and Clothing,Export,Export Product share(%),46.5223
El Salvador,2015,World,Footwear,Export,Export Product share(%),1.0698
El Salvador,2015,World,Stone and Glass,Export,Export Product share(%),1.0292
El Salvador,2015,World,Metals,Export,Export Product share(%),4.8404
El Salvador,2015,World,Mach and Elec,Export,Export Product share(%),5.0835
El Salvador,2015,World,Transportation,Export,Export Product share(%),0.1917
El Salvador,2015,World,Miscellaneous,Export,Export Product share(%),1.7997
El Salvador,2015,World,Raw materials,Export,Export Product share(%),5.1154
El Salvador,2015,World,Intermediate goods,Export,Export Product share(%),17.2395
El Salvador,2015,World,Consumer goods,Export,Export Product share(%),72.9906
El Salvador,2015,World,Capital goods,Export,Export Product share(%),4.4594
El Salvador,2015,World,Raw materials,Import,Import Product share(%),7.1264
El Salvador,2015,World,Intermediate goods,Import,Import Product share(%),29.1983
El Salvador,2015,World,Consumer goods,Import,Import Product share(%),46.5828
El Salvador,2015,World,Capital goods,Import,Import Product share(%),15.9715
El Salvador,2015,World,Raw materials,Tariff,Weighted Average (%),4.40976514463534
El Salvador,2015,World,Intermediate goods,Tariff,Weighted Average (%),1.30112524589551
El Salvador,2015,World,Consumer goods,Tariff,Weighted Average (%),2.2921417899435
El Salvador,2015,World,Capital goods,Tariff,Weighted Average (%),0.8088592718511
El Salvador,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
El Salvador,2015,World,All Products,Trade Indicator,Country Growth (%),1.65444262529844
El Salvador,2015,World,All Products,Tariff,Simple Average (%),3.83023795682704
El Salvador,2015,World,All Products,Tariff,Weighted Average (%),1.78790032349581
El Salvador,2015,World,All Products,Tariff,Maximum Rate (%),164
El Salvador,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),60.9888779709773
El Salvador,2015,...,...,Trade Indicator,Index of export market penetration,2.83621161209659
El Salvador,2015,...,...,Trade Indicator,HH Market concentration index,0.297374342224438
El Salvador,2015,...,...,Development,Trade Balance (% of GDP),-16.071442387
El Salvador,2015,...,...,Development,Trade in services (% of GDP),14.986803446
El Salvador,2015,...,...,Development,Trade (% of GDP),67.989029098
El Salvador,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",3940
