Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23320.278429
,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10322.558836
,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8969.337115
,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7040.415488
,2015,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6942.468923
,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,36627.248175
,2015,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15295.629379
,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12306.354592
,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11806.870761
,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10201.668049
,2015,World,Animal,Export,Export(US$ Mil),2766.349697
,2015,World,Vegetable,Export,Export(US$ Mil),13604.83982
,2015,World,Food Products,Export,Export(US$ Mil),14551.68503
,2015,World,Minerals,Export,Export(US$ Mil),10319.393638
,2015,World,Fuels,Export,Export(US$ Mil),46942.970633
,2015,World,Chemicals,Export,Export(US$ Mil),6172.484115
,2015,World,Plastic or Rubber,Export,Export(US$ Mil),2640.665011
,2015,World,Hides and Skins,Export,Export(US$ Mil),640.505815
,2015,World,Wood,Export,Export(US$ Mil),3224.676847
,2015,World,Textiles and Clothing,Export,Export(US$ Mil),4365.729054
,2015,World,Footwear,Export,Export(US$ Mil),426.448536
,2015,World,Stone and Glass,Export,Export(US$ Mil),23509.558647
,2015,World,Metals,Export,Export(US$ Mil),16657.132488
,2015,World,Mach and Elec,Export,Export(US$ Mil),8617.13651
,2015,World,Transportation,Export,Export(US$ Mil),9927.723313
,2015,World,Miscellaneous,Export,Export(US$ Mil),2316.986765
,2015,World,Raw materials,Export,Export(US$ Mil),77179.9689420001
,2015,World,Intermediate goods,Export,Export(US$ Mil),46197.2038850001
,2015,World,Consumer goods,Export,Export(US$ Mil),28852.508752
,2015,World,Capital goods,Export,Export(US$ Mil),13098.724115
,2015,World,Raw materials,Import,Import(US$ Mil),26255.716117
,2015,World,Intermediate goods,Import,Import(US$ Mil),43673.539387
,2015,World,Consumer goods,Import,Import(US$ Mil),80709.3082979999
,2015,World,Capital goods,Import,Import(US$ Mil),59306.9400430001
,2015,World,All Products,Export,Exports (in US$ Mil),166684.285906
,2015,World,All Products,Import,Imports (in US$ Mil),221390.807262
,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),96428547.754999
,2015,...,...,Development,Trade Balance (current US$ Mil),-82212.7682
,2015,...,...,Development,GDP (current US$ Mil),1590035.6572
,2015,...,...,Tariff,No. Of Tariff Agreement,596
,2015,...,...,Import,No. Of Import partners,234
,2015,...,...,Import,No. Of Import products,4621
,2015,...,...,Export,No. Of Export partners,225
,2015,...,...,Export,No. Of Export products,4503
,2015,...,...,Others,Population,1000980981
,2015,...,...,Others,CPIA Trade Ratings,3.6578947368
,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,13.9907
,2015,India,All Products,Export,Partner share(%)-Top 5 Export Partner,6.1929
,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,5.381
,2015,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,4.2238
,2015,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,4.165
,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,16.5442
,2015,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,6.9089
,2015,India,All Products,Import,Partner share(%)-Top 5 Import Partner,5.5587
,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,5.333
,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,4.608
,2015,World,Animal,Export,Export Product share(%),1.6596
,2015,World,Vegetable,Export,Export Product share(%),8.162
,2015,World,Food Products,Export,Export Product share(%),8.7301
,2015,World,Minerals,Export,Export Product share(%),6.191
,2015,World,Fuels,Export,Export Product share(%),28.1628
,2015,World,Chemicals,Export,Export Product share(%),3.7031
,2015,World,Plastic or Rubber,Export,Export Product share(%),1.5842
,2015,World,Hides and Skins,Export,Export Product share(%),0.3843
,2015,World,Wood,Export,Export Product share(%),1.9346
,2015,World,Textiles and Clothing,Export,Export Product share(%),2.6192
,2015,World,Footwear,Export,Export Product share(%),0.2558
,2015,World,Stone and Glass,Export,Export Product share(%),14.1042
,2015,World,Metals,Export,Export Product share(%),9.9932
,2015,World,Mach and Elec,Export,Export Product share(%),5.1697
,2015,World,Transportation,Export,Export Product share(%),5.956
,2015,World,Miscellaneous,Export,Export Product share(%),1.39
,2015,World,Raw materials,Export,Export Product share(%),46.3031
,2015,World,Intermediate goods,Export,Export Product share(%),27.7154
,2015,World,Consumer goods,Export,Export Product share(%),17.3097
,2015,World,Capital goods,Export,Export Product share(%),7.8584
,2015,World,Raw materials,Import,Import Product share(%),11.8594
,2015,World,Intermediate goods,Import,Import Product share(%),19.7269
,2015,World,Consumer goods,Import,Import Product share(%),36.4556
,2015,World,Capital goods,Import,Import Product share(%),26.7883
,2015,World,Raw materials,Tariff,Weighted Average (%),2.00039516178014
,2015,World,Intermediate goods,Tariff,Weighted Average (%),5.57783736556994
,2015,World,Consumer goods,Tariff,Weighted Average (%),11.446283735909
,2015,World,Capital goods,Tariff,Weighted Average (%),4.32041276036498
,2015,World,All Products,Trade Indicator,World Growth (%),
,2015,World,All Products,Trade Indicator,Country Growth (%),
,2015,World,All Products,Tariff,Simple Average (%),10.1557736438612
,2015,World,All Products,Tariff,Weighted Average (%),7.05359841749473
,2015,World,All Products,Tariff,Maximum Rate (%),824.531311035156
,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),43.6303066976655
,2015,...,...,Trade Indicator,Index of export market penetration,
,2015,...,...,Trade Indicator,HH Market concentration index,
,2015,...,...,Development,Trade Balance (% of GDP),-5.184787479
,2015,...,...,Development,Trade (% of GDP),54.946641472
,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",1637.3018376
