Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sao Tome and Principe,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.32921
Sao Tome and Principe,2015,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.264512
Sao Tome and Principe,2015,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.880845
Sao Tome and Principe,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.479626
Sao Tome and Principe,2015,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.474578
Sao Tome and Principe,2015,Portugal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,83.094017
Sao Tome and Principe,2015,Angola,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,29.835013
Sao Tome and Principe,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4.578332
Sao Tome and Principe,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3.173741
Sao Tome and Principe,2015,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2.901911
Sao Tome and Principe,2015,World,Animal,Export,Export(US$ Mil),0.050841
Sao Tome and Principe,2015,World,Vegetable,Export,Export(US$ Mil),0.305716
Sao Tome and Principe,2015,World,Food Products,Export,Export(US$ Mil),8.247237
Sao Tome and Principe,2015,World,Minerals,Export,Export(US$ Mil),0.000137
Sao Tome and Principe,2015,World,Fuels,Export,Export(US$ Mil),
Sao Tome and Principe,2015,World,Chemicals,Export,Export(US$ Mil),0.023414
Sao Tome and Principe,2015,World,Plastic or Rubber,Export,Export(US$ Mil),0.015932
Sao Tome and Principe,2015,World,Hides and Skins,Export,Export(US$ Mil),0.004616
Sao Tome and Principe,2015,World,Wood,Export,Export(US$ Mil),0.007158
Sao Tome and Principe,2015,World,Textiles and Clothing,Export,Export(US$ Mil),0.025615
Sao Tome and Principe,2015,World,Footwear,Export,Export(US$ Mil),0.000645
Sao Tome and Principe,2015,World,Stone and Glass,Export,Export(US$ Mil),0.001509
Sao Tome and Principe,2015,World,Metals,Export,Export(US$ Mil),0.128967
Sao Tome and Principe,2015,World,Mach and Elec,Export,Export(US$ Mil),0.296031
Sao Tome and Principe,2015,World,Transportation,Export,Export(US$ Mil),0.071635
Sao Tome and Principe,2015,World,Miscellaneous,Export,Export(US$ Mil),0.043727
Sao Tome and Principe,2015,World,Raw materials,Export,Export(US$ Mil),8.313058
Sao Tome and Principe,2015,World,Intermediate goods,Export,Export(US$ Mil),0.045665
Sao Tome and Principe,2015,World,Consumer goods,Export,Export(US$ Mil),0.56528
Sao Tome and Principe,2015,World,Capital goods,Export,Export(US$ Mil),0.298458
Sao Tome and Principe,2015,World,Raw materials,Import,Import(US$ Mil),8.230973
Sao Tome and Principe,2015,World,Intermediate goods,Import,Import(US$ Mil),20.787918
Sao Tome and Principe,2015,World,Consumer goods,Import,Import(US$ Mil),60.5006039999999
Sao Tome and Principe,2015,World,Capital goods,Import,Import(US$ Mil),20.049496
Sao Tome and Principe,2015,World,All Products,Export,Exports (in US$ Mil),9.223182
Sao Tome and Principe,2015,World,All Products,Import,Imports (in US$ Mil),141.847245
Sao Tome and Principe,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3360.334
Sao Tome and Principe,2015,...,...,Development,GDP (current US$ Mil),317.69617869
Sao Tome and Principe,2015,...,...,Tariff,No. Of Tariff Agreement,1
Sao Tome and Principe,2015,...,...,Import,No. Of Import partners,56
Sao Tome and Principe,2015,...,...,Import,No. Of Import products,2546
Sao Tome and Principe,2015,...,...,Export,No. Of Export partners,24
Sao Tome and Principe,2015,...,...,Export,No. Of Export products,190
Sao Tome and Principe,2015,...,...,Others,Population,190344
Sao Tome and Principe,2016,...,...,Others,Ease of Doing Business Rank,162
Sao Tome and Principe,2016,...,...,Others,Trading Across Borders Rank,122
Sao Tome and Principe,2015,...,...,Others,CPIA Trade Ratings,4
Sao Tome and Principe,2014,...,...,Others,LPI Rank,84
Sao Tome and Principe,2014,...,...,Others,LPI Score,2.733896
Sao Tome and Principe,2015,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,36.0961
Sao Tome and Principe,2015,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,24.5524
Sao Tome and Principe,2015,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,9.5503
Sao Tome and Principe,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,5.2002
Sao Tome and Principe,2015,Portugal,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1455
Sao Tome and Principe,2015,Portugal,All Products,Import,Partner share(%)-Top 5 Import Partner,58.5799
Sao Tome and Principe,2015,Angola,All Products,Import,Partner share(%)-Top 5 Import Partner,21.0332
Sao Tome and Principe,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,3.2276
Sao Tome and Principe,2015,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,2.2374
Sao Tome and Principe,2015,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,2.0458
Sao Tome and Principe,2015,World,Animal,Export,Export Product share(%),0.5512
Sao Tome and Principe,2015,World,Vegetable,Export,Export Product share(%),3.3146
Sao Tome and Principe,2015,World,Food Products,Export,Export Product share(%),89.4186
Sao Tome and Principe,2015,World,Minerals,Export,Export Product share(%),0.0015
Sao Tome and Principe,2015,World,Fuels,Export,Export Product share(%),
Sao Tome and Principe,2015,World,Chemicals,Export,Export Product share(%),0.2539
Sao Tome and Principe,2015,World,Plastic or Rubber,Export,Export Product share(%),0.1727
Sao Tome and Principe,2015,World,Hides and Skins,Export,Export Product share(%),0.05
Sao Tome and Principe,2015,World,Wood,Export,Export Product share(%),0.0776
Sao Tome and Principe,2015,World,Textiles and Clothing,Export,Export Product share(%),0.2777
Sao Tome and Principe,2015,World,Footwear,Export,Export Product share(%),0.007
Sao Tome and Principe,2015,World,Stone and Glass,Export,Export Product share(%),0.0164
