Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Slovak Republic,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16841.002446
Slovak Republic,2015,Czech Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9319.423777
Slovak Republic,2015,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6214.71812
Slovak Republic,2015,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4514.752494
Slovak Republic,2015,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4208.536925
Slovak Republic,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11615.829332
Slovak Republic,2015,Czech Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8210.402408
Slovak Republic,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6432.928204
Slovak Republic,2015,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6313.057813
Slovak Republic,2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4827.550024
Slovak Republic,2015,World,Animal,Export,Export(US$ Mil),682.27412
Slovak Republic,2015,World,Vegetable,Export,Export(US$ Mil),1195.193251
Slovak Republic,2015,World,Food Products,Export,Export(US$ Mil),1225.503144
Slovak Republic,2015,World,Minerals,Export,Export(US$ Mil),303.501223
Slovak Republic,2015,World,Fuels,Export,Export(US$ Mil),2759.982224
Slovak Republic,2015,World,Chemicals,Export,Export(US$ Mil),2113.572276
Slovak Republic,2015,World,Plastic or Rubber,Export,Export(US$ Mil),4628.058607
Slovak Republic,2015,World,Hides and Skins,Export,Export(US$ Mil),296.610777
Slovak Republic,2015,World,Wood,Export,Export(US$ Mil),2259.730377
Slovak Republic,2015,World,Textiles and Clothing,Export,Export(US$ Mil),1744.871618
Slovak Republic,2015,World,Footwear,Export,Export(US$ Mil),1163.451946
Slovak Republic,2015,World,Stone and Glass,Export,Export(US$ Mil),945.711667
Slovak Republic,2015,World,Metals,Export,Export(US$ Mil),7333.825238
Slovak Republic,2015,World,Mach and Elec,Export,Export(US$ Mil),24660.713085
Slovak Republic,2015,World,Transportation,Export,Export(US$ Mil),20757.139199
Slovak Republic,2015,World,Miscellaneous,Export,Export(US$ Mil),2981.156491
Slovak Republic,2015,World,Raw materials,Export,Export(US$ Mil),2104.314841
Slovak Republic,2015,World,Intermediate goods,Export,Export(US$ Mil),10898.616125
Slovak Republic,2015,World,Consumer goods,Export,Export(US$ Mil),31793.6229620001
Slovak Republic,2015,World,Capital goods,Export,Export(US$ Mil),24347.956179
Slovak Republic,2015,World,Raw materials,Import,Import(US$ Mil),5139.234636
Slovak Republic,2015,World,Intermediate goods,Import,Import(US$ Mil),12290.599423
Slovak Republic,2015,World,Consumer goods,Import,Import(US$ Mil),21823.397791
Slovak Republic,2015,World,Capital goods,Import,Import(US$ Mil),32125.434307
Slovak Republic,2015,World,All Products,Export,Exports (in US$ Mil),75051.295241
Slovak Republic,2015,World,All Products,Import,Imports (in US$ Mil),72957.682446
Slovak Republic,2002,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4530057.496
Slovak Republic,2015,...,...,Development,Trade Balance (current US$ Mil),2116.137296
Slovak Republic,2015,...,...,Development,GDP (current US$ Mil),87263.622047
Slovak Republic,2002,...,...,Tariff,No. Of Tariff Agreement,2
Slovak Republic,2015,...,...,Import,No. Of Import partners,225
Slovak Republic,2015,...,...,Import,No. Of Import products,4443
Slovak Republic,2015,...,...,Export,No. Of Export partners,201
Slovak Republic,2015,...,...,Export,No. Of Export products,3905
Slovak Republic,2015,...,...,Others,Population,5424050
Slovak Republic,2016,...,...,Others,Ease of Doing Business Rank,33
Slovak Republic,2016,...,...,Others,Trading Across Borders Rank,1
Slovak Republic,2014,...,...,Others,LPI Rank,43
Slovak Republic,2014,...,...,Others,LPI Score,3.254533
Slovak Republic,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,22.4393
Slovak Republic,2015,Czech Republic,All Products,Export,Partner share(%)-Top 5 Export Partner,12.4174
Slovak Republic,2015,Poland,All Products,Export,Partner share(%)-Top 5 Export Partner,8.2806
Slovak Republic,2015,Austria,All Products,Export,Partner share(%)-Top 5 Export Partner,6.0156
Slovak Republic,2015,Hungary,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6075
Slovak Republic,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,15.9213
Slovak Republic,2015,Czech Republic,All Products,Import,Partner share(%)-Top 5 Import Partner,11.2537
Slovak Republic,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.8173
Slovak Republic,2015,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,8.653
Slovak Republic,2015,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,6.6169
Slovak Republic,2015,World,Animal,Export,Export Product share(%),0.9091
