Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Thailand,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23717.285274
Thailand,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23311.428604
Thailand,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19763.07922
Thailand,2015,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11641.292328
Thailand,2015,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10023.281821
Thailand,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,40919.104555
Thailand,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,31134.90781
Thailand,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13923.31171
Thailand,2015,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11875.180286
Thailand,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8135.333146
Thailand,2015,World,Animal,Export,Export(US$ Mil),2949.188064
Thailand,2015,World,Vegetable,Export,Export(US$ Mil),9978.605354
Thailand,2015,World,Food Products,Export,Export(US$ Mil),17269.997638
Thailand,2015,World,Minerals,Export,Export(US$ Mil),1098.077188
Thailand,2015,World,Fuels,Export,Export(US$ Mil),8294.454747
Thailand,2015,World,Chemicals,Export,Export(US$ Mil),9717.688077
Thailand,2015,World,Plastic or Rubber,Export,Export(US$ Mil),24045.057401
Thailand,2015,World,Hides and Skins,Export,Export(US$ Mil),1081.540299
Thailand,2015,World,Wood,Export,Export(US$ Mil),3966.089638
Thailand,2015,World,Textiles and Clothing,Export,Export(US$ Mil),6847.944432
Thailand,2015,World,Footwear,Export,Export(US$ Mil),768.886449
Thailand,2015,World,Stone and Glass,Export,Export(US$ Mil),12636.314985
Thailand,2015,World,Metals,Export,Export(US$ Mil),9443.371094
Thailand,2015,World,Mach and Elec,Export,Export(US$ Mil),66339.09505
Thailand,2015,World,Transportation,Export,Export(US$ Mil),28240.642912
Thailand,2015,World,Miscellaneous,Export,Export(US$ Mil),8206.429145
Thailand,2015,World,Raw materials,Export,Export(US$ Mil),12415.848931
Thailand,2015,World,Intermediate goods,Export,Export(US$ Mil),42768.035695
Thailand,2015,World,Consumer goods,Export,Export(US$ Mil),71558.851191
Thailand,2015,World,Capital goods,Export,Export(US$ Mil),81207.863229
Thailand,2015,World,Raw materials,Import,Import(US$ Mil),29832.681899
Thailand,2015,World,Intermediate goods,Import,Import(US$ Mil),54739.7658509999
