Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Tajikistan,2000,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,258.77
Tajikistan,2000,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,178.209
Tajikistan,2000,Uzbekistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,97.764
Tajikistan,2000,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,72.236
Tajikistan,2000,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19.54
Tajikistan,2000,Uzbekistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,185.197
Tajikistan,2000,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,104.063
Tajikistan,2000,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,84.335
Tajikistan,2000,Kazakhstan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,82.387
Tajikistan,2000,Azerbaijan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,63.112
Tajikistan,2000,World,Animal,Export,Export(US$ Mil),0.024
Tajikistan,2000,World,Vegetable,Export,Export(US$ Mil),18.069
Tajikistan,2000,World,Food Products,Export,Export(US$ Mil),11.575
Tajikistan,2000,World,Minerals,Export,Export(US$ Mil),1.189
Tajikistan,2000,World,Fuels,Export,Export(US$ Mil),92.13
Tajikistan,2000,World,Chemicals,Export,Export(US$ Mil),9.461
Tajikistan,2000,World,Plastic or Rubber,Export,Export(US$ Mil),0.046
Tajikistan,2000,World,Hides and Skins,Export,Export(US$ Mil),0.104
Tajikistan,2000,World,Wood,Export,Export(US$ Mil),0.059
Tajikistan,2000,World,Textiles and Clothing,Export,Export(US$ Mil),107.265
Tajikistan,2000,World,Footwear,Export,Export(US$ Mil),0.037
Tajikistan,2000,World,Stone and Glass,Export,Export(US$ Mil),24.426
Tajikistan,2000,World,Metals,Export,Export(US$ Mil),372.879
Tajikistan,2000,World,Mach and Elec,Export,Export(US$ Mil),13.1
Tajikistan,2000,World,Transportation,Export,Export(US$ Mil),41.222
Tajikistan,2000,World,Miscellaneous,Export,Export(US$ Mil),0.76
