Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
East Timor,2013,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18.453864
East Timor,2013,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.710062
East Timor,2013,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.343122
East Timor,2013,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.394114
East Timor,2013,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.586424
East Timor,2013,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,176.086044
East Timor,2013,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,79.252903
East Timor,2013,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,65.839785
East Timor,2013,Vietnam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,39.810879
East Timor,2013,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,33.546358
East Timor,2013,World,Vegetable,Export,Export(US$ Mil),16.150852
East Timor,2013,World,Food Products,Export,Export(US$ Mil),0.20098
East Timor,2013,World,Minerals,Export,Export(US$ Mil),
East Timor,2013,World,Fuels,Export,Export(US$ Mil),
East Timor,2013,World,Chemicals,Export,Export(US$ Mil),0.10126
East Timor,2013,World,Plastic or Rubber,Export,Export(US$ Mil),0.040411
East Timor,2013,World,Hides and Skins,Export,Export(US$ Mil),0.009925
East Timor,2013,World,Wood,Export,Export(US$ Mil),1.380893
East Timor,2013,World,Textiles and Clothing,Export,Export(US$ Mil),17.264415
East Timor,2013,World,Footwear,Export,Export(US$ Mil),0.235935
East Timor,2013,World,Stone and Glass,Export,Export(US$ Mil),0.019276
East Timor,2013,World,Metals,Export,Export(US$ Mil),0.898226
East Timor,2013,World,Mach and Elec,Export,Export(US$ Mil),10.073463
East Timor,2013,World,Transportation,Export,Export(US$ Mil),6.091374
East Timor,2013,World,Miscellaneous,Export,Export(US$ Mil),0.669013
East Timor,2013,World,Raw materials,Export,Export(US$ Mil),1.36241
East Timor,2013,World,Intermediate goods,Export,Export(US$ Mil),4.142923
East Timor,2013,World,Consumer goods,Export,Export(US$ Mil),36.393267
East Timor,2013,World,Capital goods,Export,Export(US$ Mil),11.082865
East Timor,2013,World,Raw materials,Import,Import(US$ Mil),9.78791
East Timor,2013,World,Intermediate goods,Import,Import(US$ Mil),51.59829
East Timor,2013,World,Consumer goods,Import,Import(US$ Mil),316.873476
East Timor,2013,World,Capital goods,Import,Import(US$ Mil),115.187337
East Timor,2013,World,All Products,Export,Exports (in US$ Mil),53.136023
East Timor,2013,World,All Products,Import,Imports (in US$ Mil),513.738509
East Timor,2013,World,All Products,Tariff,Duty Free Imports (US$ Thousand),0
East Timor,2015,...,...,Development,GDP (current US$ Mil),1441.7186
East Timor,2013,...,...,Tariff,No. Of Tariff Agreement,1
East Timor,2013,...,...,Import,No. Of Import partners,54
East Timor,2013,...,...,Import,No. Of Import products,1753
East Timor,2013,...,...,Export,No. Of Export partners,47
East Timor,2013,...,...,Export,No. Of Export products,173
East Timor,2015,...,...,Others,Population,1245015
East Timor,2016,...,...,Others,Ease of Doing Business Rank,175
East Timor,2016,...,...,Others,Trading Across Borders Rank,94
East Timor,2015,...,...,Others,CPIA Trade Ratings,4.5
East Timor,2013,Indonesia,All Products,Export,Partner share(%)-Top 5 Export Partner,34.7295
East Timor,2013,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,14.51
East Timor,2013,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,13.8195
East Timor,2013,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,10.1515
East Timor,2013,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,4.8676
East Timor,2013,Indonesia,All Products,Import,Partner share(%)-Top 5 Import Partner,34.2754
East Timor,2013,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,15.4267
East Timor,2013,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,12.8158
East Timor,2013,Vietnam,All Products,Import,Partner share(%)-Top 5 Import Partner,7.7492
East Timor,2013,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.5299
East Timor,2013,World,Vegetable,Export,Export Product share(%),30.3953
East Timor,2013,World,Food Products,Export,Export Product share(%),0.3782
East Timor,2013,World,Minerals,Export,Export Product share(%),
East Timor,2013,World,Fuels,Export,Export Product share(%),
East Timor,2013,World,Chemicals,Export,Export Product share(%),0.1906
East Timor,2013,World,Plastic or Rubber,Export,Export Product share(%),0.0761
East Timor,2013,World,Hides and Skins,Export,Export Product share(%),0.0187
East Timor,2013,World,Wood,Export,Export Product share(%),2.5988
East Timor,2013,World,Textiles and Clothing,Export,Export Product share(%),32.491
East Timor,2013,World,Footwear,Export,Export Product share(%),0.444
East Timor,2013,World,Stone and Glass,Export,Export Product share(%),0.0363
East Timor,2013,World,Metals,Export,Export Product share(%),1.6904
East Timor,2013,World,Mach and Elec,Export,Export Product share(%),18.9579
East Timor,2013,World,Transportation,Export,Export Product share(%),11.4637
East Timor,2013,World,Miscellaneous,Export,Export Product share(%),1.2591
East Timor,2013,World,Raw materials,Export,Export Product share(%),2.564
East Timor,2013,World,Intermediate goods,Export,Export Product share(%),7.7968
East Timor,2013,World,Consumer goods,Export,Export Product share(%),68.4908
East Timor,2013,World,Capital goods,Export,Export Product share(%),20.8575
East Timor,2013,World,Raw materials,Import,Import Product share(%),1.9052
East Timor,2013,World,Intermediate goods,Import,Import Product share(%),10.0437
East Timor,2013,World,Consumer goods,Import,Import Product share(%),61.6799
East Timor,2013,World,Capital goods,Import,Import Product share(%),22.4214
East Timor,2013,World,Raw materials,Tariff,Weighted Average (%),2.5
East Timor,2013,World,Intermediate goods,Tariff,Weighted Average (%),2.5
East Timor,2013,World,Consumer goods,Tariff,Weighted Average (%),2.5
East Timor,2013,World,Capital goods,Tariff,Weighted Average (%),2.5
East Timor,2013,World,All Products,Trade Indicator,World Growth (%),1.03191856260878
East Timor,2013,World,All Products,Trade Indicator,Country Growth (%),-7.11557627884724
East Timor,2013,World,All Products,Tariff,Simple Average (%),2.5
East Timor,2013,World,All Products,Tariff,Weighted Average (%),2.5
East Timor,2013,World,All Products,Tariff,Maximum Rate (%),2.5
East Timor,2013,World,All Products,Tariff,Duty Free Tariff Lines Share (%),0
East Timor,2013,...,...,Trade Indicator,Index of export market penetration,1.20187438387058
East Timor,2013,...,...,Trade Indicator,HH Market concentration index,0.297154634016507
East Timor,2015,...,...,Development,Trade in services (% of GDP),50.379777266
East Timor,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",2180
