Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Turkey,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13418.068177
Turkey,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10557.304491
Turkey,2015,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8550.946851
Turkey,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6887.871318
Turkey,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6396.3322
Turkey,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24873.451911
Turkey,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,21351.984056
Turkey,2015,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20399.806025
Turkey,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11128.044566
Turkey,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10639.076617
Turkey,2015,World,Animal,Export,Export(US$ Mil),1713.377124
Turkey,2015,World,Vegetable,Export,Export(US$ Mil),8168.367276
Turkey,2015,World,Food Products,Export,Export(US$ Mil),6928.141497
Turkey,2015,World,Minerals,Export,Export(US$ Mil),3253.905623
Turkey,2015,World,Fuels,Export,Export(US$ Mil),4298.448031
Turkey,2015,World,Chemicals,Export,Export(US$ Mil),4949.078771
Turkey,2015,World,Plastic or Rubber,Export,Export(US$ Mil),7425.785183
Turkey,2015,World,Hides and Skins,Export,Export(US$ Mil),641.438852
Turkey,2015,World,Wood,Export,Export(US$ Mil),2783.064641
Turkey,2015,World,Textiles and Clothing,Export,Export(US$ Mil),26078.640358
Turkey,2015,World,Footwear,Export,Export(US$ Mil),708.085066
Turkey,2015,World,Stone and Glass,Export,Export(US$ Mil),14446.700737
Turkey,2015,World,Metals,Export,Export(US$ Mil),16626.386075
Turkey,2015,World,Mach and Elec,Export,Export(US$ Mil),20612.218104
Turkey,2015,World,Transportation,Export,Export(US$ Mil),19020.336124
Turkey,2015,World,Miscellaneous,Export,Export(US$ Mil),6196.402924
Turkey,2015,World,Raw materials,Export,Export(US$ Mil),10329.970093
Turkey,2015,World,Intermediate goods,Export,Export(US$ Mil),36178.1990680001
Turkey,2015,World,Consumer goods,Export,Export(US$ Mil),65524.136757
Turkey,2015,World,Capital goods,Export,Export(US$ Mil),27516.204593
Turkey,2015,World,Raw materials,Import,Import(US$ Mil),16679.417453
Turkey,2015,World,Intermediate goods,Import,Import(US$ Mil),60863.502236
Turkey,2015,World,Consumer goods,Import,Import(US$ Mil),46931.0629780001
Turkey,2015,World,Capital goods,Import,Import(US$ Mil),56006.948237
Turkey,2015,World,All Products,Export,Exports (in US$ Mil),143850.376386
Turkey,2015,World,All Products,Import,Imports (in US$ Mil),207206.508911
Turkey,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),135113412.039
Turkey,2015,...,...,Development,Trade Balance (current US$ Mil),-20673.56138
Turkey,2015,...,...,Development,GDP (current US$ Mil),717879.78857
Turkey,2015,...,...,Tariff,No. Of Tariff Agreement,25
Turkey,2015,...,...,Import,No. Of Import partners,214
Turkey,2015,...,...,Import,No. Of Import products,4377
Turkey,2015,...,...,Export,No. Of Export partners,217
Turkey,2015,...,...,Export,No. Of Export products,4291
Turkey,2015,...,...,Others,Population,78665830
Turkey,2016,...,...,Others,Ease of Doing Business Rank,69
Turkey,2016,...,...,Others,Trading Across Borders Rank,70
Turkey,2014,...,...,Others,LPI Rank,30
Turkey,2014,...,...,Others,LPI Score,3.500225
Turkey,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),203
Turkey,2013,...,...,Others,No Of NTM Measures,2
Turkey,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0731937
Turkey,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0964647
Turkey,,...,...,Others,Services Trade Restrictions Index - Over All,25
Turkey,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,4.068190575
Turkey,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,2.01877737
Turkey,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,9.3278
Turkey,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.3391
Turkey,2015,Iraq,All Products,Export,Partner share(%)-Top 5 Export Partner,5.9443
Turkey,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,4.7882
Turkey,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,4.4465
Turkey,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,12.0042
Turkey,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,10.3047
Turkey,2015,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,9.8452
Turkey,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.3705
Turkey,2015,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,5.1345
Turkey,2015,World,Animal,Export,Export Product share(%),1.1911
Turkey,2015,World,Vegetable,Export,Export Product share(%),5.6784
Turkey,2015,World,Food Products,Export,Export Product share(%),4.8162
Turkey,2015,World,Minerals,Export,Export Product share(%),2.262
Turkey,2015,World,Fuels,Export,Export Product share(%),2.9881
Turkey,2015,World,Chemicals,Export,Export Product share(%),3.4404
Turkey,2015,World,Plastic or Rubber,Export,Export Product share(%),5.1622
Turkey,2015,World,Hides and Skins,Export,Export Product share(%),0.4459
Turkey,2015,World,Wood,Export,Export Product share(%),1.9347
Turkey,2015,World,Textiles and Clothing,Export,Export Product share(%),18.129
Turkey,2015,World,Footwear,Export,Export Product share(%),0.4922
Turkey,2015,World,Stone and Glass,Export,Export Product share(%),10.0429
Turkey,2015,World,Metals,Export,Export Product share(%),11.5581
Turkey,2015,World,Mach and Elec,Export,Export Product share(%),14.3289
Turkey,2015,World,Transportation,Export,Export Product share(%),13.2223
Turkey,2015,World,Miscellaneous,Export,Export Product share(%),4.3075
Turkey,2015,World,Raw materials,Export,Export Product share(%),7.1811
Turkey,2015,World,Intermediate goods,Export,Export Product share(%),25.1499
Turkey,2015,World,Consumer goods,Export,Export Product share(%),45.5502
Turkey,2015,World,Capital goods,Export,Export Product share(%),19.1284
Turkey,2015,World,Raw materials,Import,Import Product share(%),8.0497
Turkey,2015,World,Intermediate goods,Import,Import Product share(%),29.3734
Turkey,2015,World,Consumer goods,Import,Import Product share(%),22.6494
Turkey,2015,World,Capital goods,Import,Import Product share(%),27.0295
Turkey,2015,World,Raw materials,Tariff,Weighted Average (%),7.43085490375714
Turkey,2015,World,Intermediate goods,Tariff,Weighted Average (%),2.47677174275754
Turkey,2015,World,Consumer goods,Tariff,Weighted Average (%),2.66925505195091
Turkey,2015,World,Capital goods,Tariff,Weighted Average (%),0.364051084309845
Turkey,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Turkey,2015,World,All Products,Trade Indicator,Country Growth (%),-5.03863221783245
Turkey,2015,World,All Products,Tariff,Simple Average (%),2.69757384540441
Turkey,2015,World,All Products,Tariff,Weighted Average (%),3.19420934112254
Turkey,2015,World,All Products,Tariff,Maximum Rate (%),225
Turkey,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),74.9234658379331
Turkey,2015,...,...,Trade Indicator,Index of export market penetration,22.4279062932111
Turkey,2015,...,...,Trade Indicator,HH Market concentration index,0.0383246358065845
Turkey,2015,...,...,Development,Trade Balance (% of GDP),-2.87980825
Turkey,2015,...,...,Development,Trade in services (% of GDP),9.647436953
Turkey,2015,...,...,Development,Trade (% of GDP),58.801892184
Turkey,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",9950
