Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Tanzania,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1149.436959
Tanzania,2015,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,793.894376
Tanzania,2015,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,675.380178
Tanzania,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,562.32243
Tanzania,2015,Oman,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,249.90707
Tanzania,2015,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5976.23641
Tanzania,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1853.932023
Tanzania,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1258.872475
Tanzania,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,838.81035
Tanzania,2015,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,511.348066
Tanzania,2015,World,Animal,Export,Export(US$ Mil),253.381073
Tanzania,2015,World,Vegetable,Export,Export(US$ Mil),1519.479567
Tanzania,2015,World,Food Products,Export,Export(US$ Mil),673.993796
Tanzania,2015,World,Minerals,Export,Export(US$ Mil),525.054155
Tanzania,2015,World,Fuels,Export,Export(US$ Mil),128.545435
Tanzania,2015,World,Chemicals,Export,Export(US$ Mil),93.533661
Tanzania,2015,World,Plastic or Rubber,Export,Export(US$ Mil),33.814558
Tanzania,2015,World,Hides and Skins,Export,Export(US$ Mil),13.631274
Tanzania,2015,World,Wood,Export,Export(US$ Mil),90.97978
Tanzania,2015,World,Textiles and Clothing,Export,Export(US$ Mil),367.397012
Tanzania,2015,World,Footwear,Export,Export(US$ Mil),13.823952
Tanzania,2015,World,Stone and Glass,Export,Export(US$ Mil),1540.603121
Tanzania,2015,World,Metals,Export,Export(US$ Mil),131.415525
Tanzania,2015,World,Mach and Elec,Export,Export(US$ Mil),396.868001
Tanzania,2015,World,Transportation,Export,Export(US$ Mil),9.321534
Tanzania,2015,World,Miscellaneous,Export,Export(US$ Mil),62.38808
