Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ukraine,2015,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4827.717878
Ukraine,2015,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2771.75688
Ukraine,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2399.078887
Ukraine,2015,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2079.784022
Ukraine,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1979.843641
Ukraine,2015,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7492.717861
Ukraine,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3975.589909
Ukraine,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3770.968391
Ukraine,2015,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2449.145547
Ukraine,2015,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2324.046968
Ukraine,2015,World,Animal,Export,Export(US$ Mil),821.307509
Ukraine,2015,World,Vegetable,Export,Export(US$ Mil),11288.099134
Ukraine,2015,World,Food Products,Export,Export(US$ Mil),2468.386723
Ukraine,2015,World,Minerals,Export,Export(US$ Mil),2611.474969
Ukraine,2015,World,Fuels,Export,Export(US$ Mil),488.015617
Ukraine,2015,World,Chemicals,Export,Export(US$ Mil),2114.027768
Ukraine,2015,World,Plastic or Rubber,Export,Export(US$ Mil),412.615373
Ukraine,2015,World,Hides and Skins,Export,Export(US$ Mil),114.699238
Ukraine,2015,World,Wood,Export,Export(US$ Mil),1776.780945
Ukraine,2015,World,Textiles and Clothing,Export,Export(US$ Mil),634.221844
Ukraine,2015,World,Footwear,Export,Export(US$ Mil),150.819962
Ukraine,2015,World,Stone and Glass,Export,Export(US$ Mil),413.601722
Ukraine,2015,World,Metals,Export,Export(US$ Mil),9470.711548
Ukraine,2015,World,Mach and Elec,Export,Export(US$ Mil),3940.780308
Ukraine,2015,World,Transportation,Export,Export(US$ Mil),679.179333
Ukraine,2015,World,Miscellaneous,Export,Export(US$ Mil),742.317572
Ukraine,2015,World,Raw materials,Export,Export(US$ Mil),11823.196812
Ukraine,2015,World,Intermediate goods,Export,Export(US$ Mil),16809.045488
Ukraine,2015,World,Consumer goods,Export,Export(US$ Mil),5950.526281
Ukraine,2015,World,Capital goods,Export,Export(US$ Mil),3300.414567
Ukraine,2015,World,Raw materials,Import,Import(US$ Mil),4329.063777
Ukraine,2015,World,Intermediate goods,Import,Import(US$ Mil),8631.17018299999
Ukraine,2015,World,Consumer goods,Import,Import(US$ Mil),17431.476892
Ukraine,2015,World,Capital goods,Import,Import(US$ Mil),6560.745671
Ukraine,2015,World,All Products,Export,Exports (in US$ Mil),38127.039558
Ukraine,2015,World,All Products,Import,Imports (in US$ Mil),37516.15322
Ukraine,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),23432075.5859999
Ukraine,2015,...,...,Development,Trade Balance (current US$ Mil),-1807.074485
Ukraine,2015,...,...,Development,GDP (current US$ Mil),90615.023324
Ukraine,2015,...,...,Tariff,No. Of Tariff Agreement,9
Ukraine,2015,...,...,Import,No. Of Import partners,194
Ukraine,2015,...,...,Import,No. Of Import products,4263
Ukraine,2015,...,...,Export,No. Of Export partners,185
Ukraine,2015,...,...,Export,No. Of Export products,3621
Ukraine,2015,...,...,Others,Population,45198200
Ukraine,2016,...,...,Others,Ease of Doing Business Rank,80
Ukraine,2016,...,...,Others,Trading Across Borders Rank,115
Ukraine,2014,...,...,Others,LPI Rank,61
Ukraine,2014,...,...,Others,LPI Score,2.976444
Ukraine,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),23
Ukraine,2013,...,...,Others,No Of NTM Measures,3
Ukraine,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1947729
Ukraine,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2042678
Ukraine,,...,...,Others,Services Trade Restrictions Index - Over All,27.2
