Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
United States,2015,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,279990.083749
United States,2015,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,236377.320352
United States,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,116186.201565
United States,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,62470.434523
United States,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,56341.696112
United States,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,502632.47843
United States,2015,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,301035.596398
United States,2015,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,297499.549233
United States,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,134775.666229
United States,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,126478.575512
United States,2015,World,Animal,Export,Export(US$ Mil),25718.195774
United States,2015,World,Vegetable,Export,Export(US$ Mil),68025.355715
United States,2015,World,Food Products,Export,Export(US$ Mil),44916.314669
United States,2015,World,Minerals,Export,Export(US$ Mil),9488.551068
United States,2015,World,Fuels,Export,Export(US$ Mil),106143.32009
United States,2015,World,Chemicals,Export,Export(US$ Mil),161351.986095
United States,2015,World,Plastic or Rubber,Export,Export(US$ Mil),74282.725476
United States,2015,World,Hides and Skins,Export,Export(US$ Mil),5392.808225
United States,2015,World,Wood,Export,Export(US$ Mil),39065.266318
United States,2015,World,Textiles and Clothing,Export,Export(US$ Mil),24926.65831
United States,2015,World,Footwear,Export,Export(US$ Mil),1927.374962
United States,2015,World,Stone and Glass,Export,Export(US$ Mil),69470.680375
United States,2015,World,Metals,Export,Export(US$ Mil),68753.993759
United States,2015,World,Mach and Elec,Export,Export(US$ Mil),366750.983951
United States,2015,World,Transportation,Export,Export(US$ Mil),146542.179716
United States,2015,World,Miscellaneous,Export,Export(US$ Mil),291114.043815
United States,2015,World,Raw materials,Export,Export(US$ Mil),136350.843979
United States,2015,World,Intermediate goods,Export,Export(US$ Mil),296331.707082
United States,2015,World,Consumer goods,Export,Export(US$ Mil),384635.053221001
United States,2015,World,Capital goods,Export,Export(US$ Mil),514445.801744001
United States,2015,World,Raw materials,Import,Import(US$ Mil),215849.459389
United States,2015,World,Intermediate goods,Import,Import(US$ Mil),354008.83907
United States,2015,World,Consumer goods,Import,Import(US$ Mil),834523.638538999
United States,2015,World,Capital goods,Import,Import(US$ Mil),788915.129814
United States,2015,World,All Products,Export,Exports (in US$ Mil),1503870.438318
United States,2015,World,All Products,Import,Imports (in US$ Mil),2306822.161269
United States,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1429009935.183
United States,2015,...,...,Development,Trade Balance (current US$ Mil),-521971
United States,2015,...,...,Development,GDP (current US$ Mil),18036648
United States,2015,...,...,Tariff,No. Of Tariff Agreement,27
United States,2015,...,...,Import,No. Of Import partners,222
United States,2015,...,...,Import,No. Of Import products,4561
United States,2015,...,...,Export,No. Of Export partners,224
United States,2015,...,...,Export,No. Of Export products,4559
United States,2015,...,...,Others,Population,321418820
United States,2016,...,...,Others,Ease of Doing Business Rank,8
United States,2016,...,...,Others,Trading Across Borders Rank,35
United States,2014,...,...,Others,LPI Rank,9
United States,2014,...,...,Others,LPI Score,3.917825
United States,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5207
United States,2014,...,...,Others,No Of NTM Measures,92
United States,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0568988
United States,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0645536
United States,,...,...,Others,Services Trade Restrictions Index - Over All,17.7
United States,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,6.37349844
United States,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,3.002649069
United States,2015,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,18.618
United States,2015,Mexico,All Products,Export,Partner share(%)-Top 5 Export Partner,15.7179
United States,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,7.7258
United States,2015,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,4.154
United States,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,3.7464
United States,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,21.789
United States,2015,Canada,All Products,Import,Partner share(%)-Top 5 Import Partner,13.0498
United States,2015,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,12.8965
United States,2015,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,5.8425
United States,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,5.4828
United States,2015,World,Animal,Export,Export Product share(%),1.7101
