Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Zambia,2015,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3091.089976
Zambia,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1009.327547
Zambia,2015,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,545.489255
Zambia,2015,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,534.313274
Zambia,2015,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,522.617844
Zambia,2015,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2603.735049
Zambia,2015,"Congo, Dem. Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,946.564142
Zambia,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,689.077667
Zambia,2015,Mauritius,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,474.507303
Zambia,2015,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,411.892451
Zambia,2015,World,Animal,Export,Export(US$ Mil),8.425667
Zambia,2015,World,Vegetable,Export,Export(US$ Mil),303.670412
Zambia,2015,World,Food Products,Export,Export(US$ Mil),316.264061
Zambia,2015,World,Minerals,Export,Export(US$ Mil),131.498931
Zambia,2015,World,Fuels,Export,Export(US$ Mil),110.86824
Zambia,2015,World,Chemicals,Export,Export(US$ Mil),186.351782
Zambia,2015,World,Plastic or Rubber,Export,Export(US$ Mil),20.740883
Zambia,2015,World,Hides and Skins,Export,Export(US$ Mil),12.88695
Zambia,2015,World,Wood,Export,Export(US$ Mil),72.748984
Zambia,2015,World,Textiles and Clothing,Export,Export(US$ Mil),59.515286
Zambia,2015,World,Footwear,Export,Export(US$ Mil),0.879202
Zambia,2015,World,Stone and Glass,Export,Export(US$ Mil),202.382894
Zambia,2015,World,Metals,Export,Export(US$ Mil),5333.680474
Zambia,2015,World,Mach and Elec,Export,Export(US$ Mil),156.646331
Zambia,2015,World,Transportation,Export,Export(US$ Mil),38.5573
Zambia,2015,World,Miscellaneous,Export,Export(US$ Mil),28.066976
Zambia,2015,World,Raw materials,Export,Export(US$ Mil),504.684361
Zambia,2015,World,Intermediate goods,Export,Export(US$ Mil),5880.589254
Zambia,2015,World,Consumer goods,Export,Export(US$ Mil),419.902415
Zambia,2015,World,Capital goods,Export,Export(US$ Mil),168.654154
Zambia,2015,World,Raw materials,Import,Import(US$ Mil),1340.835629
Zambia,2015,World,Intermediate goods,Import,Import(US$ Mil),2078.661869
Zambia,2015,World,Consumer goods,Import,Import(US$ Mil),2721.420826
Zambia,2015,World,Capital goods,Import,Import(US$ Mil),2223.273289
Zambia,2015,World,All Products,Export,Exports (in US$ Mil),6983.184373
Zambia,2015,World,All Products,Import,Imports (in US$ Mil),8419.753552
Zambia,2013,World,All Products,Tariff,Duty Free Imports (US$ Thousand),7867460.409
Zambia,2015,...,...,Development,Trade Balance (current US$ Mil),-2123.0865066
Zambia,2015,...,...,Development,GDP (current US$ Mil),21154.394546
Zambia,2013,...,...,Tariff,No. Of Tariff Agreement,7
Zambia,2015,...,...,Import,No. Of Import partners,168
Zambia,2015,...,...,Import,No. Of Import products,3940
Zambia,2015,...,...,Export,No. Of Export partners,104
Zambia,2015,...,...,Export,No. Of Export products,1810
Zambia,2015,...,...,Others,Population,16211767
Zambia,2016,...,...,Others,Ease of Doing Business Rank,98
Zambia,2016,...,...,Others,Trading Across Borders Rank,161
Zambia,2015,...,...,Others,CPIA Trade Ratings,4
Zambia,2014,...,...,Others,LPI Rank,123
Zambia,2014,...,...,Others,LPI Score,2.462674
Zambia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0455071
Zambia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1184496
Zambia,,...,...,Others,Services Trade Restrictions Index - Over All,21
Zambia,2015,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,44.2648
Zambia,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,14.4537
Zambia,2015,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,7.8115
Zambia,2015,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,7.6514
