Series Name,Series Code,Country Name,Country_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Afghanistan,AFG,-2.89256015128759,-3.64372303266733,-4.47154218553776,-7.69230923987239,-9.16666282407429,-10.1545243532203,-9.99999976190476,-7.43691861540119,-6.31067978210324,-4.88959026286458,-2.16010550092615,-5.21845294341042,-3.34261855199759,-1.79487263543725,-0.824742290147732,-1.59624388423813,-1.65217416672968,-3.1602711662225,-3.03030346903376,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-32.9009852629829,-50.7873008766334,-53.1428301874023,-50.0718894539563,-47.614764097032,-40.5263325563328,-37.079570863717,-27.491639524561,-34.9196285954289,-38.0866740650561,-33.6255471130267,-43.4498798624105,-39.6046586578559,-42.6799130219231,..
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.406100530352044,1.46767934715162,-4.50253747582205,-2.61241394305933,-1.9642640704769,-2.21431601053943,-0.410004597987323,-0.0962139962308698,-2.83572554092192,-2.77822441399403,-8.32689005519937,-20.3672272683594,-77.0218104331641,-46.8700223866203,-27.5986374707156,-22.0366734668789,-20.8286685249952,-24.4443411258859,-23.7927350149377,-16.396285926384,-20.1862606858975,-20.5672190763849,-24.7364922056042,-24.7288001289911,-22.3919526126086,-24.6471540761908,-23.5870581313941,-26.7039787324976,-26.8469165661751,-24.1578286157422,-20.5845266820371,-22.7354927591217,-18.6352252040214,-18.0314928743404,-18.993889531728,-17.7152079482527,..
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Algeria,DZA,-28.1004591112782,-21.2592141504887,-1.02477400687229,-12.1408330883188,-4.35570380076268,-3.22913479376078,1.3326255137338,1.80264744374708,-1.05161975469812,-4.28198125569991,-7.07993500504202,-9.22125837429691,-5.27730631825697,-6.08610052858834,3.25926799060292,-9.27666297310072,-4.06408903145253,-11.1537503704798,-14.6328954469918,-1.71744887466758,3.99999977107693,3.70950791241243,1.92678137703673,2.13949486795827,-1.75635132494511,-3.15825485462443,-10.3171958976703,-4.13963501816968,-7.09585152045942,-9.87479303505486,-1.49334351586417,5.51805763330938,1.45010432264636,-1.3550593775306,-3.52298729730466,-2.80145325003168,5.81574877359012,9.56871125379031,0.062257461099987,3.12496129408412,19.8211142931507,14.6724463085693,9.87490131331588,14.372885541975,14.4050266601706,23.1317879999858,26.8913613071969,22.1981996915947,19.2621687099803,-0.581026815812757,7.02243349593459,10.1841920090671,8.43827657376856,2.80966159142567,-1.45194517048697,..,..
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,-3.84615384615385,-1.48698884758364,9.51306030312801,..,13.3344504382442,-0.689867763452707,-16.4212225152107,-6.40079843922891,26.8001371281204,0.442475906951826,11.6219862797144,6.39580194315997,16.105444581503,32.3798319669217,40.8179920983546,30.4425615850238,25.091875385123,-0.500995629250218,19.4377711491201,23.1897471784025,22.573965883444,16.3089339183663,5.78715890291741,-2.2158167769228,..
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-4.9274875412957,3.55252090445797,6.33206183497291,-19.3720977185544,-22.350840648713,-39.3132332805327,-15.124568059348,-10.260843579235,-17.5953617232079,-21.6486926135679,-23.8209132750685,-11.5519202169539,-9.75907319056923,1.97968294805342,-0.591128559180542,2.80904768563838,5.50601549507157,1.53306078919303,-10.3050288540808,-22.8968375658841,-6.03602452733776,-3.87432053043425,-8.66647727272727,-4.03139878419677,-5.32963871707658,-5.80344311402117,-8.58494891203673,-6.49689952215601,-13.7813029851981,-23.8069766797655,-27.2314628493122,-24.2579328429807,-12.0069916630543,-13.6583591529088,-9.16986268034571,-13.1690766149519,-14.5955608215644,-12.4369235637598,-9.38235294117647,..
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Argentina,ARG,2.12913319746322E-06,1.67858472267841E-06,-4.69184013156704,2.16987435263046E-06,1.53002140132025E-06,2.07529146538738,1.66322935005796,2.49853207958065,1.08074204025606,0,0.865689271084736,-0.600723152966151,0.359888480895527,1.90316693082669,0.613561737587651,-0.154620697463696,3.25389196864064,2.28949825749737,2.89298350379594,0.181146292373481,-1.42172709852892,-0.450878518224076,2.56950005720169,3.31537126678235,2.83340919435594,5.46277097078228,1.83792229645136,0.297441743848655,3.31976733716303,6.47902011524435,5.72821418510863,1.59703253775518,-1.53460564227824,-2.40444821123768,-3.07440568676196,-0.410511497131651,-0.649274893693637,-2.21454693214141,-2.51891422679343,-1.72834302684438,-0.649709935213733,1.3058401339056,15.0125567854629,11.2171280587482,7.00259274207212,5.90233652448156,5.59526195545094,4.36057204157754,3.7029511270821,5.04192022161922,2.88106850815909,1.68262446624786,1.93868559863917,-0.0991991256506615,0.405875098669173,-0.816183705372167,..
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-11.329755515802,-19.375078428912,-21.4352482576357,-13.5351942121707,-33.7727507374179,-38.2590120534662,-32.7495559877648,-38.00120474094,-33.8364121240624,-29.0438996774118,-27.1680107293601,-20.6804148189674,-17.2303175177877,-17.8823565329164,-15.5675524048015,-14.4204848326989,-15.8912213276325,-19.9651704892612,-25.6086551205422,-27.5299325100083,-24.487097244332,-23.5971582015368,-20.833299640299,-19.8379427936134,-18.4814074346569,-12.1651167139532,..
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.87190256194876,-1.60744500846024,-2.06477732793522,-3.7199124726477,-3.99194901039919,-4.69289612524766,3.69914238343452,1.95387618662485,-4.46588920611531,-7.74737226136153,-3.49243598036414,-9.38526063511084,-12.4823506612158,-10.5374887947757,-8.66594232042917,-12.490247234015,-13.3138941272619,-15.6642939438285,..,..,..,..,..
