country,happiness,family,friends,parents,politics,religion,work,health
World,83.8,98.7,86.7,80.1,40.6,63.3,86.5,68.1
Argentina,86.4,99.1,87.5,77.5,30.7,56.2,87.2,74.9
Australia,92.6,98.6,93.1,71.7,43.3,31.1,81.6,77.8
Belarus,63.7,98,84.3,78.2,31.1,48,77.6,33.4
Brazil,92,98.7,83,89.9,41.3,89.4,97.8,71.2
Chile,84.5,98.8,78.7,82.5,22.1,58.9,88.8,72.7
China,84.5,98.5,91,56.2,38.7,10.6,79.6,68.7
Colombia,91.5,99.5,71.4,92.1,24.5,85.4,98.4,76
Czech Republic
Georgia,69.6,99.9,97.4,90.8,45,97,88.7,42.6
Germany,84,95.5,93.5,65.9,44.3,38,79.9,66.8
India,87.4,99.2,85.3,90.6,43.2,91.3,94.1,71.8
Japan,86.5,97.6,92,55.5,66.1,19,84.2,51.2
Mexico,94.3,99.3,78,93.7,45,83.8,95.5,72.7
Moldova
New Zealand,92.4,97.8,92.2,52.2,47,36.1,81.1,80.4
Nigeria,84.7,99.7,94.5,97.5,49.1,97.5,93.1,90.8
Pakistan,84.7,99.6,83.1,95.6,36.9,97.5,90.1,79.3
Peru,76,99.4,55.9,90.3,33.9,80.2,94.7,54.3
Philippines,89.4,99.9,89.7,95,63.7,98.1,98,56.5
Poland,92.6,98.5,93.5,75.6,32.8,79.6,89.2,61.3
Romania,69,98.6,74.6,78,22.7,83.8,90.2,65.1
Russia,73.3,97.7,80.4,69.1,27.1,41.8,74.3,44.1
Slovenia,83.3,98.8,92.1,73.4,11.9,32.9,88.2,65.1
South Africa,76.4,98.5,81.8,90.6,45.6,83.9,80.1,83.8
South Korea,90,98.9,95.3,81.9,55.2,54.2,90.6,80.1
Spain,86.4,99.5,95.2,81.7,21.7,32,84.7,74.2
Sweden,94.6,98.2,97.3,60.7,62.6,26.2,84.9,75.6
Taiwan,89.9,98.8,90.3,81.8,30,52.7,90.1,86.3
Turkey,83.8,99.7,96.9,94.6,47.4,92.7,81.3,66.4
Ukraine,68.1,98.6,85.6,79.2,28.5,60.8,78.8,37.2
United States,89.6,98.2,93.3,77.3,53,68.4,79.9,79.9
Uruguay,86,98.6,82.4,73.5,28.6,38.6,89.7,80.4
